"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,23.0145,21.7685,21.6625,24.1575,22.02,23.8465,24.1065,22.2655,20.86,21.119,21.635,22.5775,23.7375,20.195,23.2835,25.421,21.6475,22.9135,22.7735,27.0885,22.249,21.431,25.53,21.517,21.7695,22.209,25.8785,22.022,23.8265,19.6015,21.224,23.2045,20.682,22.39,20.854,28.7875,21.888,23.8755,22.5835,22.3835,22.605,25.0545,20.58,24.2335,24.334,23.8345,25.609,22.358,22.256,23.8695,23.5645,23.679,23.392,25.111,22.7195,23.043,24.1455,24.6455,25.264,24.9795,24.316,22.399,24.742,22.7005,22.6495,24.633,24.3805,25.649,23.04,25.608,25.825,23.6235,26.539,24.04,24.083,25.506,25.6685,25.6675,24.82,24.16,25.3165,23.249,26.7485,23.867,28.3155,29.129,25.8255,24.9915,25.607,26.398,29.6965,25.3415,23.6745,27.6445,27.4235,26.385,27.2195,27.8925,26.33,27.796,28.5135,26.1515,25.9785,27.355,29.5255,26.879,26.188,27.74,27.7645,28.004,27.394,27.9665,28.8845,30.427,31.0035,27.303,27.9525,28.1955,27.786,27.5155,29.266,31.234,28.1685,30.7145,27.271,29.5735,29.8325,29.344,29.446,29.623,29.7545,27.042,29.687,29.6115,31.3515,29.841,30.94,30.564,30.7765,29.415,31.3885,31.149,30.4025,30.786,32.145,29.0705,30.104,32.727,29.608,32.786
"SHASTA1",41.128752,-121.455784,25.1675,23.996,23.844,26.8665,24.7455,27.3205,25.141,23.813,22.395,23.1125,24.648,24.6675,26.8965,22.2255,26.3025,28.5415,24.1575,24.492,24.863,30.1035,25.045,23.369,27.3305,23.7985,24.336,24.1125,27.942,24.7495,24.436,22.3255,23.478,25.6545,23.3955,24.777,24.2785,31.435,24.508,26.158,24.258,24.624,24.0005,24.86,22.8575,27.0365,26.0925,27.0705,27.229,24.808,25.1805,25.9325,25.198,25.433,24.996,27.335,25.121,24.859,26.1605,26.586,27.94,26.97,25.8595,25.2235,28.596,26.624,25.208,26.3805,27.529,27.736,24.9695,27.5275,27.237,26.641,29.188,26.418,25.482,26.549,28.0455,27.9535,27.216,24.8205,27.8325,25.6435,28.373,26.4005,30.1875,29.86,26.778,27.1455,27.19,28.1615,31.282,27.929,27.4715,29.473,30.3195,29.8095,28.002,31.354,28.8245,31.606,30.8415,29.025,28.768,27.148,31.579,29.1585,27.819,30.5005,29.293,29.8525,29.514,29.5035,31.4135,31.545,32.952,30.2425,29.3855,30.823,29.895,29.6425,31.331,32.604,30.9905,31.24,30.259,32.691,32.6545,31.1665,31.357,31.571,32.7165,29.256,31.3505,32.156,34.557,32.374,33.2525,32.299,32.058,32.8455,35.0535,32.4195,33.19,32.773,35.046,31.4635,32.2015,34.3545,32.04,34.4775
"SHASTA2",41.117642,-122.388533,24.39,22.5895,22.7475,26.0695,23.3775,25.7685,24.329,21.744,21.597,22.5405,23.767,23.7125,25.287,22.2145,24.144,26.103,23.1495,24.152,24.7075,26.6875,23.826,23.793,25.7745,23.893,23.6555,23.96,24.99,23.9945,26.6765,21.9075,22.402,24.4425,22.1075,23.538,22.1,28.38,22.756,23.4075,22.2175,22.871,22.765,23.554,22.339,24.6425,23.3225,26.229,26.8705,24.1045,23.916,25.0265,24.623,24.529,23.139,25.4165,24.192,24.1445,25.143,24.3585,24.707,25.771,24.5055,24.272,25.225,24.0745,24.0185,26.755,25.7645,25.5615,24.3755,26.8775,26.3455,24.3235,28.2445,26.586,24.6935,26.689,26.027,25.2615,25.737,24.899,26.323,25.856,26.7605,25.015,28.7625,28.086,26.198,27.3365,26.3855,27.3855,31.0065,26.059,26.0475,27.8195,26.787,27.963,26.769,29.3445,27.2575,28.142,30.373,27.659,28.294,28.17,28.6055,26.439,28.2375,28.6495,30.01,28.5875,26.676,29.2165,28.8355,30.826,30.674,27.5965,28.093,29.9625,27.826,28.0205,29.048,29.987,28.3155,29.95,27.2005,32.276,29.661,29.985,31.632,31.4335,32.1015,28.2745,29.909,31.526,32.4125,31.0705,32.86,30.573,30.9085,31.212,31.4765,31.405,30.896,30.9945,32.6885,30.354,32.265,32.2615,30.4935,32.5285
"SHASTA3",40.363104,-122.948165,23.0145,21.7685,21.6625,24.1575,22.02,23.8465,24.1065,22.2655,20.86,21.119,21.635,22.5775,23.7375,20.195,23.2835,25.421,21.6475,22.9135,22.7735,27.0885,22.249,21.431,25.53,21.517,21.7695,22.209,25.8785,22.022,23.8265,19.6015,21.224,23.2045,20.682,22.39,20.854,28.7875,21.888,23.8755,22.5835,22.3835,22.605,25.0545,20.58,24.2335,24.334,23.8345,25.609,22.358,22.256,23.8695,23.5645,23.679,23.392,25.111,22.7195,23.043,24.1455,24.6455,25.264,24.9795,24.316,22.399,24.742,22.7005,22.6495,24.633,24.3805,25.649,23.04,25.608,25.825,23.6235,26.539,24.04,24.083,25.506,25.6685,25.6675,24.82,24.16,25.3165,23.249,26.7485,23.867,28.3155,29.129,25.8255,24.9915,25.607,26.398,29.6965,25.3415,23.6745,27.6445,27.4235,26.385,27.2195,27.8925,26.33,27.796,28.5135,26.1515,25.9785,27.355,29.5255,26.879,26.188,27.74,27.7645,28.004,27.394,27.9665,28.8845,30.427,31.0035,27.303,27.9525,28.1955,27.786,27.5155,29.266,31.234,28.1685,30.7145,27.271,29.5735,29.8325,29.344,29.446,29.623,29.7545,27.042,29.687,29.6115,31.3515,29.841,30.94,30.564,30.7765,29.415,31.3885,31.149,30.4025,30.786,32.145,29.0705,30.104,32.727,29.608,32.786
"SHASTA4",40.483447,-121.428889,21.3345,19.7655,19.304,20.6795,19.9695,23.1525,20.194,18.8985,17.5145,18.808,19.9265,19.664,21.7645,18.2805,20.3495,21.3315,19.933,19.0885,21.867,23.1685,21.1455,19.846,21.44,20.845,19.425,20.828,22.6295,20.3305,21.34,17.416,18.6985,19.0655,17.551,20.0005,17.88,25.924,19.097,21.3405,20.3365,19.909,19.3435,20.5,17.8555,21.2385,19.7265,21.658,21.6095,20.4025,21.0395,22.3755,22.524,20.7305,20.892,21.795,20.8295,21.1815,20.938,22.16,22.505,22.0595,20.9285,20.3625,21.4505,21.6995,20.353,23.5725,22.053,22.6925,21.312,22.14,23.5315,21.515,24.855,22.6785,22.454,22.7055,22.8075,22.3195,22.3265,20.4845,23.3345,21.302,24.251,21.771,25.833,26.1035,23.7635,22.8515,22.0225,24.499,25.9155,22.831,21.8845,24.9895,24.6515,24.3565,24.021,24.8415,23.995,25.0385,25.073,24.634,22.8295,24.784,26.2905,25.274,24.193,24.725,25.7295,26.481,25.284,25.1565,26.2845,28.1235,28.173,25.025,26.1765,25.3295,24.6265,25.9285,25.742,27.225,25.9805,28.9715,24.4475,28.0735,26.5015,27.2685,27.522,26.8725,25.996,24.869,27.2365,26.8995,30.0335,28.3505,27.4815,28.299,27.807,27.1545,29.9815,29.4225,29.353,27.9505,28.9495,27.0545,28.7635,30.1945,27.2765,29.912
"TEHEMA0",40.077891,-122.177402,35.007,33.9915,33.5875,33.8615,33.304,37.281,31.5635,30.851,33.4965,34.08,35.1185,32.8445,34.4705,32.2735,33.163,33.5345,32.9925,34.2955,34.086,34.4925,34.7985,33.1765,37.8235,33.8085,34.3065,35.844,34.8515,31.971,33.451,32.459,30.136,32.154,31.0665,34.051,31.9175,36.929,33.149,34.374,32.9485,34.3145,32.048,35.7715,32.9775,34.6375,32.6635,35.746,35.4205,33.8305,33.913,34.209,37.594,33.1445,34.833,34.4045,32.8655,33.079,34.575,33.335,34.961,33.5355,34.8845,33.4675,34.226,35.805,33.9605,36.0435,35.1835,37.1245,34.634,36.4895,37.335,34.1015,39.2625,34.689,34.6405,36.8255,38.534,34.7995,35.786,34.4685,36.272,35.9535,35.597,36.6135,38.2845,37.606,39.765,36.4685,35.1595,37.9115,39.604,37.8445,35.3815,36.6615,38.8955,34.872,35.4785,36.179,38.243,38.3465,38.046,36.122,37.1655,37.728,37.2765,37.271,36.499,38.32,42.077,37.516,37.7775,37.6765,37.3165,38.5825,38.8865,37.011,36.472,37.2115,37.5885,38.5475,38.721,39.507,35.242,40.0245,36.8775,39.351,38.762,39.508,39.3835,39.5915,38.491,36.415,38.4005,40.0065,41.3235,39.7465,42.6685,39.5525,40.941,39.9105,42.155,39.761,39.582,41.5095,43.4525,38.3495,42.857,41.8495,39.536,40.6285
"TEHEMA1",40.372282,-121.648837,22.4865,21.1355,22.3965,22.3675,21.009,25.7565,21.211,19.641,19.2675,20.28,21.731,21.1365,23.6905,19.742,22.2705,23.003,21.796,20.8825,23.4075,24.1295,22.271,21.088,23.6165,22.0425,21.131,22.2645,24.015,20.806,24.1935,19.579,19.8095,21.821,19.234,22.033,20.373,27.801,20.9905,21.9915,21.579,21.1575,20.642,22.4205,20.134,22.27,22.4285,23.341,23.247,22.0355,23.03,23.9135,24.2465,22.374,23.024,23.142,22.319,23.3745,22.811,23.936,23.616,23.346,22.599,22.6635,24.245,22.568,22.042,25.2905,24.0775,24.396,23.5975,24.4605,23.753,23.0765,26.215,23.379,24.5225,24.5405,25.565,25.047,24.816,22.572,26.625,23.4915,24.874,23.202,28.548,27.5925,26.361,25.1465,24.2535,25.7725,27.7135,23.7935,24.032,26.332,25.945,25.784,26.0365,26.708,26.4155,27.263,27.055,26.3615,25.68,27.4485,27.771,26.5925,25.123,27.8785,27.7445,27.5475,27.5495,27.0855,27.3465,30.1865,29.7925,26.294,28.5765,26.897,26.303,27.145,27.053,29.074,27.9675,31.0875,26.2425,28.593,28.9505,29.1595,30.0475,28.652,29.1005,26.8065,29.742,29.2945,30.7705,30.7145,29.9755,30.6185,29.8775,30.044,31.771,31.465,31.1235,29.7045,31.024,28.489,29.9615,31.6145,29.1925,30.8585
"TEHEMA2",40.146833,-122.807917,27.855,23.9395,26.531,26.374,25.4905,27.524,25.9975,23.091,23.7625,25.2095,25.382,24.821,26.3095,25.311,25.706,25.2895,25.206,23.9785,27.511,26.672,24.748,26.8915,28.8535,26.6155,25.6605,27.3175,28.448,25.4445,27.6125,24.1865,23.8925,24.9735,23.3005,25.2295,24.146,29.8555,23.6025,26.1285,24.131,25.713,24.4775,27.201,24.422,26.9155,25.31,26.978,26.51,26.3445,27.75,26.0895,26.952,26.281,25.588,26.4755,25.4365,27.5375,26.245,25.758,28.331,26.4425,26.3845,25.698,25.345,26.8095,26.3105,28.8365,27.0045,27.9815,25.413,27.857,29.4645,26.4555,30.184,27.1215,26.7535,27.9575,28.624,28.056,27.852,27.403,28.3235,26.9395,29.224,28.105,29.916,31.536,30.665,28.173,27.6695,29.2205,32.369,29.0135,27.1245,28.781,28.9075,28.1695,29.2795,29.6925,29.243,29.973,29.906,28.6045,29.2855,30.5345,29.455,28.255,27.78,31.627,31.0965,30.5915,29.276,30.7295,30.499,32.803,32.3625,30.0365,29.94,30.1765,29.212,30.683,30.015,32.8135,29.9145,32.498,30.2855,31.362,30.905,32.122,32.5735,31.3535,32.123,30.074,32.146,32.174,33.336,31.196,34.095,33.506,32.6435,31.1805,35.013,33.6355,33.0635,32.8465,34.146,30.8535,33.538,35.0535,31.372,32.988
"TEHEMA3",39.846946,-122.746724,25.98,22.637,24.483,25.3095,23.8495,26.8325,24.255,22.7875,23.279,25.1535,25.3625,24.6315,25.4625,24.283,25.3065,24.2195,23.7495,24.1065,25.8345,26.057,24.204,24.8535,28.0345,24.5745,24.5635,26.7315,26.8485,25.163,26.6,22.662,22.2755,23.461,22.703,24.7705,22.15,29.3215,22.4215,24.806,23.2245,24.517,23.1005,27.335,23.32,25.8595,24.6395,25.57,25.362,24.9535,26.8765,24.889,26.9595,24.0275,24.79,26.3605,24.3695,25.7315,24.88,25.057,26.5715,26.6815,26.154,24.589,25.017,25.4745,25.361,27.9005,25.9225,28.2405,24.2335,26.2415,27.7515,25.245,28.6835,25.8215,26.3845,27.351,28.873,26.277,27.359,25.9295,28.3155,26.791,27.7525,26.211,32.044,31.1755,30.75,26.7675,26.6035,29.504,32.0965,28.442,26.7625,29.025,28.5785,26.438,26.9975,28.3995,28.999,29.5885,29.7915,27.5665,28.227,29.845,28.773,27.2895,27.4035,30.1015,30.678,29.315,29.0345,30.0205,29.9035,31.416,30.0855,28.9825,28.8955,29.124,28.745,28.6425,30.0335,32.887,27.7205,31.7245,28.565,30.2185,29.948,32.9155,32.4315,31.017,31.925,28.1215,31.7715,31.4845,32.931,30.3685,33.88,33.848,32.4685,30.342,32.826,32.1505,31.4245,32.652,33.317,29.65,33.609,34.8785,31.001,31.821
"TEHEMA4",39.991261,-121.74127,25.98,22.637,24.483,25.3095,23.8495,26.8325,24.255,22.7875,23.279,25.1535,25.3625,24.6315,25.4625,24.283,25.3065,24.2195,23.7495,24.1065,25.8345,26.057,24.204,24.8535,28.0345,24.5745,24.5635,26.7315,26.8485,25.163,26.6,22.662,22.2755,23.461,22.703,24.7705,22.15,29.3215,22.4215,24.806,23.2245,24.517,23.1005,27.335,23.32,25.8595,24.6395,25.57,25.362,24.9535,26.8765,24.889,26.9595,24.0275,24.79,26.3605,24.3695,25.7315,24.88,25.057,26.5715,26.6815,26.154,24.589,25.017,25.4745,25.361,27.9005,25.9225,28.2405,24.2335,26.2415,27.7515,25.245,28.6835,25.8215,26.3845,27.351,28.873,26.277,27.359,25.9295,28.3155,26.791,27.7525,26.211,32.044,31.1755,30.75,26.7675,26.6035,29.504,32.0965,28.442,26.7625,29.025,28.5785,26.438,26.9975,28.3995,28.999,29.5885,29.7915,27.5665,28.227,29.845,28.773,27.2895,27.4035,30.1015,30.678,29.315,29.0345,30.0205,29.9035,31.416,30.0855,28.9825,28.8955,29.124,28.745,28.6425,30.0335,32.887,27.7205,31.7245,28.565,30.2185,29.948,32.9155,32.4315,31.017,31.925,28.1215,31.7715,31.4845,32.931,30.3685,33.88,33.848,32.4685,30.342,32.826,32.1505,31.4245,32.652,33.317,29.65,33.609,34.8785,31.001,31.821
