"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,-10.1045,-11.593,-12.134,-10.06,-12.5955,-12.235,-7.572,-9.4645,-9.1425,-5.9325,-8.96,-7.5255,-6.6355,-6.375,-12.3215,-22.097,-10.794,-10.104,-10.495,-7.882,-6.88,-9.7015,-6.079,-7.1075,-9.5485,-11.437,-10.1955,-12.7615,-10.914,-7.1365,-5.266,-7.677,-7.105,-7.544,-8.4135,-9.5135,-16.5575,-7.8075,-17.664,-10.9735,-6.6755,-19.6505,-9.866,-8.174,-7.058,-10.275,-3.542,-10.272,-8.465,-10.6285,-6.5135,-9.1655,-8.8975,-9.9235,-9.1865,-6.5315,-8.2775,-4.7735,-9.135,-5.2455,-4.2235,-9.5595,-9.754,-11.382,-6.179,-5.6845,-4.0825,-10.564,-5.6195,-9.8395,-7.8085,-7.5185,-7.5005,-8.687,-5.877,-8.9675,-4.9815,-4.9765,-6.535,-5.7455,-6.151,-3.4375,-7.2985,-6.251,-4.325,-12.781,-2.719,-4.374,-4.9595,-7.3395,-10.48,-5.0655,-9.719,-7.9785,-12.548,-8.3575,-4.4095,-5.837,-4.442,-4.488,-8.2765,-2.348,-4.8175,-2.018,-4.5065,-5.193,-4.7255,-6.8465,-5.017,-3.2075,-5.091,-5.5975,-3.957,-4.321,-3.917,-4.2125,-3.116,-4.887,-2.35,-3.374,-6.014,-2.8485,-3.867,-3.9385,-4.154,-7.2575,-2.18,-3.011,-3.329,-6.704,-2.1855,-2.9415,-3.362,-3.4815,-7.9825,-3.1745,-3.0935,-2.9935,-3.8605,-3.9425,-5.523,-7.805,-3.831,-4.322,-3.9825,-3.43,-7.831,-5.8415,-3.431,-3.4215
"SHASTA1",41.128752,-121.455784,-8.608,-11.4485,-12.5645,-9.474,-9.922,-12.231,-6.127,-9.575,-6.6075,-5.607,-7.6295,-7.118,-4.306,-5.6565,-9.577,-22.3785,-10.155,-9.203,-9.9265,-8.0665,-6.5925,-7.905,-5.342,-6.09,-6.212,-8.3645,-9.9245,-12.141,-10.318,-8.226,-4.301,-7.754,-8.0645,-6.505,-8.325,-9.2,-15.2995,-6.73,-18.6255,-10.7745,-5.244,-19.931,-9.6425,-6.712,-5.6175,-9.651,-1.4795,-9.168,-7.0625,-9.687,-4.493,-7.707,-9.3155,-8.667,-10.0255,-7.519,-5.9195,-3.7375,-8.5975,-4.4145,-2.905,-7.833,-7.7615,-7.1245,-5.892,-5.3365,-2.4835,-10.099,-3.024,-6.929,-7.1795,-7.528,-5.7265,-8.8415,-3.8485,-8.221,-2.275,-2.9575,-4.775,-4.898,-5.8475,-1.4325,-6.369,-3.509,-2.552,-10.9485,-1.222,-3.217,-2.757,-6.6765,-10.167,-3.596,-9.213,-9.0485,-12.7575,-6.9245,-2.0775,-4.896,-4.051,-3.452,-7.6385,-1.745,-5.3755,-1.009,-3.403,-3.6945,-2.4815,-5.3955,-2.0475,-1.349,-4.79,-3.7855,-0.8955,-2.5245,-3.8725,-1.048,-1.528,-4.112,-2.17,-1.887,-3.098,-2.167,-2.227,-2.6755,-1.359,-6.378,-0.846000000000001,-1.715,-1.8725,-6.315,-0.0209999999999999,-1.1945,-2.455,-1.451,-8.2795,-2.2705,-0.944500000000001,-1.8715,-1.8105,-1.3215,-3.7895,-7.904,-2.163,-2.8875,-2.3125,-1.8325,-8.1505,-6.2525,-2.1215,-2.5535
"SHASTA2",41.117642,-122.388533,-8.161,-7.5165,-7.0425,-6.054,-10.3825,-7.8005,-4.7305,-6.521,-5.229,-5.8315,-6.8605,-4.8055,-3.471,-4.1275,-7.1595,-17.2495,-8.187,-6.839,-8.142,-4.566,-4.6755,-6.9475,-3.746,-4.554,-7.421,-9.3655,-7.8235,-9.528,-8.877,-5.034,-3.0305,-5.4095,-5.5155,-6.0305,-5.91,-6.9205,-13.051,-7.2435,-14.8775,-7.624,-4.7,-16.2185,-7.974,-4.241,-4.623,-7.441,-2.2,-7.273,-6.946,-7.9515,-5.6025,-6.981,-6.117,-6.1565,-5.276,-3.7595,-4.372,-5.541,-5.9185,-3.616,-2.7705,-4.488,-7.024,-4.584,-3.355,-3.3795,-3.4505,-9.048,-3.543,-4.672,-5.9735,-3.0825,-5.387,-5.884,-5.3425,-5.03,-2.7145,-5.232,-5.0305,-5.877,-3.2285,-2.0175,-5.169,-5.217,-3.769,-10.245,-1.29,-2.5635,-3.085,-5.7275,-7.8415,-2.609,-9.8085,-6.113,-10.763,-6.9095,-2.7665,-4.317,-1.994,-1.1415,-8.284,-0.923,-3.2835,-1.5625,-3.027,-3.9395,-3.501,-3.135,-4.2225,-2.9615,-2.424,-2.5955,-1.04,-3.232,-1.348,-3.0705,-2.3335,-2.4105,-1.641,-1.6335,-4.277,-1.4075,-1.2465,-3.9755,-2.815,-4.6955,-0.921,-2.0585,-1.9445,-6.294,-2.964,-2.435,-2.179,-2.0045,-6.5125,-0.559,-0.7085,-0.893,-3.49,-1.709,-3.114,-6.2885,-1.4275,-2.2035,-1.475,-2.5115,-4.1485,-4.0555,-1.2365,-0.301
"SHASTA3",40.363104,-122.948165,-10.1045,-11.593,-12.134,-10.06,-12.5955,-12.235,-7.572,-9.4645,-9.1425,-5.9325,-8.96,-7.5255,-6.6355,-6.375,-12.3215,-22.097,-10.794,-10.104,-10.495,-7.882,-6.88,-9.7015,-6.079,-7.1075,-9.5485,-11.437,-10.1955,-12.7615,-10.914,-7.1365,-5.266,-7.677,-7.105,-7.544,-8.4135,-9.5135,-16.5575,-7.8075,-17.664,-10.9735,-6.6755,-19.6505,-9.866,-8.174,-7.058,-10.275,-3.542,-10.272,-8.465,-10.6285,-6.5135,-9.1655,-8.8975,-9.9235,-9.1865,-6.5315,-8.2775,-4.7735,-9.135,-5.2455,-4.2235,-9.5595,-9.754,-11.382,-6.179,-5.6845,-4.0825,-10.564,-5.6195,-9.8395,-7.8085,-7.5185,-7.5005,-8.687,-5.877,-8.9675,-4.9815,-4.9765,-6.535,-5.7455,-6.151,-3.4375,-7.2985,-6.251,-4.325,-12.781,-2.719,-4.374,-4.9595,-7.3395,-10.48,-5.0655,-9.719,-7.9785,-12.548,-8.3575,-4.4095,-5.837,-4.442,-4.488,-8.2765,-2.348,-4.8175,-2.018,-4.5065,-5.193,-4.7255,-6.8465,-5.017,-3.2075,-5.091,-5.5975,-3.957,-4.321,-3.917,-4.2125,-3.116,-4.887,-2.35,-3.374,-6.014,-2.8485,-3.867,-3.9385,-4.154,-7.2575,-2.18,-3.011,-3.329,-6.704,-2.1855,-2.9415,-3.362,-3.4815,-7.9825,-3.1745,-3.0935,-2.9935,-3.8605,-3.9425,-5.523,-7.805,-3.831,-4.322,-3.9825,-3.43,-7.831,-5.8415,-3.431,-3.4215
"SHASTA4",40.483447,-121.428889,-13.228,-13.2965,-14.9015,-10.546,-13.6525,-13.526,-11.653,-11.496,-9.574,-9.2965,-14.2475,-8.819,-9.6015,-8.732,-13.1085,-20.668,-13.889,-12.3255,-13.1935,-9.915,-10.54,-12.1395,-8.41,-9.134,-10.446,-12.852,-11.878,-14.643,-13.865,-9.601,-6.511,-10.169,-11.713,-10.0225,-12.1475,-12.0315,-16.742,-11.214,-19.3825,-14.1195,-8.45,-19.0995,-11.599,-7.286,-8.9835,-13.586,-5.808,-13.786,-11.892,-14.0875,-9.6325,-11.071,-11.834,-12.428,-11.7895,-7.4075,-9.768,-7.0385,-9.1775,-8.144,-6.7685,-9.183,-10.432,-11.3315,-8.1205,-7.6435,-9.4235,-11.7085,-7.125,-11.4525,-10.662,-8.649,-11.1295,-11.181,-9.369,-11.3365,-6.8795,-8.1045,-8.6635,-9.751,-7.4065,-5.9745,-11.51,-8.136,-8.3055,-10.465,-5.2395,-6.438,-6.8695,-12.3395,-13.5955,-7.649,-12.7725,-9.929,-14.3035,-10.6505,-7.3395,-7.51,-8.168,-5.6025,-10.7835,-5.326,-7.287,-4.8385,-9.005,-6.6315,-7.169,-8.506,-8.527,-6.079,-6.0995,-9.774,-7.674,-8.4355,-7.657,-5.8195,-5.878,-7.1345,-5.4625,-6.9715,-7.4725,-7.23,-6.256,-6.7895,-7.6585,-11.0655,-5.2015,-5.885,-5.6585,-9.725,-6.562,-6.0455,-6.8305,-6.5575,-8.5975,-7.3305,-6.441,-5.2415,-8.5875,-6.5735,-8.2595,-9.1895,-6.612,-5.4245,-5.842,-7.3265,-9.415,-10.6155,-6.159,-5.4005
"TEHEMA0",40.077891,-122.177402,1.269,0.6255,2.0185,0.4855,0.4035,2.4605,2.5585,2.19,3.7745,3.3645,2.1725,0.56,2.2425,3.013,0.4615,-4.2415,2.343,2.671,1.0845,4.156,2.0355,-0.3015,3.6385,4.198,1.8255,0.8145,0.602,1.9015,0.2975,3.396,5.3115,2.587,3.512,2.178,3.2495,2.604,-0.0794999999999999,1.9755,-0.5495,3.137,4.0735,-2.2965,3.215,4.8755,4.5145,2.371,5.6335,2.111,3.3935,3.316,3.6545,3.5255,3.219,1.781,3.3245,4.5095,3.6045,4.593,4.207,4.7395,5.7025,4.5395,3.8385,0.6215,6.075,4.955,5.7825,3.609,5.882,4.873,2.83,5.461,4.3225,3.186,3.2755,2.27,5.0045,3.937,4.597,4.8175,6.1405,6.896,3.1615,5.8325,5.422,2.565,6.6925,6.1455,4.637,1.789,1.74,6.0045,0.53,3.1975,0.1785,2.05,5.1845,5.2985,5.151,5.036,2.7975,6.545,4.846,6.8805,5.9415,6.0965,5.6125,4.8165,5.6205,5.248,6.926,4.923,6.1685,5.1785,5.705,6.8845,6.407,6.5685,5.47,6.023,5.359,6.2365,6.1575,5.0055,5.1235,5.3265,6.4125,6.698,5.556,3.1175,7.3885,5.8235,6.036,5.7235,2.9915,6.436,6.025,7.6485,4.8085,5.962,5.386,6.6555,6.1985,5.785,6.898,7.221,5.0265,6.3035,6.162,7.1255
"TEHEMA1",40.372282,-121.648837,-9.2235,-10.5435,-11.4295,-9.124,-12.822,-10.45,-9.7355,-9.099,-8.713,-7.07,-12.186,-7.1005,-6.0055,-8.1015,-10.6745,-18.26,-12.096,-9.226,-11.471,-7.3255,-7.594,-9.779,-5.9865,-7.5235,-9.094,-10.7055,-9.7045,-10.8385,-11.2135,-7.573,-6.957,-8.9135,-7.8335,-7.6425,-8.155,-10.314,-13.411,-9.8515,-15.188,-10.723,-6.1745,-15.765,-10.62,-6.5835,-6.9035,-10.5335,-4.9535,-11.708,-8.716,-10.5225,-7.4845,-7.957,-8.014,-10.2475,-8.1765,-7.562,-6.8975,-6.4745,-7.347,-5.0565,-4.234,-7.568,-8.164,-7.202,-6.9605,-5.0405,-8.981,-9.5375,-5.262,-8.5165,-7.4305,-6.7955,-8.3445,-7.5615,-7.544,-7.3545,-5.861,-6.454,-5.8515,-7.2065,-5.9275,-4.5675,-9.7705,-6.0565,-7.3505,-8.5825,-5.638,-4.89,-5.3525,-7.936,-10.0285,-5.0695,-9.8635,-7.942,-10.815,-7.4625,-7.909,-6.1605,-5.708,-4.9385,-7.443,-3.023,-5.805,-3.523,-6.5285,-5.9875,-6.2085,-7.396,-4.505,-3.961,-4.461,-8.306,-5.314,-7.3435,-5.461,-5.618,-4.6925,-4.849,-3.281,-6.364,-5.508,-6.2655,-4.215,-6.166,-5.5385,-6.4445,-3.82,-5.2155,-5.3,-7.648,-4.5045,-4.5335,-5.306,-6.0265,-6.35,-6.3355,-5.392,-3.338,-6.436,-4.376,-6.086,-6.027,-4.853,-5.061,-4.66,-5.3425,-8.3545,-6.4635,-4.376,-3.3065
"TEHEMA2",40.146833,-122.807917,-5.1,-5.8265,-5.167,-3.9925,-5.714,-5.9555,-2.2725,-4.2875,-4.0455,-3.644,-5.2995,-3.5795,-2.455,-3.9645,-4.721,-11.011,-3.5025,-3.808,-5.984,-3.711,-2.791,-5.6765,-2.4585,-2.1415,-4.3445,-5.096,-5.469,-4.301,-5.487,-2.431,-1.4535,-2.9455,-3.7145,-3.635,-3.584,-3.211,-7.6385,-4.6225,-7.589,-4.5935,-2.403,-10.6475,-4.6275,-2.846,-2.5395,-3.3575,-1.523,-4.051,-4.758,-3.0505,-2.325,-4.601,-3.5905,-6.811,-2.629,-2.1445,-2.209,-2.1975,-3.139,-2.624,-1.469,-2.927,-3.5025,-4.317,-1.7055,-1.1895,-2.042,-4.553,-0.4635,-2.5335,-2.223,-2.0215,-4.9345,-3.932,-2.6985,-2.217,-0.7815,-3.321,-3.315,-1.4675,-0.358,-0.3815,-3.581,-2.412,-0.996,-4.443,-0.552,-0.6735,-0.567,-4.2545,-3.9565,-0.886,-5.4075,-1.8405,-5.7025,-3.596,-0.9575,-1.9375,-2.452,-0.938,-5.2005,0.7335,-1.4585,1.212,-1.4465,-2.511,-1.045,-2.041,-2.6905,-0.034,-0.0884999999999998,-0.9365,-1.372,-3.0555,0.152,0.295,-0.2215,0.495,0.5105,-0.106,-1.622,0.4515,0.783,-1.232,-0.4195,-2.806,0.444,-0.00250000000000017,0.136,-2.4155,0.1235,-0.8055,-0.223,-0.176,-3.1345,0.3245,0.6505,0.125,-1.245,0.3925,-1.2945,-0.4475,0.00900000000000012,-1.1275,0.143,-0.2295,-1.265,-0.9445,-0.191,1.729
"TEHEMA3",39.846946,-122.746724,-4.9635,-8.205,-4.8045,-5.131,-5.64,-5.3775,-3.0725,-3.691,-3.1195,-5.1525,-3.6525,-3.478,-2.611,-4.5265,-5.055,-13.292,-4.0425,-3.1545,-6.0865,-2.731,-2.921,-4.965,-4.4105,-2.5405,-4.9545,-6.2585,-4.528,-4.5075,-5.871,-3.415,-2.4745,-3.8945,-2.512,-4.739,-3.5785,-4.3135,-8.8,-5.13,-8.844,-3.999,-2.1375,-12.5625,-4.0815,-3.3805,-2.525,-3.3655,-2.38,-4.382,-3.74,-3.1695,-3.0435,-4.226,-3.4245,-5.3285,-2.08,-1.2945,-1.7065,-1.6775,-2.2985,-2.116,-1.3495,-1.9725,-1.852,-6.499,-2.072,-1.638,-2.518,-3.7315,-0.7615,-3.17,-2.8025,-1.5615,-3.8655,-3.2405,-2.8355,-2.5125,-0.575,-2.3485,-4.524,-1.005,-1.2585,-0.1275,-2.9045,-1.728,-0.423,-6.324,-0.2525,-1.357,-1.068,-4.545,-4.431,-1.1965,-5.8025,-2.8565,-6.611,-4.211,-0.5975,-2.1,-1.534,-0.112,-4.8135,0.3945,-0.719,0.897,-0.719,-1.615,-0.598,-1.045,-1.695,-0.42,0.424,-1.067,-1.303,-2.2675,0.2535,0.462,-0.811,-0.176,0.1085,-0.7025,-2.3295,0.285,0.258,-0.773,-0.0510000000000002,-1.1305,-0.4345,-0.129,1.002,-2.9475,0.0335000000000001,-0.7605,0.175,0.3855,-3.1275,0.3805,0.0785,1.3165,-1.108,0.1065,-1.066,-0.4275,-0.235,0.761,-0.0459999999999998,-0.145,-0.866,-1.452,0.162,0.824
"TEHEMA4",39.991261,-121.74127,-4.9635,-8.205,-4.8045,-5.131,-5.64,-5.3775,-3.0725,-3.691,-3.1195,-5.1525,-3.6525,-3.478,-2.611,-4.5265,-5.055,-13.292,-4.0425,-3.1545,-6.0865,-2.731,-2.921,-4.965,-4.4105,-2.5405,-4.9545,-6.2585,-4.528,-4.5075,-5.871,-3.415,-2.4745,-3.8945,-2.512,-4.739,-3.5785,-4.3135,-8.8,-5.13,-8.844,-3.999,-2.1375,-12.5625,-4.0815,-3.3805,-2.525,-3.3655,-2.38,-4.382,-3.74,-3.1695,-3.0435,-4.226,-3.4245,-5.3285,-2.08,-1.2945,-1.7065,-1.6775,-2.2985,-2.116,-1.3495,-1.9725,-1.852,-6.499,-2.072,-1.638,-2.518,-3.7315,-0.7615,-3.17,-2.8025,-1.5615,-3.8655,-3.2405,-2.8355,-2.5125,-0.575,-2.3485,-4.524,-1.005,-1.2585,-0.1275,-2.9045,-1.728,-0.423,-6.324,-0.2525,-1.357,-1.068,-4.545,-4.431,-1.1965,-5.8025,-2.8565,-6.611,-4.211,-0.5975,-2.1,-1.534,-0.112,-4.8135,0.3945,-0.719,0.897,-0.719,-1.615,-0.598,-1.045,-1.695,-0.42,0.424,-1.067,-1.303,-2.2675,0.2535,0.462,-0.811,-0.176,0.1085,-0.7025,-2.3295,0.285,0.258,-0.773,-0.0510000000000002,-1.1305,-0.4345,-0.129,1.002,-2.9475,0.0335000000000001,-0.7605,0.175,0.3855,-3.1275,0.3805,0.0785,1.3165,-1.108,0.1065,-1.066,-0.4275,-0.235,0.761,-0.0459999999999998,-0.145,-0.866,-1.452,0.162,0.824
