"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,22.5045,22.4155,22.3075,28.4695,23.723,23.3955,21.31,26.129,21.6,23.1625,24.709,20.946,25.0175,21.7815,22.2,23.411,22.1515,23.087,22.076,23.102,23.689,21.668,22.0415,22.744,22.88,22.6295,23.0675,21.769,20.5185,23.0155,22.7565,24.3205,22.4295,24.391,22.9875,23.5495,22.671,20.9345,24.7645,22.5885,24.8245,22.87,18.6105,22.7855,24.189,24.4605,25.6145,25.565,23.5815,24.1945,25.4955,22.4575,25.096,25.7975,25.91,24.938,26.598,23.881,26.8075,26.6625,23.291,24.685,24.5105,27.3855,25.938,23.8755,23.7215,26.9485,26.794,23.776,23.091,23.5515,29.265,25.889,25.244,23.9485,24.727,22.5315,24.0525,26.862,25.4255,25.092,24.8025,25.7965,28.2675,25.2745,27.089,30.3795,28.3825,26.583,24.211,25.711,28.5425,24.345,25.7615,30.357,27.131,25.7965,26.798,25.8275,25.2055,30.5845,29.1595,29.267,27.04,26.1715,26.059,26.102,29.373,28.9395,26.518,30.659,30.737,27.2905,26.4425,33.5905,27.9075,29.8015,27.974,27.0715,29.231,29.294,25.965,27.935,28.41,30.0255,26.164,25.4045,29.458,31.519,29.749,26.7555,31.763,31.417,28.4655,30.155,29.102,28.5895,29.0255,31.7655,28.866,31.436,31.0005,27.638,30.0715,31.3015,32.127,32.8225,33.9095,28.098
"SHASTA1",41.128752,-121.455784,23.8965,24.4355,24.2745,30.1565,25.056,24.791,23.801,28.2555,23.6385,26.2265,26.8255,23.0155,28.053,23.428,22.516,25.546,23.4745,25.3435,23.9125,23.9335,25.4375,24.194,24.2515,24.5735,26.6155,26.302,24.278,24.211,23.008,25.3025,24.552,27.477,23.653,27.1925,24.497,25.5915,24.9115,23.0315,26.253,24.7835,27.688,24.4515,21.836,26.5145,26.9855,26.107,28.115,26.8945,27.301,26.872,27.2135,23.9165,27.536,27.7425,25.883,25.848,29.032,25.494,28.794,28.8325,25.4025,25.4775,28.8205,29.5385,29.7075,29.191,27.128,29.6805,27.6825,27.5665,25.5355,24.1755,31.1895,26.8645,27.3625,26.0585,26.066,24.499,26.4995,27.815,26.546,27.147,27.5025,28.2715,29.816,26.995,30.5325,31.6035,30.776,27.707,26.348,27.808,30.798,26.066,26.7435,31.5135,27.7435,27.4675,27.528,30.4655,28.165,32.7255,30.573,30.7345,28.657,28.1405,27.6085,28.1695,31.096,31.25,29.0475,31.366,32.479,30.131,28.3635,35.501,30.8645,31.4555,31.04,28.1215,30.422,32.213,28.2965,31.443,30.166,31.3665,27.245,29.927,32.2345,33.558,31.762,30.556,33.2365,32.564,29.3385,32.188,30.9085,30.8785,32.239,35.0155,31.6685,34.903,33.3445,30.067,33.39,32.776,35.4425,33.9165,34.5905,30.4855
"SHASTA2",41.117642,-122.388533,23.3335,23.4,24.1665,29.29,24.14,23.869,22.7065,25.14,24.044,23.924,23.23,21.632,24.301,22.65,22.165,24.1845,23.1305,23.3935,24.02,23.707,24.895,23.6565,23.196,23.822,24.2775,23.771,23.9885,22.6775,21.8975,24.805,23.871,25.049,23.479,25.0115,22.777,24.627,23.7385,22.4855,23.363,24.205,25.2855,23.6035,22.808,24.009,25.454,26.4405,26.5425,25.4445,25.2015,25.7635,25.9845,24.9845,25.7415,26.281,25.669,25.482,28.1605,24.4715,28.161,28.001,23.2025,26.6265,26.898,27.711,26.826,25.466,26.1625,26.993,27.847,26.1225,24.7105,24.279,29.8215,27.157,28.8775,24.7795,27.0045,25.067,27.3625,27.3415,26.499,25.23,27.234,26.8645,29.739,26.1875,27.5435,31.1745,30.034,28.4815,24.9495,26.4535,29.4545,25.3395,27.533,31.7135,27.3685,27.304,27.44,27.167,27.0665,31.291,29.281,29.6785,26.7,29.035,26.014,27.5875,29.4765,30.1625,27.4585,29.7055,30.393,28.448,26.817,33.621,29.91,30.778,27.397,27.5645,29.725,29.984,27.066,29.2755,30.4015,30.5895,27.6435,26.664,29.9785,31.395,30.7015,29.7065,32.245,31.78,27.924,32.0285,30.622,27.9315,30.9105,32.761,31.344,32.2825,32.318,29.2565,30.5895,31.051,33.539,32.287,32.783,29.278
"SHASTA3",40.363104,-122.948165,22.5045,22.4155,22.3075,28.4695,23.723,23.3955,21.31,26.129,21.6,23.1625,24.709,20.946,25.0175,21.7815,22.2,23.411,22.1515,23.087,22.076,23.102,23.689,21.668,22.0415,22.744,22.88,22.6295,23.0675,21.769,20.5185,23.0155,22.7565,24.3205,22.4295,24.391,22.9875,23.5495,22.671,20.9345,24.7645,22.5885,24.8245,22.87,18.6105,22.7855,24.189,24.4605,25.6145,25.565,23.5815,24.1945,25.4955,22.4575,25.096,25.7975,25.91,24.938,26.598,23.881,26.8075,26.6625,23.291,24.685,24.5105,27.3855,25.938,23.8755,23.7215,26.9485,26.794,23.776,23.091,23.5515,29.265,25.889,25.244,23.9485,24.727,22.5315,24.0525,26.862,25.4255,25.092,24.8025,25.7965,28.2675,25.2745,27.089,30.3795,28.3825,26.583,24.211,25.711,28.5425,24.345,25.7615,30.357,27.131,25.7965,26.798,25.8275,25.2055,30.5845,29.1595,29.267,27.04,26.1715,26.059,26.102,29.373,28.9395,26.518,30.659,30.737,27.2905,26.4425,33.5905,27.9075,29.8015,27.974,27.0715,29.231,29.294,25.965,27.935,28.41,30.0255,26.164,25.4045,29.458,31.519,29.749,26.7555,31.763,31.417,28.4655,30.155,29.102,28.5895,29.0255,31.7655,28.866,31.436,31.0005,27.638,30.0715,31.3015,32.127,32.8225,33.9095,28.098
"SHASTA4",40.483447,-121.428889,19.4445,19.186,19.42,24.335,22.689,21.0315,19.4995,21.756,19.362,19.655,19.9665,18.4375,20.1025,18.636,17.6025,20.338,19.279,20.977,19.343,19.147,19.6495,18.6345,19.253,20.105,19.6215,20.649,20.4825,19.0635,17.809,19.4225,20.2425,22.5605,19.207,20.855,20.3335,21.2275,20.838,18,20.6325,20.435,21.3905,19.7255,16.771,20.5795,22.998,22.36,24.7235,22.28,21.678,22.2265,23.323,20.029,21.5905,22.838,22.1865,21.111,22.6635,21.502,23.121,22.8675,19.42,23.841,23.1375,25.3755,23.9215,21.381,22.3205,23.291,23.7525,22.345,21.878,20.624,25.2605,22.783,22.389,22.509,22.9155,20.6675,23.3625,25.6015,24.7025,23.9785,22.4685,23.83,26.1165,24.847,25.8915,26.752,24.307,23.5845,22.2995,22.683,25.163,21.072,23.1105,26.0145,24.9775,22.7885,24.907,23.754,24.4735,29.2455,27.9185,26.7175,24.112,23.8305,23.392,24.2865,27.76,25.58,24.701,27.2835,26.937,25.966,24.7275,30.0185,26.887,26.739,27.5755,24.047,25.8355,27.028,24.876,25.1795,27.5325,27.476,23.177,25.2955,28.4115,27.6555,26.342,26.066,28.661,29.443,24.6235,27.593,26.462,25.6135,27.303,29.162,27.717,29.4645,28.56,26.3135,28.5595,28.014,30.5065,31.7705,31.112,27.0445
"TEHEMA0",40.077891,-122.177402,33.224,34.986,32.6385,37.9815,35.549,33.4775,33.762,34.6995,31.7305,33.3025,33.96,31.6815,33.605,31.8055,32.129,32.9425,33.112,32.645,33.192,33.332,33.1295,33.2,33.4135,34.7205,33.2835,33.234,33.4525,31.9595,30.283,32.906,35.3865,34.448,33.864,34.706,33.284,33.5505,34.6305,33.5855,35.3305,35.1795,34.541,33.491,32.8505,34.058,34.4565,36.16,35.913,34.687,34.545,36.1765,35.9165,32.6015,34.302,33.7665,34.2105,34.8345,34.6105,33.838,35.3765,35.328,33.899,36.808,35.49,35.296,34.68,32.87,35.494,36.5735,35.714,33.911,32.836,35.1235,39.484,33.689,35.0315,33.8625,37.022,33.049,34.9905,37.3795,36.2295,37.506,34.8195,35.903,38.7875,38.6935,36.3245,38.1305,37.263,37.0805,35.5525,35.1125,37.327,36.362,35.3055,38.6595,36.6555,37.304,35.551,36.3515,36.4075,41.1185,40.1515,38.687,35.79,36.571,37.3055,36.457,39.1485,39.2505,36.661,42.1255,39.03,35.4815,36.1775,41.465,36.761,39.7185,37.4075,37.954,37.3275,39.2455,38.19,35.9865,41.189,40.023,36.6905,35.6895,39.3035,37.729,38.2635,36.1705,41.426,40.7665,38.1425,42.7775,38.6025,38.871,40.3945,41.4355,38.818,41.076,40.378,39.221,39.3495,40.08,45.095,41.016,42.7495,39.3685
"TEHEMA1",40.372282,-121.648837,21.2285,20.22,20.4745,26.272,24.697,21.632,20.7045,23.13,20.968,21.7735,21.6365,19.179,21.0495,20.1145,19.3385,21.8655,20.1255,23.76,21.85,20.64,22.419,20.1385,21.3285,22.285,21.7065,23.0975,22.7725,21.364,19.305,21.049,23.0045,23.212,20.621,22.4595,22.2265,22.025,21.664,20.3135,21.534,22.764,22.389,22.386,19.3225,21.23,23.6995,23.1605,25.277,23.7705,22.72,23.9905,24.9085,21.6195,23.4305,24.0295,24.6645,22.6315,26.1295,23.4885,25.064,24.945,20.968,27.1765,23.693,25.7685,27.102,22.647,23.36,24.282,25.81,23.9435,23.0815,22.7695,27.4065,23.7685,23.5815,24.5115,24.8755,22.526,24.847,27.896,26.282,26.1395,23.0535,26.4635,29.112,26.271,27.0135,28.3485,26.815,27.362,22.9405,24.8255,27.343,23.5535,24.688,28.0645,26.586,25.5355,26.8495,25.4865,26.1205,29.5705,29.6705,28.1595,26.458,27.7215,24.834,25.728,29.0645,27.693,27.246,30.196,28.5395,28.474,27.3205,31.972,28.1185,29.493,27.311,25.3005,26.983,29.4625,26.6395,25.7825,29.047,29.4885,24.912,25.1995,28.888,29.2955,27.984,28.2415,30.493,31.1965,26.623,30.615,27.877,26.5525,30.078,30.547,29.235,30.293,30.929,26.869,29.6365,30.657,31.694,33.396,31.6405,27.213
"TEHEMA2",40.146833,-122.807917,25.2165,25.364,25.7355,31.86,26.203,25.45,25.793,27.3175,24.3495,25.4155,26.824,23.866,25.686,24.19,24.067,25.495,25.101,25.651,25.5865,24.892,24.736,25.8265,27.7865,25.0665,24.741,26.094,28.9475,24.1515,22.842,24.3335,25.1115,26.6125,24.8155,26.3575,26.9635,26.665,25.6005,24.091,27.0105,28.257,26.8875,26.22,22.7755,27.391,26.6105,27.1035,29.134,27.993,27.474,28.016,27.783,24.3195,27.016,26.572,27.614,27.8375,28.6025,26.0465,28.425,28.858,25.2345,28.4535,27.703,29.0845,28.4105,25.6605,26.9205,28.165,28.933,26.2,26.5725,26.1775,30.228,25.4495,29.0275,27.123,28.1635,25.444,28.643,30.013,31.0505,27.5305,28.0965,28.226,32.644,28.862,30.4455,30.517,30.6505,29.211,26.9465,26.4925,30.058,26.316,31.1225,31.692,30.1085,28.809,30.3485,27.2585,28.1285,31.7555,31.685,29.442,28.9855,28.632,28.6225,29.9065,30.3845,32.163,28.272,32.4795,30.5395,28.247,30.4275,33.563,28.903,32.0195,29.667,30.323,29.79,31.3065,29.343,28.427,32.89,33.4295,28.2145,27.0835,30.676,30.6185,30.5815,29.8355,32.624,34.4745,30.7725,33.364,31.169,30.5025,31.599,33.6895,31.38,32.6365,33.791,29.5145,32.0725,32.7265,36.6205,33.776,32.41,28.9405
"TEHEMA3",39.846946,-122.746724,24.0055,24.5035,24.348,30.2215,24.3345,23.641,24.923,26.1545,23.3145,24.039,25.5465,22.3295,23.843,23.8355,22.359,23.3805,23.7385,24.2805,25.2385,25.3815,23.57,23.503,25.719,24.049,23.389,24.7855,26.796,22.9425,22.457,24.341,24.154,27.039,24.0805,24.738,25.5495,25.937,24.1465,23.6925,27.211,26.322,26.0245,25.0475,21.608,23.912,25.7765,25.8505,27.9705,26.9875,26.1735,26.9225,25.789,23.14,27.102,25.861,24.692,27.042,26.7015,25.0015,29.368,26.354,24.534,26.9945,26.4295,27.009,27.043,25.3855,25.752,27.1595,27.1275,24.093,24.6695,26.026,29.62,23.3775,26.751,26.245,26.8725,25.2925,28.489,29.464,29.53,26.6445,25.9005,27.59,30.7165,28.857,27.7875,30.538,29.9745,28.5365,25.2565,24.837,28.5565,25.8295,28.846,30.911,28.451,28.2725,28.5015,26.4585,27.413,30.819,31.1035,28.66,28.4175,28.221,27.318,28.5545,28.701,31.79,26.9525,33.401,30.152,26.8995,28.9875,31.2995,28.441,31.595,29.51,27.702,28.002,31.67,27.7015,28.4765,32.0615,32.7365,27.4515,26.808,31.711,30.2005,29.7125,27.8805,31.794,32.205,28.263,32.9265,29.6555,29.4125,30.558,33.3095,31.305,30.2805,32.7595,28.896,31.336,32.4275,36.728,32.6645,32.4225,29.596
"TEHEMA4",39.991261,-121.74127,24.0055,24.5035,24.348,30.2215,24.3345,23.641,24.923,26.1545,23.3145,24.039,25.5465,22.3295,23.843,23.8355,22.359,23.3805,23.7385,24.2805,25.2385,25.3815,23.57,23.503,25.719,24.049,23.389,24.7855,26.796,22.9425,22.457,24.341,24.154,27.039,24.0805,24.738,25.5495,25.937,24.1465,23.6925,27.211,26.322,26.0245,25.0475,21.608,23.912,25.7765,25.8505,27.9705,26.9875,26.1735,26.9225,25.789,23.14,27.102,25.861,24.692,27.042,26.7015,25.0015,29.368,26.354,24.534,26.9945,26.4295,27.009,27.043,25.3855,25.752,27.1595,27.1275,24.093,24.6695,26.026,29.62,23.3775,26.751,26.245,26.8725,25.2925,28.489,29.464,29.53,26.6445,25.9005,27.59,30.7165,28.857,27.7875,30.538,29.9745,28.5365,25.2565,24.837,28.5565,25.8295,28.846,30.911,28.451,28.2725,28.5015,26.4585,27.413,30.819,31.1035,28.66,28.4175,28.221,27.318,28.5545,28.701,31.79,26.9525,33.401,30.152,26.8995,28.9875,31.2995,28.441,31.595,29.51,27.702,28.002,31.67,27.7015,28.4765,32.0615,32.7365,27.4515,26.808,31.711,30.2005,29.7125,27.8805,31.794,32.205,28.263,32.9265,29.6555,29.4125,30.558,33.3095,31.305,30.2805,32.7595,28.896,31.336,32.4275,36.728,32.6645,32.4225,29.596
