"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,-6.192,-9.5165,-9.9415,-13.3105,-7.108,-12.6025,-11.2205,-9.9275,-8.049,-16.2995,-13.0175,-15.2445,-15.034,-10.845,-4.8075,-19.5385,-13.537,-10.712,-14.231,-10.106,-5.3895,-19.3565,-9.187,-12.785,-10.8765,-11.7455,-10.2925,-7.2055,-5.102,-10.114,-12.1545,-5.6655,-13.6205,-9.164,-11.8695,-8.399,-5.7875,-9.3765,-6.2485,-9.465,-7.8435,-12.1595,-18.6925,-8.0815,-12.9675,-16.427,-7.26,-5.85,-9.031,-12.284,-19.3435,-2.363,-14.9325,-14.077,-4.9205,-10.703,-19.0025,-10.646,-6.15,-13.202,-8.779,-13.263,-8.243,-10.7665,-3.169,-10.3975,-12.898,-7.537,-7.3105,-12.4065,-4.9995,-15.5635,-12.426,-4.794,-4.7005,-13.982,-10.937,-6.696,-23.6915,-11.9975,-7.897,-9.2115,-2.1665,-6.6065,-10.684,-6.887,-13.765,-5.9265,-9.5605,-7.295,-20.688,-4.763,-5.724,-14.4515,-11.1575,-8.1185,-3.1105,-15.551,-6.773,-7.2805,-2.9015,-4.6,-8.2105,-6.05,-4.0785,-3.9525,-4.283,-10.46,-4.2475,-9.134,-11.416,-6.401,-9.9335,-9.9925,-4.919,-5.5535,-4.6615,-9.2885,-6.063,-8.0135,-4.27,-4.32,-6.7835,-3.0655,-5.9475,-6.5265,-6.2155,-7.888,-13.1135,-7.0945,-4.9855,-3.6595,-7.0385,-3.028,-14.295,-8.1325,-3.169,-3.351,-5.256,-5.8245,-15.1,-4.101,-4.8255,-3.613,-3.5365,-2.113,-3.2495,-6.736,-5.545,-6.987
"SHASTA1",41.128752,-121.455784,-5.8495,-8.784,-9.5075,-12.8345,-6.441,-11.38,-8.7845,-9.345,-7.5885,-16.1715,-14.082,-13.0875,-15.317,-10.792,-2.071,-19.517,-12.5875,-11.1025,-12.9625,-7.9215,-3.0265,-18.6445,-9.2425,-13.924,-9.164,-9.6165,-9.933,-6.602,-3.12,-9.434,-10.902,-5.149,-13.521,-7.718,-9.6235,-7.7355,-4.636,-7.266,-3.4595,-10.0945,-6.2615,-10.532,-18.3795,-6.971,-12.7225,-16.387,-7.1035,-4.405,-5.992,-9.045,-21.645,-0.8415,-11.859,-12.2895,-4.57,-8.735,-18.0665,-9.217,-4.001,-11.701,-6.127,-11.3135,-7.163,-9.2655,-3.161,-8.2325,-11.423,-4.036,-8.2675,-10.6535,-3.896,-17.038,-12.569,-4.051,-4.0505,-15.962,-10.12,-4.93,-22.112,-10.831,-6.9985,-8.5345,-0.220499999999999,-6.0265,-8.062,-6.3775,-12.3475,-4.7245,-6.529,-5.1595,-20.2545,-3.8775,-4.1795,-10.941,-7.2485,-5.075,-2.013,-12.393,-5.046,-5.951,-2.84,-2.826,-7.054,-4.1205,-1.985,-1.886,-2.2285,-9.327,-2.6125,-8.6135,-10.7425,-7.032,-9.291,-9.2065,-3.214,-5.702,-1.9805,-7.692,-5.233,-5.854,-2.896,-2.7485,-4.5045,-1.63,-5.672,-3.799,-3.1675,-8.065,-12.552,-4.576,-2.728,-1.837,-5.1125,-0.9835,-14.2995,-7.924,-2.087,-1.6655,-3.05,-3.9885,-14.104,-2.277,-0.859,-1.809,-1.9445,1.206,-1.322,-7.9605,-6.433,-5.2605
"SHASTA2",41.117642,-122.388533,-3.486,-7.419,-7.0725,-9.9875,-4.072,-8.437,-8.3305,-7.351,-5.8155,-13.5525,-9.2195,-14.156,-9.9525,-8.5035,-1.9465,-15.651,-9.817,-6.2635,-11.3895,-7.401,-4.9115,-17.206,-7.044,-8.866,-7.4715,-8.6135,-7.7465,-4.377,-4.992,-7.586,-9.336,-4.4535,-12.5295,-5.4595,-9.2075,-6.796,-3.8275,-5.8125,-5.284,-5.17,-5.4395,-11.06,-15.8855,-8.2495,-10.4865,-13.2555,-5.5245,-4.1945,-5.101,-10.6995,-16.957,-1.3985,-9.609,-9.5055,-4.2115,-8.6695,-17.4475,-6.8965,-4.1175,-8.6545,-5.758,-10.865,-7.2455,-7.7115,-0.373,-6.1075,-10.29,-5.489,-6.396,-7.8675,-1.4925,-9.3405,-9.692,-4.343,-3.093,-10.8295,-7.4675,-5.552,-20.4045,-8.4635,-6.023,-7.924,0.2265,-3.982,-6.3105,-6.0605,-12.4435,-4.857,-6.17,-4.534,-17.885,-4.6625,-3.2685,-11.9795,-10.013,-4.5395,-1.0795,-11.8965,-4.292,-5.3445,-4.0455,-4.291,-5.8055,-3.8805,-3.2305,-2.1105,-3.657,-8.7145,-2.873,-5.577,-7.0735,-4.307,-5.9265,-7.9405,-3.631,-3.906,-2.118,-6.2825,-4.061,-6.116,-3.4825,-3.1495,-4.1715,-2.62,-6.049,-5.682,-2.951,-4.0975,-12.7235,-4.7685,-2.9185,-2.635,-4.7595,-2.027,-12.693,-5.1285,-1.1215,-2.2605,-2.7985,-3.319,-13.536,-0.8395,-2.8375,-2.2175,-1.952,-1.568,-0.692,-5.059,-2.643,-4.426
"SHASTA3",40.363104,-122.948165,-6.192,-9.5165,-9.9415,-13.3105,-7.108,-12.6025,-11.2205,-9.9275,-8.049,-16.2995,-13.0175,-15.2445,-15.034,-10.845,-4.8075,-19.5385,-13.537,-10.712,-14.231,-10.106,-5.3895,-19.3565,-9.187,-12.785,-10.8765,-11.7455,-10.2925,-7.2055,-5.102,-10.114,-12.1545,-5.6655,-13.6205,-9.164,-11.8695,-8.399,-5.7875,-9.3765,-6.2485,-9.465,-7.8435,-12.1595,-18.6925,-8.0815,-12.9675,-16.427,-7.26,-5.85,-9.031,-12.284,-19.3435,-2.363,-14.9325,-14.077,-4.9205,-10.703,-19.0025,-10.646,-6.15,-13.202,-8.779,-13.263,-8.243,-10.7665,-3.169,-10.3975,-12.898,-7.537,-7.3105,-12.4065,-4.9995,-15.5635,-12.426,-4.794,-4.7005,-13.982,-10.937,-6.696,-23.6915,-11.9975,-7.897,-9.2115,-2.1665,-6.6065,-10.684,-6.887,-13.765,-5.9265,-9.5605,-7.295,-20.688,-4.763,-5.724,-14.4515,-11.1575,-8.1185,-3.1105,-15.551,-6.773,-7.2805,-2.9015,-4.6,-8.2105,-6.05,-4.0785,-3.9525,-4.283,-10.46,-4.2475,-9.134,-11.416,-6.401,-9.9335,-9.9925,-4.919,-5.5535,-4.6615,-9.2885,-6.063,-8.0135,-4.27,-4.32,-6.7835,-3.0655,-5.9475,-6.5265,-6.2155,-7.888,-13.1135,-7.0945,-4.9855,-3.6595,-7.0385,-3.028,-14.295,-8.1325,-3.169,-3.351,-5.256,-5.8245,-15.1,-4.101,-4.8255,-3.613,-3.5365,-2.113,-3.2495,-6.736,-5.545,-6.987
"SHASTA4",40.483447,-121.428889,-8.471,-10.232,-12.6305,-16.331,-9.0185,-15.271,-13.501,-11.251,-9.0055,-18.61,-14.3155,-17.5835,-15.1875,-11.9165,-5.415,-17.801,-15.2525,-11.8605,-16.8415,-11.3785,-8.977,-20.473,-11.7095,-14.5225,-13.479,-12.4165,-12.2835,-8.8065,-8.4885,-11.5105,-13.9705,-9.9545,-16.1615,-9.6715,-14.234,-9.476,-8.9935,-10.808,-8.5625,-11.692,-11.3965,-16.098,-20.3225,-10.597,-14.6895,-16.377,-9.752,-9.7485,-9.077,-13.8415,-19.0495,-5.5425,-13.3295,-16.006,-7.586,-14.1535,-19.372,-13.339,-9.5745,-16.4775,-11.4265,-14.138,-10.4375,-12.34,-5.225,-12.9175,-15.695,-11.702,-11.6045,-13.6545,-6.839,-14.4555,-12.5775,-7.6405,-6.774,-14.426,-12.761,-9.16,-22.8715,-14.169,-13.3605,-11.7125,-4.8675,-8.91,-11.958,-9.577,-17.4055,-7.567,-12.3515,-11.2905,-19.9645,-8.512,-7.2925,-13.541,-14.361,-9.588,-6.7675,-16.969,-10.594,-9.265,-6.3265,-7.5845,-10.141,-8.248,-5.858,-6.3965,-8.617,-13.2265,-5.719,-10.79,-12.0785,-10.281,-10.8325,-12.001,-8.7205,-9.466,-5.846,-12.2545,-8.6085,-11.212,-7.4665,-8.3805,-9.6125,-5.408,-10.0365,-7.3555,-7.1995,-7.348,-13.896,-6.8675,-7.2365,-6.1935,-10.138,-5.052,-15.4645,-10.759,-6.416,-5.7575,-7.1565,-7.3005,-16.249,-5.318,-6.4405,-6.5285,-5.898,-4.479,-4.9795,-9.7,-7.2375,-9.019
"TEHEMA0",40.077891,-122.177402,4.336,3.2735,2.201,-0.4635,4.835,0.5815,1.515,1.4655,3.436,-1.873,1.746,-1.501,-0.86,1.309,5.14,-2.789,-0.116,1.549,-0.3285,-0.206,5.1325,-4.2905,1.938,1.9085,-0.4275,0.213,0.7385,3.3045,3.6785,2.2515,2.4795,2.785,-2.075,2.768,-0.716499999999999,2.111,4.656,2.534,3.4335,2.906,2.3,0.7725,-2.7,3.2155,1.2975,-1.5505,3.9335,4.2165,3.184,1.254,-3.2855,6.401,1.931,-0.6775,4.299,2.776,-4.023,0.654,3.0715,-0.865,2.5205,0.3105,2.253,2.3475,6.1685,0.43,-1.062,2.5495,2.9165,0.429,4.6675,2.0485,0.1685,5.6615,4.226,-2.8555,2.9495,4.153,-4.2235,1.521,1.585,2.6515,8.048,5.4825,4.8535,3.9945,0.662,5.659,4.112,5.997,-5.523,3.9755,6.2215,-3.2945,-0.901,3.4475,5.576,0.636,2.5815,3.6935,6.5335,4.4125,4.1055,3.831,5.262,6.059,5.177,2.218,4.289,4.347,2.581,4.686,3.805,2.576,4.2235,4.179,6.7555,2.351,3.7795,1.568,6.494,3.848,3.8505,5.499,4.6335,4.798,5.1405,5.5055,1.051,5.985,5.2965,5.573,4.271,7.292,-1.0175,4.507,6.807,6.3005,6.6555,4.905,-0.6505,7.0505,6.1045,5.757,5.557,8.098,7.3345,3.1655,5.5325,5.7175
"TEHEMA1",40.372282,-121.648837,-8.4415,-8.877,-10.869,-16.3895,-6.938,-11.986,-10.5025,-9.202,-7.2045,-15.2785,-11.62,-17.582,-12.424,-10.093,-5.595,-14.433,-13.1155,-10.186,-13.397,-8.952,-8.5255,-17.005,-9.4815,-12.3325,-11.172,-11.0975,-11.9415,-7.3865,-6.965,-8.824,-12.611,-7.696,-16.5015,-9.3715,-11.7725,-8.0605,-7.6315,-9.0855,-7.639,-8.684,-8.6155,-13.5315,-15.9205,-9.343,-11.6155,-15.6905,-8.812,-9.7935,-8.6005,-13.2175,-16.8425,-5.257,-10.194,-13.121,-5.4675,-11.136,-17.9825,-11.4775,-6.7445,-12.071,-9.759,-12.998,-8.6795,-12.7315,-3.3455,-11.658,-11.5205,-8.2105,-7.929,-11.6245,-4.961,-10.7645,-11.688,-6.4315,-5.5055,-11.7085,-11.869,-6.1935,-19.756,-9.6545,-9.7235,-9.8605,-3.4035,-7.8125,-10.991,-6.263,-13.759,-4.294,-11.57,-8.9845,-16.988,-6.3885,-5.317,-12.395,-12.962,-7.227,-4.567,-14.1415,-7.796,-6.681,-5.065,-6.2165,-7.137,-5.987,-5.5675,-4.9415,-6.598,-13.149,-4.9025,-7.527,-10.5105,-6.3155,-7.4595,-9.9555,-7.177,-5.561,-3.55,-10.1125,-6.758,-10.1205,-5.611,-5.9065,-8.703,-4.8215,-8.117,-5.542,-5.4545,-4.941,-13.6715,-6.222,-4.9765,-4.428,-7.7295,-3.1345,-11.9785,-7.1365,-3.6885,-4.5415,-4.592,-7.5675,-12.8055,-3.2545,-4.9575,-3.8105,-5.2315,-2.534,-2.525,-8.065,-5.6065,-7.023
"TEHEMA2",40.146833,-122.807917,-2.751,-5.7285,-3.916,-8.72,-2.416,-6.3555,-5.2355,-5.558,-4.8735,-9.0635,-5.421,-7.558,-6.5165,-5.695,-0.9945,-11.0665,-6.3755,-4.6635,-7.2575,-4.1675,-2.5415,-10.405,-3.3775,-5.223,-4.712,-4.671,-5.8125,-3.748,-2.799,-4.4735,-3.8465,-3.2605,-10.278,-2.913,-7.31,-3.791,-1.6205,-4.455,-3.695,-3.3955,-3.6955,-5.983,-11.1695,-5.3715,-5.4625,-8.351,-2.708,-2.824,-3.17,-6.548,-9.653,-0.3275,-4.2655,-6.806,-1.951,-5.385,-13.4375,-6.023,-3.973,-8.0525,-4.609,-7.5815,-2.9935,-5.6635,-0.1785,-6.193,-8.927,-4.617,-4.6025,-5.6845,-1.8655,-6.137,-6.6105,-1.4865,-1.624,-9.662,-4.867,-3.5025,-11.9255,-4.623,-3.685,-4.3285,2.0185,-1.5895,-2.739,-1.879,-5.4815,-2.0495,-2.6445,-0.9875,-12.3585,-1.0825,-0.5575,-11.7,-7.6095,-3.9945,-0.081,-6.7225,-4.0975,-4.322,-0.1815,-3.095,-5.121,-1.741,-0.471499999999999,-0.719,-1.484,-4.4195,-1.3595,-2.9965,-3.5105,-3.0035,-1.819,-5.157,-1.007,-0.9665,-0.853,-3.4275,-2.191,-4.106,-1.646,-3.8625,-2.1635,-0.7915,-3.963,-3.642,-0.408,-2.657,-6.3145,-1.168,-0.279,-0.6685,-1.4955,-0.6725,-6.5285,-2.842,-0.7705,-1.5865,0.036,-1.5335,-8.1345,-0.00699999999999967,-1.5595,0.1275,-0.7765,0.537,-1.003,-3.404,-2.675,-3.437
"TEHEMA3",39.846946,-122.746724,-3.827,-4.767,-4.7015,-8.258,-2.261,-6.3945,-4.263,-7.606,-4.1985,-8.415,-5.5985,-8.932,-7.652,-6.3865,-1.6825,-12.5645,-7.1825,-5.1515,-7.6315,-6.1465,-3.2045,-10.0825,-4.349,-5.6955,-5.6525,-7.509,-7.537,-3.6565,-2.8015,-4.7305,-4.7995,-4.187,-9.757,-3.952,-6.7575,-5.095,-3.2665,-4.686,-3.4525,-2.518,-4.059,-5.478,-11.491,-6.373,-5.83,-7.133,-2.639,-3.6865,-4.4165,-6.656,-8.9715,-0.608000000000001,-4.939,-7.486,-2.6805,-3.9235,-11.814,-6.593,-3.9805,-9.4005,-4.0935,-9.1615,-2.9135,-5.197,0.4285,-6.753,-7.6845,-3.947,-4.8545,-7.2385,-2.215,-5.743,-6.809,-1.522,-1.3255,-10.4285,-3.5965,-4.105,-10.99,-4.5275,-4.004,-3.5025,1.2995,-2.245,-2.662,-2.749,-4.7715,-1.9105,-2.7455,-1.509,-11.9745,-2.4435,-1.8505,-11.2975,-9.255,-3.7425,-1.5495,-5.822,-3.534,-3.6995,-0.94,-3.1915,-3.99,-2.276,-1.127,-0.68,-0.993,-4.628,-1.859,-2.706,-5.5955,-3.626,-2.708,-5.121,-1.25,-1.397,-1.214,-3.745,-2.015,-4.366,-0.1485,-3.8625,-3.43,-0.752,-2.4735,-2.341,-0.703,-2.15,-5.2545,-0.392,-0.561,-1.4165,-1.476,-0.7645,-7.7265,-3.8735,0.6985,-1.3785,-0.7795,-1.093,-6.867,-0.285,-1.377,0.2695,-0.2765,0.396,-0.643,-3.383,-2.0135,-2.102
"TEHEMA4",39.991261,-121.74127,-3.827,-4.767,-4.7015,-8.258,-2.261,-6.3945,-4.263,-7.606,-4.1985,-8.415,-5.5985,-8.932,-7.652,-6.3865,-1.6825,-12.5645,-7.1825,-5.1515,-7.6315,-6.1465,-3.2045,-10.0825,-4.349,-5.6955,-5.6525,-7.509,-7.537,-3.6565,-2.8015,-4.7305,-4.7995,-4.187,-9.757,-3.952,-6.7575,-5.095,-3.2665,-4.686,-3.4525,-2.518,-4.059,-5.478,-11.491,-6.373,-5.83,-7.133,-2.639,-3.6865,-4.4165,-6.656,-8.9715,-0.608000000000001,-4.939,-7.486,-2.6805,-3.9235,-11.814,-6.593,-3.9805,-9.4005,-4.0935,-9.1615,-2.9135,-5.197,0.4285,-6.753,-7.6845,-3.947,-4.8545,-7.2385,-2.215,-5.743,-6.809,-1.522,-1.3255,-10.4285,-3.5965,-4.105,-10.99,-4.5275,-4.004,-3.5025,1.2995,-2.245,-2.662,-2.749,-4.7715,-1.9105,-2.7455,-1.509,-11.9745,-2.4435,-1.8505,-11.2975,-9.255,-3.7425,-1.5495,-5.822,-3.534,-3.6995,-0.94,-3.1915,-3.99,-2.276,-1.127,-0.68,-0.993,-4.628,-1.859,-2.706,-5.5955,-3.626,-2.708,-5.121,-1.25,-1.397,-1.214,-3.745,-2.015,-4.366,-0.1485,-3.8625,-3.43,-0.752,-2.4735,-2.341,-0.703,-2.15,-5.2545,-0.392,-0.561,-1.4165,-1.476,-0.7645,-7.7265,-3.8735,0.6985,-1.3785,-0.7795,-1.093,-6.867,-0.285,-1.377,0.2695,-0.2765,0.396,-0.643,-3.383,-2.0135,-2.102
