"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,24.965,23.7085,22.309,23.2695,22.5105,21.8635,21.901,20.228,22.061,22.1475,23.397,21.3155,21.9185,22.268,25.1225,21.1195,20.683,21.2095,21.581,20.415,20.9255,20.78,21.909,20.571,22.4035,23.747,21.7535,22.1245,22.444,21.998,22.765,26.1505,20.981,20.3445,24.971,21.49,23.0425,21.759,22.855,21.557,20.5165,21.4345,23.294,20.754,22.042,21.01,22.8065,22.2315,24.2915,20.8115,24.421,21.9785,23.7785,21.501,24.251,22.978,21.993,23.525,20.924,23.6885,24.0355,24.3655,24.2595,23.348,25.524,24.0145,23.6115,22.542,23.1235,24.723,23.9115,24.702,21.617,24.7415,23.982,22.731,23.366,25.3925,25.8725,23.2145,23.6065,24.41,24.398,27.517,24.4565,25.5505,22.4515,23.2645,25.076,26.5235,23.3695,25.1205,25.3595,24.1245,23.979,22.9635,25.237,23.9415,24.6055,25.009,25.199,26.631,27.804,25.499,26.995,26.2385,25.0685,25.5605,25.698,25.6355,26.762,24.158,27.9225,25.86,27.751,26.199,26.7885,29.7965,26.737,26.6625,28.722,28.192,27.593,28.253,27.545,28.333,26.8705,28.1675,29.691,26.8375,27.9785,27.972,26.92,28.2375,26.258,27.631,29.8545,30.1475,28.081,29.612,29.3155,29.608,32.304,29.543,28.9815,28.5115,27.7745,27.833,28.968,30.04
"SHASTA1",41.128752,-121.455784,27.9595,27.0875,23.7545,25.016,24.692,23.817,25.2835,23.1985,24.168,24.4785,25.5455,23.8,23.801,26.6465,26.0835,22.683,22.9795,22.986,23.4295,22.845,23.382,22.642,23.622,22.8,25.277,24.9935,22.82,25.142,24.448,24.2305,25.213,28.552,23.9195,22.7905,27.151,23.349,24.163,24.4795,24.0825,24.159,21.852,23.0025,25.669,23.6985,24.7715,23.3795,24.7805,22.584,26.513,22.26,26.5785,24.917,26.577,23.035,25.6905,25.136,24.5635,25.694,22.867,24.764,25.1775,25.5135,25.3035,25.074,27.9085,25.309,23.7015,23.8065,25.722,26.6105,26.645,27.188,23.8835,27.9365,27.8725,25.191,25.724,28.216,27.895,26.0335,26.1915,26.2025,26.844,29.227,26.8365,27.989,25.018,25.0265,27.389,28.522,25.448,27.498,26.436,26.774,27.4935,24.862,29.463,25.7835,28.2625,26.866,26.6495,28.209,30.6325,27.8715,29.5135,28.7895,27.225,27.999,29.0485,27.0145,29.489,28.252,29.2335,27.525,30.52,28.2705,29.258,31.5625,29.1185,29.169,30.877,30.7815,29.974,30.221,30.189,30.946,28.9425,30.0075,31.261,28.7375,30.428,29.44,29.883,30.161,28.2695,31.182,32.68,33.289,30.548,32.2115,31.265,32.0085,35.9675,31.5015,32.0185,30.9005,30.731,31.6915,32.2315,33.036
"SHASTA2",41.117642,-122.388533,25.5865,24.8295,23.329,23.909,24.5785,23.4595,24.2725,21.684,23.4805,23.0005,24.136,23.438,22.8985,22.1845,27.6295,22.6545,22.465,21.53,22.368,22.614,22.222,22.625,22.755,23,23.186,25.1425,23.7595,24.852,23.6305,22.7935,25.0045,26.4905,22.7195,23.392,26.3505,23.0875,23.8975,23.5745,23.708,23.811,22.0355,23.89,23.105,21.8965,23.2815,22.209,25.0545,21.919,25.621,23.486,23.6945,23.4415,24.1905,22.135,24.175,23.9985,23.404,25.164,22.5875,25.871,26.759,24.5945,24.454,24.183,27.275,25.2555,23.095,23.4555,24.943,25.4935,24.3,25.182,23.2215,25.7155,25.3305,24.7995,24.3095,25.8235,27.4925,24.419,24.6215,24.7905,26.6405,28.5,25.1445,26.28,24.1685,24.799,25.7945,27.5595,24.9115,26.8245,27.0905,25.671,25.325,25.0595,26.589,24.9755,24.658,25.769,24.551,27.416,29.796,24.9465,28.0775,25.6315,26.0775,26.2455,26.7705,26.0895,25.871,25.58,29.728,25.5275,27.7895,26.5935,26.358,30.844,26.178,27.875,28.282,28.9545,26.747,28.1905,28.5665,29.6455,27.915,28.862,30.455,27.7095,29.4225,27.721,26.9735,27.3335,27.0475,29.0705,29.346,29.93,28.7045,30.0765,29.2805,29.5445,35.2905,29.8955,28.935,29.324,28.275,28.3025,27.7645,30.3205
"SHASTA3",40.363104,-122.948165,26.994,26.4645,24.6955,27.097,27.021,27.948,26.4045,25.1285,27.231,24.651,29.528,26.905,25.4165,25.4155,27.4945,24.395,24.87,24.812,25.888,26.4305,23.473,24.1295,24.9135,24.3115,26.2255,27.995,26.83,27.072,27.4625,25.9395,27.483,28.5545,23.85,25.214,31.538,27.2575,25.9265,26.8955,25.5195,26.657,24.88,26.2215,26.269,24.4665,25.76,24.4745,27.905,25.3765,28.0245,25.0145,26.7715,25.463,28.4345,24.8595,26.745,27.81,24.6625,27.958,26.6695,25.9465,27.024,28.4455,28.8195,26.262,31.9525,27.0635,27.001,26.2125,27.0325,28.575,26.552,27.526,25.377,29.0765,27.884,27.5265,26.83,27.5975,29.5385,27.1105,28.4175,27.5765,29.7855,30.3095,27.845,27.686,26.036,27.347,28.391,30.361,26.929,28.919,30.0165,32.8105,28.349,26.4915,27.8855,27.177,26.8285,27.332,26.2675,29.719,33.5155,27.607,30.6975,30.355,29.022,28.533,29.944,28.7665,29.453,28.072,34.4215,28.986,29.885,28.696,29.392,31.442,29.724,29.4145,30.8795,32.247,30.4935,32.4935,30.892,31.6085,28.7115,30.4145,32.1425,28.9,30.9995,31.548,27.463,28.5045,29.331,29.4925,33.8555,32.5175,30.095,32.301,31.691,31.542,37.141,32.3925,29.961,31.655,29.7485,30.1235,28.5165,32.585
"SHASTA4",40.483447,-121.428889,21.3035,20.0245,19.765,19.8625,20.4445,19.0095,19.6105,17.5705,19.039,18.9905,19.5215,19.9615,19.873,18.6145,22.1235,17.505,18.83,19.014,20.317,18.053,17.787,19.9395,18.943,19.4485,20.2695,21.1515,19.49,20.2195,19.7785,19.0095,20.9735,23.188,17.991,18.489,21.148,19.417,19.531,20.4185,20.564,18.978,17.4195,20.2685,19.8545,18.5335,20.1065,20.01,21.186,18.258,22.2935,18.558,20.6185,20.209,21.3315,17.8865,21.908,21.7485,18.928,21.2515,18.796,21.0825,20.995,21.908,22.394,21.743,22.9685,22.0285,19.3795,19.373,21.7175,23.248,21.58,21.5245,20.0065,22.716,21.9185,21.587,21.2455,23.4425,23.5265,21.018,22.3735,21.3835,23.3625,25.6155,22.2755,23.907,20.818,21.1755,21.5435,24.886,20.905,24.729,24.2875,23.941,22.485,22.1685,24.485,23.4225,21.6855,22.497,23.492,24.924,27.4525,23.0565,25.6695,24.0235,23.5575,22.817,25.1925,23.887,23.7375,23.2635,27.272,23.63,25.8835,25.0525,23.128,27.552,23.6355,24.9465,27.592,25.827,25.112,24.9035,25.2395,28.5245,25.488,27.34,27.6905,24.81,25.6895,26.5165,23.9895,26.3655,24.8035,27.166,27.375,29.4645,27.089,28.0115,27.001,27.0145,30.132,27.0685,28.017,26.1565,26.2085,25.6545,26.3675,28.865
"TEHEMA0",40.077891,-122.177402,34.095,32.234,34.138,32.9265,33.7995,34.212,32.431,31.112,32.946,32.29,33.1835,34.699,33.1525,31.819,36.9215,32.5035,32.434,32.3745,32.5265,32.692,32.428,31.573,32.697,35.819,32.512,33.572,33.1585,33.412,34.838,33.2,36.056,35.652,31.1765,32.4425,35.526,32.8325,33.9205,33.9185,32.918,33.285,31.4175,32.17,32.1065,32.211,33.543,34.248,34.7115,32.143,37.4285,34.973,34.2995,33.0135,34.07,31.7515,33.4985,34.0795,33.414,33.161,32.2355,35.0165,33.747,36.1255,33.9455,35.031,38.276,36.213,32.9815,31.778,36.255,37.4955,34.3035,34.973,34.396,38.3955,33.545,37.004,34.3555,34.928,36.097,34.2295,34.3015,34.0755,37.461,39.021,35.6785,35.424,34.5085,35.3275,36.225,38.954,33.228,35.0215,36.424,36.937,34.6465,35.1495,35.1555,36.5085,35.287,35.4265,39.3305,36.8325,39.8255,34.616,39.915,36.169,37.471,35.2645,37.4955,36.5615,35.769,36.0795,41.9115,37.2445,37.1645,38.4305,36.402,39.9795,36.7015,37.1545,38.819,40.8265,39.416,38.8175,37.0815,38.1345,38.0935,40.561,39.2715,36.936,38.358,36.6565,36.7995,37.979,36.8235,38.756,37.5605,40.103,39.0965,42.5535,40.725,39.2495,44.793,39.3585,40.8525,38.1825,38.1585,39.311,40.801,40.0715
"TEHEMA1",40.372282,-121.648837,23.2675,21.994,21.2405,22.161,22.3735,22.5975,20.8365,19.2945,20.506,20.0455,24.075,21.548,21.6005,20.2755,24.44,19.7025,20.9705,20.0845,22.5075,19.3155,19.3455,21.5725,20.236,21.0695,21.0735,23.2195,21.47,23.071,21.527,20.4965,23.5125,24.73,19.5595,19.7475,23.618,21.0585,21.8405,22.306,22.2085,20.4085,18.89,22.7275,22.936,19.338,21.0985,21.019,23.389,19.717,24.73,19.8375,22.6445,21.4375,23.303,19.64,23.499,23.2125,20.0935,23.853,21.7865,22.49,23.173,23.5335,25.0375,23.862,24.8465,23.5745,21.0225,20.836,22.5765,25.34,22.242,23.078,21.407,24.5415,23.164,23.1415,22.4335,24.5735,24.3615,22.523,23.566,23.242,23.772,26.48,24.02,25.675,22.869,23.0925,23.1205,26.075,22.6725,26.8305,25.998,26.0155,25.0115,22.985,25.661,24.9545,22.804,24.427,24.3725,25.9625,29.891,24.09,28.2425,25.0625,25.3225,24.038,26.862,24.9745,25.258,24.2725,29.1065,25.0145,27.3105,25.262,24.265,29.862,24.8195,26.8465,28.0325,27.139,25.966,26.3165,26.5065,30.384,26.2835,28.129,29.945,26.231,26.981,29.1475,25.454,26.9485,25.854,27.843,29.282,30.4015,28.394,29.4395,28.8055,28.079,31.5345,28.553,28.187,29.3855,27.7725,27.393,26.9755,29.6275
"TEHEMA2",40.146833,-122.807917,25.577,25.5245,24.183,26.5265,26.802,27.4745,25.4815,23.7055,26.3885,24.354,28.4585,26.123,25.2625,24.3455,27.028,23.4495,24.3515,24.852,24.483,25.0775,23.3165,24.267,24.4735,26.376,25.4195,27.243,25.764,26.107,26.506,25.661,27.326,28.305,23.151,24.9405,29.578,26.185,25.2275,26.6345,25.1105,25.482,22.6225,25.404,25.685,24.273,25.628,25.0335,27.29,24.3195,28.2135,24.8825,26.438,25.2405,26.6935,24.586,25.266,26.684,23.9945,26.5755,26.138,25.426,26.3005,27.5515,27.0405,26.584,30.676,26.2375,26.875,25.1385,27.2685,27.8525,26.0055,28.4685,26.2485,28.2135,27.6425,27.157,25.9115,26.6525,28.7915,25.95,27.521,27.7195,28.6785,29.7605,27.705,26.8145,25.6465,27.048,27.667,30.3045,26.1105,28.216,30.183,29.842,26.356,26.941,28.0535,27.8755,27.1015,26.5935,26.283,29.6615,32.7585,26.857,31.2705,29.4365,29.353,27.3075,29.1725,28.7585,28.4725,28.153,33.613,28.3405,29.8785,27.916,28.7395,30.9175,28.9375,28.862,30.88,31.8335,29.5975,31.949,30.4545,30.7945,28.303,30.369,31.0655,28.538,29.818,29.3435,27.3995,28.663,28.135,29.135,32.4125,32.1155,29.9215,31.2745,30.5615,31.037,35.8815,31.5765,30.0485,30.044,29.3055,28.901,28.536,31.9775
"TEHEMA3",39.846946,-122.746724,25.0955,24.065,23.6095,26.3365,26.494,26.555,23.47,23.7765,25.1095,23.6215,26.7315,25.7445,24.207,22.4435,26.341,22.72,23.2495,23.507,23.17,23.88,22.431,23.316,22.8205,26.7555,24.8325,25.7145,25.087,24.597,25.155,24.8215,26.8995,26.6725,23.615,22.7405,29.888,25.478,24.0825,25.468,24.1175,23.883,21.7655,23.9405,24.163,21.707,25.118,24.119,27.258,22.586,27.7265,23.953,25.52,24.197,26.1475,23.694,24.4445,24.9915,23.4855,24.821,24.6475,25.841,26.2215,26.875,26.404,26.8075,31.0145,26.107,25.754,23.6525,26.792,26.5125,25.668,26.6405,23.7305,28.118,27.668,26.864,24.3405,25.471,28.513,24.751,26.072,26.654,27.661,29.3275,26.3075,26.428,24.4555,25.6845,26.594,28.4265,24.405,26.868,29.053,27.565,24.8555,26.4025,26.4625,27.788,25.6955,25.4155,27.0125,28.602,31.757,25.903,31.735,28.657,28.8365,27.054,28.913,27.828,27.4165,27.2885,33.3775,28.558,28.675,27.0725,26.8845,30.219,27.146,28.614,30.4525,30.914,29.0785,31.3185,29.097,29.9075,27.3755,29.2685,30.414,28.6795,29.28,28.9945,26.771,28.0035,27.457,29.081,30.057,30.798,29.3755,30.5085,29.1455,30.739,34.4965,30.6295,30.2525,28.322,28.122,28.938,29.023,30.74
"TEHEMA4",39.991261,-121.74127,25.0955,24.065,23.6095,26.3365,26.494,26.555,23.47,23.7765,25.1095,23.6215,26.7315,25.7445,24.207,22.4435,26.341,22.72,23.2495,23.507,23.17,23.88,22.431,23.316,22.8205,26.7555,24.8325,25.7145,25.087,24.597,25.155,24.8215,26.8995,26.6725,23.615,22.7405,29.888,25.478,24.0825,25.468,24.1175,23.883,21.7655,23.9405,24.163,21.707,25.118,24.119,27.258,22.586,27.7265,23.953,25.52,24.197,26.1475,23.694,24.4445,24.9915,23.4855,24.821,24.6475,25.841,26.2215,26.875,26.404,26.8075,31.0145,26.107,25.754,23.6525,26.792,26.5125,25.668,26.6405,23.7305,28.118,27.668,26.864,24.3405,25.471,28.513,24.751,26.072,26.654,27.661,29.3275,26.3075,26.428,24.4555,25.6845,26.594,28.4265,24.405,26.868,29.053,27.565,24.8555,26.4025,26.4625,27.788,25.6955,25.4155,27.0125,28.602,31.757,25.903,31.735,28.657,28.8365,27.054,28.913,27.828,27.4165,27.2885,33.3775,28.558,28.675,27.0725,26.8845,30.219,27.146,28.614,30.4525,30.914,29.0785,31.3185,29.097,29.9075,27.3755,29.2685,30.414,28.6795,29.28,28.9945,26.771,28.0035,27.457,29.081,30.057,30.798,29.3755,30.5085,29.1455,30.739,34.4965,30.6295,30.2525,28.322,28.122,28.938,29.023,30.74
