"Points","Latitude","Longitude","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"SHASTA0",40.762257,-121.864248,-8.82,-5.0895,-5.498,-7.8905,-12.1865,-9.7545,-6.6465,-8.6325,-6.6655,-5.199,-7.979,-15.271,-7.0245,-6.0615,-6.376,-5.28,-8.83,-7.4815,-11.8995,-5.9975,-10.424,-13.6735,-10.9975,-12.54,-8.4105,-4.925,-5.353,-7.839,-9.9965,-6.0855,-9.351,-6.035,-9.523,-18.729,-7.0485,-14.466,-9.718,-9.6865,-5.688,-8.549,-7.2485,-4.62,-6.0035,-5.037,-5.603,-9.8985,-10.558,-5.7745,-8.5305,-5.458,-9.246,-8.863,-17.0775,-8.842,-4.2095,-10.592,-4.934,-5.5575,-6.365,-5.0735,-3.212,-10.122,-5.75,-6.151,-4.232,-3.75,-6.768,-4.837,-13.791,-10.3115,-6.6085,-5.584,-8.5405,-7.6405,-6.005,-5.4775,-5.7585,-13.4745,-12.7785,-12.006,-11.438,-13.643,-4.0775,-7.927,-6.018,-8.9585,-5.8385,-6.413,-4.195,-11.1695,-7.3875,-4.9825,-5.0545,-11.529,-4.6585,-6.2145,-5.2475,-7.8435,-5.7665,-11.9925,-4.103,-11.689,-6.0035,-7.122,-3.556,-4.517,-4.3835,-16.1145,-7.6735,-7.9,-4.865,-3.922,-5.015,-9.2025,-9.439,-2.9745,-6.646,-7.541,-8.898,-7.202,-3.795,-6.7905,-5.3365,-18.7555,-12.2,-9.341,-9.5915,-10.186,-5.1885,-5.3975,-10.429,-2.2145,-10.056,-7.8945,-4.8795,-3.329,-6.0235,-12.456,-11.122,-4.294,-5.1405,-5.441,-10.8725,-6.0275,-5.3125,-9.711,-13.7235,-5.6625,-7.8715,-7.2545
"SHASTA1",41.128752,-121.455784,-6.3515,-3.088,-2.2805,-4.647,-13.5745,-9.804,-5.567,-7.703,-4.1085,-3.225,-8.5115,-16.1425,-5.637,-2.3635,-6.805,-3.273,-7.854,-5.839,-9.8295,-3.707,-9.663,-12.571,-8.843,-12.684,-6.403,-3.309,-4.4855,-6.5225,-11.52,-4.0035,-8.8805,-5.204,-7.7625,-19.5035,-4.987,-18.5225,-8.6675,-8.607,-5.0385,-9.7995,-4.7755,-2.051,-4.7665,-3.82,-4.234,-9.8315,-11.698,-3.18,-8.689,-3.499,-8.6215,-7.8025,-18.594,-8.8595,-2.558,-9.936,-3.654,-4.7025,-4.1305,-2.4105,-1.8645,-8.5945,-3.798,-4.8705,-1.9315,-2.977,-4.595,-3.212,-17.1255,-10.1055,-5.9355,-4.559,-8.5755,-8.0745,-3.3315,-4.1075,-4.548,-14.291,-13.8645,-12.5865,-10.6245,-12.377,-2.231,-8.315,-3.0585,-6.7695,-4.1795,-4.2145,-2.2105,-11.705,-7.6925,-3.574,-3.828,-9.51,-3.74,-5.6065,-4.3375,-6.5855,-4.3215,-15.3075,-1.157,-11.813,-4.1435,-4.9465,-1.956,-2.912,-2.728,-18.552,-6.5595,-8.0275,-4.0355,-2.894,-2.321,-9.423,-10.28,-0.8775,-2.736,-7.916,-10.1175,-7.2875,-1.583,-4.472,-5.049,-19.652,-13.101,-9.8005,-11.1495,-10.301,-1.934,-5.5915,-9.57,-0.723,-8.389,-8.609,-3.053,-2.5655,-4.2185,-11.6505,-11.2505,-2.871,-3.2165,-4.2765,-10.5955,-2.1745,-2.873,-8.1705,-14.877,-3.277,-6.2135,-6.148
"SHASTA2",41.117642,-122.388533,-5.0225,-3.918,-3.0725,-5.3365,-11.015,-9.732,-4.821,-5.7635,-4.302,-4.093,-5.581,-14.863,-5.156,-4.166,-5.4265,-3.986,-7.0155,-3.8815,-8.7805,-4.4495,-7.576,-9.037,-7.612,-13.484,-5.8045,-3.807,-4.159,-5.043,-7.7155,-6.238,-6.4505,-5.78,-6.274,-14.4875,-4.278,-10.6415,-4.751,-8.121,-4.1695,-6.338,-5.856,-3.6165,-2.3755,-3.7775,-3.7725,-9.0845,-10.644,-4.0225,-7.1155,-4.486,-6.62,-5.839,-12.899,-6.441,-4.2775,-6.6905,-3.7775,-3.9575,-4.9425,-2.154,-2.1625,-5.649,-3.797,-5.841,-3.7805,-3.1785,-4.3875,-3.6135,-12.946,-5.4135,-6.3575,-3.977,-7.411,-5.1635,-4.0065,-3.31,-5.6395,-11.3205,-12.004,-11.9195,-6.7285,-9.807,-1.797,-5.3505,-4.4595,-4.412,-4.1255,-4.854,-1.085,-7.5605,-5.748,-4.1315,-2.8285,-9.04,-3.368,-4.148,-5.1265,-4.849,-3.9945,-10.7475,-4.52,-9.259,-4.0675,-5.776,-2.02,-2.649,-2.034,-16.303,-6.0235,-5.864,-5.7115,-2.9095,-3.3685,-8.1725,-8.753,-2.692,-3.2535,-5.3305,-12.017,-6.331,-2.7885,-3.552,-5.694,-14.13,-8.7675,-8.275,-8.2395,-6.7145,-3.3605,-4.9595,-5.74,-1.2375,-5.5615,-7.264,-1.9825,-2.8375,-5.5685,-9.638,-9.089,-2.57,-3.6815,-4.7175,-8.6525,-5.574,-5.6195,-3.9945,-12.288,-4.488,-4.253,-4.348
"SHASTA3",40.363104,-122.948165,-8.82,-5.0895,-5.498,-7.8905,-12.1865,-9.7545,-6.6465,-8.6325,-6.6655,-5.199,-7.979,-15.271,-7.0245,-6.0615,-6.376,-5.28,-8.83,-7.4815,-11.8995,-5.9975,-10.424,-13.6735,-10.9975,-12.54,-8.4105,-4.925,-5.353,-7.839,-9.9965,-6.0855,-9.351,-6.035,-9.523,-18.729,-7.0485,-14.466,-9.718,-9.6865,-5.688,-8.549,-7.2485,-4.62,-6.0035,-5.037,-5.603,-9.8985,-10.558,-5.7745,-8.5305,-5.458,-9.246,-8.863,-17.0775,-8.842,-4.2095,-10.592,-4.934,-5.5575,-6.365,-5.0735,-3.212,-10.122,-5.75,-6.151,-4.232,-3.75,-6.768,-4.837,-13.791,-10.3115,-6.6085,-5.584,-8.5405,-7.6405,-6.005,-5.4775,-5.7585,-13.4745,-12.7785,-12.006,-11.438,-13.643,-4.0775,-7.927,-6.018,-8.9585,-5.8385,-6.413,-4.195,-11.1695,-7.3875,-4.9825,-5.0545,-11.529,-4.6585,-6.2145,-5.2475,-7.8435,-5.7665,-11.9925,-4.103,-11.689,-6.0035,-7.122,-3.556,-4.517,-4.3835,-16.1145,-7.6735,-7.9,-4.865,-3.922,-5.015,-9.2025,-9.439,-2.9745,-6.646,-7.541,-8.898,-7.202,-3.795,-6.7905,-5.3365,-18.7555,-12.2,-9.341,-9.5915,-10.186,-5.1885,-5.3975,-10.429,-2.2145,-10.056,-7.8945,-4.8795,-3.329,-6.0235,-12.456,-11.122,-4.294,-5.1405,-5.441,-10.8725,-6.0275,-5.3125,-9.711,-13.7235,-5.6625,-7.8715,-7.2545
"SHASTA4",40.483447,-121.428889,-10.3755,-7.5045,-7.45,-9.4285,-13.3315,-13.5765,-9.3115,-9.7775,-9.2695,-7.3755,-11.176,-17.624,-8.245,-7.5055,-9.651,-7.2785,-11.223,-9.01,-14.3775,-8.981,-12.644,-15.075,-13.078,-14.3625,-10.39,-6.63,-7.183,-10.5015,-13.849,-8.8615,-11.635,-7.8795,-10.121,-17.1105,-8.7785,-18.2915,-11.674,-11.3035,-7.5855,-12.8165,-9.407,-7.5665,-7.0625,-6.973,-7.733,-12.0535,-15.242,-8.148,-10.915,-8.763,-12.673,-10.9295,-16.7905,-10.5165,-5.354,-12.3025,-7.414,-8.7295,-8.566,-5.9125,-7.7935,-11.219,-7.4935,-8.5215,-6.948,-7.19,-8.9255,-7.364,-16.902,-16.315,-9.449,-7.5965,-10.2215,-12.0575,-8.149,-7.815,-8.452,-15.8215,-16.734,-12.6005,-13.5665,-18.179,-5.977,-10.1135,-8.9655,-7.128,-8.0995,-7.16,-4.7225,-13.9885,-8.9935,-6.948,-6.255,-13.5645,-7.787,-8.81,-8.974,-10.2215,-8.8395,-17.507,-6.199,-16.504,-8.5095,-9.58,-5.61,-6.5,-7.031,-17.594,-12.102,-11.1645,-8.4995,-6.9115,-7.6145,-12.198,-13.872,-5.1375,-6.8895,-10.0325,-13.047,-10.3315,-4.9505,-9.692,-9.028,-19.038,-15.015,-12.507,-12.069,-13.8475,-7.8105,-9.5295,-11.0465,-7.645,-16.5915,-11.023,-6.0455,-5.609,-8.6015,-16.074,-14.195,-5.7825,-8.036,-7.292,-12.8075,-7.5055,-8.9745,-9.251,-17.36,-7.415,-8.417,-9.7755
"TEHEMA0",40.077891,-122.177402,1.5475,2.5475,4.518,1.42,2.1525,1.121,4.55,2.8925,3.206,4.074,1.9935,-1.3725,2.9175,4.3305,1.718,4.781,2.9165,3.6115,1.765,1.8965,1.9875,-0.2075,2.6925,1.7945,3.146,2.4345,3.9295,2.5515,2.488,2.3275,1.5135,2.622,2.502,-1.285,3.462,1.6795,2.7085,2.9005,3.768,3.169,1.1595,5.5225,2.1455,3.936,3.9345,1.9945,2.302,4.0705,3.967,4.0365,2.242,2.9455,-0.682,3.375,3.543,2.0745,5.404,3.012,4.5525,4.4835,6.076,2.736,4.942,4.669,5.112,4.8525,2.631,5.406,0.366,2.337,3.734,4.543,4.7155,3.555,3.1325,5.291,3.4915,1.423,0.1975,-0.8475,1.87,-0.00950000000000006,6.0405,6.549,2.237,2.287,5.8255,4.93,7.3765,2.6725,4.324,4.181,4.471,2.3845,6.1255,4.169,4.1065,1.431,4.957,3.8255,5.56,2.327,3.8675,5.8495,4.779,5.6175,4.922,-2.8095,3.497,4.1025,5.834,5.346,4.2885,2.4415,2.974,6.538,3.0635,4.305,0.662,4.667,5.663,3.385,5.1845,-1.3325,3.0575,0.89,5.1955,3.1775,5.295,5.431,4.1905,7.434,2.176,3.726,6.128,6.54,4.354,2.0415,2.9345,5.801,5.7725,3.6285,0.981,3.75,3.1485,4.968,2.7065,6.6005,3.976,3.925
"TEHEMA1",40.372282,-121.648837,-8.0705,-4.7605,-5.8885,-9.244,-10.625,-9.2605,-8.7835,-8.052,-7.578,-5.144,-7.573,-14.75,-8.563,-6.182,-8.454,-7.644,-9.301,-7.6805,-11.356,-7.1345,-9.8925,-13.526,-12.28,-14.064,-9.5395,-4.991,-5.94,-8.8495,-9.635,-7.0235,-9.217,-6.3295,-8.3335,-14.4245,-6.8825,-13.45,-10.361,-10.928,-6.0655,-7.8365,-7.621,-6.0885,-6.0065,-5.6455,-6.9225,-8.578,-11.694,-7.0105,-6.9735,-8.5665,-9.2175,-8.0845,-14.738,-8.577,-3.999,-9.269,-5.9605,-7.191,-6.6375,-3.5465,-5.8615,-7.1655,-6.326,-6.5405,-6.901,-5.7135,-6.628,-6.651,-13.2015,-11.0445,-6.2505,-5.2685,-7.7475,-7.8095,-6.0475,-5.879,-6.023,-11.6075,-13.332,-11.8855,-10.843,-14.43,-2.907,-9.1625,-6.26,-6.1815,-6.056,-6.8865,-3.9155,-12.3335,-7.643,-5.6935,-6.3635,-10.8005,-5.399,-6.33,-6.338,-6.9175,-6.0145,-11.5115,-5.13,-14.1285,-8.265,-7.158,-3.5825,-5.015,-5.674,-14.904,-8.546,-8.8925,-5.052,-4.3995,-7.103,-8.9645,-12.0555,-4.8495,-6.464,-7.1775,-9.173,-8.622,-2.9655,-6.893,-6.8215,-16.0435,-11.7745,-9.9565,-9.1125,-8.881,-6.0575,-5.6475,-7.45,-3.354,-13.587,-9.473,-5.0235,-4.0235,-5.9335,-12.344,-9.32,-4.1905,-8.744,-6.709,-8.8615,-5.8115,-7.641,-7.181,-12.4615,-4.8455,-5.9,-6.2715
"TEHEMA2",40.146833,-122.807917,-4.3765,-2.9315,-2.9125,-5.3025,-7.037,-5.7875,-3.0295,-2.869,-3.881,-2.8655,-3.995,-10.5115,-3.213,-2.1125,-3.5745,-1.7785,-5.267,-3.241,-6.1025,-2.651,-3.9655,-7.8205,-5.2065,-4.756,-3.7685,-1.6355,-3.818,-5.338,-6.259,-4.9005,-5.3855,-4.4225,-4.4095,-8.072,-3.112,-5.3315,-4.2985,-3.719,-2.479,-4.3145,-4.09,-2.469,-2.1595,-2.082,-1.7265,-5.2645,-5.1545,-2.9055,-3.9675,-3.109,-4.769,-4.019,-7.7465,-4.9,-0.2845,-5.617,-1.612,-2.0865,-3.135,-0.712,-0.1315,-3.294,-2.4775,-3.073,-2.2225,-2.0245,-3.704,-2.42,-7.916,-3.0895,-1.7385,-3.357,-2.352,-3.957,-2.201,-3.347,-3.292,-4.954,-5.5975,-7.297,-5.5005,-6.3525,-0.767,-2.282,-4.684,-2.3685,-2.0915,-0.672,0.992,-2.6875,-2.526,-1.9085,-0.9255,-5.2175,-0.7635,-3.463,-3.824,-3.313,-1.5435,-4.4765,-1.76,-5.0145,-2.68,-3.691,-0.5715,-1.3915,0.248,-9.3985,-4.3735,-2.1635,-2.0285,-1.4155,-2.132,-4.57,-4.3565,-0.0249999999999999,-1.5095,-3.844,-6.3725,-3.1815,-1.6745,-0.999000000000001,-1.557,-7.708,-3.477,-4.238,-2.377,-3.315,-1.116,-2.5215,-2.087,0.6255,-3.3245,-3.8035,-0.3255,-0.9615,-3.626,-3.025,-3.827,-0.347,-0.9235,-2.663,-6.577,-3.148,-2.485,-2.579,-5.7375,-0.0654999999999999,-1.937,-3.2495
"TEHEMA3",39.846946,-122.746724,-4.4855,-3.8365,-4.2395,-5.7495,-6.84,-6.514,-3.284,-3.811,-4.2815,-2.6045,-3.842,-9.0785,-4.376,-1.3965,-3.3725,-2.885,-5.294,-3.4665,-5.4715,-3.4755,-5.5445,-8.873,-5.056,-4.683,-4.3165,-3.1745,-4.369,-4.3775,-7.256,-4.833,-5.6195,-4.69,-4.584,-8.4665,-3.7245,-5.6735,-5.624,-3.9135,-2.788,-4.8675,-5.372,-1.986,-3.1335,-3.263,-2.6025,-5.0385,-5.3995,-4.07,-4.4165,-2.436,-4.5755,-3.7315,-8.949,-4.37,-0.736,-4.912,-2.586,-1.966,-3.351,-1.166,-0.437,-4.4785,-1.5995,-2.793,-2.3425,-1.484,-4.067,-3.3,-8.49,-3.9685,-2.365,-2.84,-2.969,-3.404,-2.1825,-3.216,-3.271,-4.3775,-6.7195,-8.2995,-6.4505,-8.029,-0.672,-2.5755,-3.9565,-3.1805,-1.8785,-1.356,0.0854999999999997,-4.117,-2.2315,-1.831,-1.1705,-4.591,-0.891,-2.9095,-2.7355,-4.021,-1.896,-4.078,-1.9945,-5.828,-3.039,-3.219,-0.2245,-2.9615,-0.5965,-9.1175,-5.3005,-2.5665,-1.316,-2.143,-1.232,-4.427,-4.1105,0.0405000000000002,-2.4935,-2.856,-6.9325,-3.017,-2.34,-1.528,-1.5715,-8.9305,-5.5505,-6.146,-1.931,-4.248,-0.799,-1.5535,-2.6165,0.5685,-3.673,-3.703,-1.466,-0.947,-2.7025,-4.406,-4.3015,-0.8475,-1.258,-2.5835,-7.07,-2.981,-1.773,-2.5465,-4.811,-1.929,-2.739,-3.095
"TEHEMA4",39.991261,-121.74127,-4.4855,-3.8365,-4.2395,-5.7495,-6.84,-6.514,-3.284,-3.811,-4.2815,-2.6045,-3.842,-9.0785,-4.376,-1.3965,-3.3725,-2.885,-5.294,-3.4665,-5.4715,-3.4755,-5.5445,-8.873,-5.056,-4.683,-4.3165,-3.1745,-4.369,-4.3775,-7.256,-4.833,-5.6195,-4.69,-4.584,-8.4665,-3.7245,-5.6735,-5.624,-3.9135,-2.788,-4.8675,-5.372,-1.986,-3.1335,-3.263,-2.6025,-5.0385,-5.3995,-4.07,-4.4165,-2.436,-4.5755,-3.7315,-8.949,-4.37,-0.736,-4.912,-2.586,-1.966,-3.351,-1.166,-0.437,-4.4785,-1.5995,-2.793,-2.3425,-1.484,-4.067,-3.3,-8.49,-3.9685,-2.365,-2.84,-2.969,-3.404,-2.1825,-3.216,-3.271,-4.3775,-6.7195,-8.2995,-6.4505,-8.029,-0.672,-2.5755,-3.9565,-3.1805,-1.8785,-1.356,0.0854999999999997,-4.117,-2.2315,-1.831,-1.1705,-4.591,-0.891,-2.9095,-2.7355,-4.021,-1.896,-4.078,-1.9945,-5.828,-3.039,-3.219,-0.2245,-2.9615,-0.5965,-9.1175,-5.3005,-2.5665,-1.316,-2.143,-1.232,-4.427,-4.1105,0.0405000000000002,-2.4935,-2.856,-6.9325,-3.017,-2.34,-1.528,-1.5715,-8.9305,-5.5505,-6.146,-1.931,-4.248,-0.799,-1.5535,-2.6165,0.5685,-3.673,-3.703,-1.466,-0.947,-2.7025,-4.406,-4.3015,-0.8475,-1.258,-2.5835,-7.07,-2.981,-1.773,-2.5465,-4.811,-1.929,-2.739,-3.095
