"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,30.7505,31.4655,31.815,27.945,30.0675,30.1245,32.2335,30.7995,28.6535,29.99,26.70795
"2",1951,28.476,31.383,30.2625,29.5125,28.341,30.303,28.3015,29.616,29.0215,31.462,26.61215
"3",1952,28.3935,29.638,31.0955,28.079,29.0205,29.2965,28.8465,28.6545,29.807,28.0945,26.96365
"4",1953,29.732,30.987,29.542,33.2365,29.4955,32.308,30.9605,30.6075,30.51,29.926,27.56295
"5",1954,30.336,29.965,28.562,28.9245,27.686,28.8845,30.516,29.976,30.0115,30.9645,26.93255
"6",1955,29.564,31.83,27.189,28.229,28.587,29.313,30.8245,28.9,28.9655,29.9455,26.4847
"7",1956,30.201,30.4905,29.957,29.3605,29.27,29.794,29.7575,28.835,30.3575,31.1995,26.7
"8",1957,28.7905,30.37,32.1105,29.8295,29.608,27.348,28.898,29.69,31.6585,30.853,27.27585
"9",1958,28.9045,29.7305,29.618,28.877,27.8085,26.7555,30.09,30.1535,29.2645,29.626,26.3354
"10",1959,30.9205,27.804,29.463,29.9295,30.608,29.947,28.8735,27.6265,29.492,27.8915,26.04505
"11",1960,29.006,28.9595,29.7425,29.747,29.154,29.3455,31.004,30.6875,30.327,28.036,27.5211
"12",1961,30.04,31.079,31.2125,28.898,28.8975,30.008,30.163,29.431,28.911,28.244,27.1531
"13",1962,30.8625,30.7205,31.6435,29.5545,27.632,30.0585,30.6405,29.8795,28.0535,31.0135,26.25375
"14",1963,29.243,31.2925,29.2575,29.226,30.037,27.637,29.2305,30.0025,30.889,27.965,26.6228
"15",1964,31.206,32.6045,33.143,29.9575,30.706,29.025,30.6995,31.4465,31.3045,29.211,26.8473
"16",1965,28.9665,30.202,30.9765,27.766,28.165,32.2235,30.464,30.8595,28.4295,31.9,26.9455
"17",1966,28.9665,30.1965,29.8345,29.5265,30.6815,29.5025,30.9345,30.7385,28.848,27.31,26.887
"18",1967,29.0295,30.9305,29.1125,30.233,29.7075,31.891,30.4685,28.509,28.8855,28.05,26.29
"19",1968,29.0525,33.6065,30.183,30.8425,30.5615,28.9385,31.2835,28.668,30.299,29.833,26.92625
"20",1969,28.8765,31.9805,30.5975,28.3845,29.185,29.48,28.5785,29.1125,30.173,29.519,25.93425
"21",1970,31.1485,29.0625,30.349,31.3045,28.7,29.299,28.9005,30.9865,28.856,28.8545,27.93385
"22",1971,28.5975,32.1915,29.937,27.5115,29.7635,30.779,31.04,28.795,30.114,28.84,27.378
"23",1972,28.5545,29.5465,29.2815,28.4955,28.966,29.192,29.137,29.457,29.5255,31.637,26.4627
"24",1973,29.397,33.3505,29.1455,30.2295,28.844,31.705,31.7055,29.812,29.08,30.0435,27.82505
