"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,26.7545,25.767,28.088,23.009,25.47,25.1245,25.615,26.1215,24.464,23.518,21.59935
"2",1951,23.757,25.519,24.573,23.935,23.6145,25.952,23.287,25.483,24.296,26.5305,21.7743
"3",1952,25.7965,24.563,26.5005,21.934,24.1475,24.4935,24.1755,25.146,25.8735,22.956,22.06895
"4",1953,23.561,24.4095,25.443,27.0135,23.8105,25.914,24.87,25.065,26.61,25.2945,22.29265
"5",1954,25.858,24.7805,24.2035,24.81,23.602,25.315,26.2935,25.412,25.9955,25.377,21.94865
"6",1955,25.4325,26.3075,23.5225,25.98,24.109,24.003,24.426,25.2005,25.247,24.6665,21.37815
"7",1956,24.9665,25.6265,24.9945,25.001,24.944,25.7655,25.7215,24.0785,26.369,25.6385,21.59265
"8",1957,24.9535,25.595,27.524,24.7255,25.4355,22.128,22.891,23.333,24.767,26.347,22.42395
"9",1958,24.496,24.716,24.7395,24.431,23.891,23.1255,25.252,26.052,24.2615,24.3545,21.06995
"10",1959,25.795,23.3305,24.4935,24.93,24.7405,25.2695,25.02,23.0505,23.7065,23.5315,21.10855
"11",1960,24.649,24.229,24.8855,25.235,24.8315,25.1335,25.6035,25.701,25.323,22.81,22.0667
"12",1961,24.6745,25.1105,27.1135,23.8425,24.3645,24.6975,25.0535,24.7005,23.4825,24.1375,21.92105
"13",1962,25.453,24.9675,26.3195,24.333,21.8395,23.9985,25.769,25.075,23.156,24.8785,21.2941
"14",1963,25.8815,26.4075,25.7485,24.559,24.3485,23.096,24.824,24.9045,25.714,24.1925,22.1738
"15",1964,25.4585,28.4715,24.9285,24.972,26.6725,24.48,25.648,26.416,27.2305,25.3425,21.55665
"16",1965,24.7155,25.656,26.4925,23.268,24.4575,25.3735,25.2915,25.9045,23.2525,25.3905,21.9364
"17",1966,24.468,25.7635,25.266,25.0015,26.927,24.2705,24.949,25.7975,22.9905,21.589,21.8647
"18",1967,23.286,26.308,25.4455,26.9655,23.7055,26.318,24.5075,24.3245,23.0545,23.3045,20.9551
"19",1968,22.9075,26.441,24.286,26.9125,25.869,25.1285,26.8215,23.121,24.6875,25.8115,21.5243
"20",1969,22.86,26.524,25.6975,23.6255,25.302,24.329,22.9855,23.087,25.176,24.726,21.03095
"21",1970,25.9305,23.709,25.16,25.9235,25.8885,25.026,25.655,24.853,24.443,24.5645,22.78225
"22",1971,23.584,24.4435,24.6815,23.2675,25.093,26.071,26.072,24.5065,24.824,24.818,22.303
"23",1972,23.154,24.5775,25.5525,24.5035,24.188,23.6245,23.6855,25.3465,25.024,26.3915,21.1701
"24",1973,23.6335,26.48,24.5105,25.9565,24.8805,26.588,26.0905,24.1725,24.2845,25.819,23.09365
"25",1974,25.6065,29.1665,25.3475,25.2,25.9895,25.2875,25.171,25.9735,24.5415,27.111,22.56625
"26",1975,24.4375,25.55,25.162,26.2355,24.11,26.5855,26.336,23.892,26.715,22.7905,21.3236
"27",1976,24.4885,27.242,23.921,23.808,24.033,26.1425,25.0555,28.1985,24.689,23.6015,22.6976
"28",1977,23.6035,27.389,24.633,23.972,23.917,24.059,25.088,25.025,24.6915,23.9295,21.9339
"29",1978,25.4805,25.297,24.8995,25.3845,26.118,25.585,27.0335,26.5955,25.728,24.9655,21.6824
"30",1979,24.8555,23.075,24.6395,24.941,24.142,22.9285,24.964,24.7035,24.5915,25.6595,21.53145
"31",1980,23.4905,23.1835,27.832,25.3685,25.502,24.751,26.278,24.6895,23.613,26.1585,21.88245
"32",1981,26.198,23.5085,26.9375,24.7995,23.5335,25.238,25.789,26.8295,24.2785,25.48,22.2706
"33",1982,24.694,24.1175,23.896,25.1665,27.7475,27.037,24.099,22.928,25.3765,27.486,21.22535
"34",1983,25.2465,24.6245,24.447,25.887,26.655,25.8045,24.5015,26.4775,25.324,24.5955,21.8197
"35",1984,25.34,25.387,25.0185,24.746,23.23,26.229,25.8115,23.8845,23.492,27.5605,22.0311
"36",1985,24.1055,29.333,24.395,25.518,26.592,25.158,24.241,24.4705,23.033,24.526,22.4734
"37",1986,25.251,25.2035,26.379,25.507,24.8525,22.755,25.082,24.699,25.4505,23.536,20.98205
"38",1987,26.9355,25.003,25.6585,25.385,24.5835,27.2545,24.3725,26.8015,24.9145,24.8315,22.3065
"39",1988,26.332,25.425,25.8615,25.59,24.806,25.589,24.258,25.45,26.275,24.9905,22.0343
"40",1989,25.8235,25.8415,26.9075,24.978,24.7675,24.795,25.0505,26.24,28.537,24.078,22.7866
"41",1990,24.9975,24.55,25.52,26.168,25.6205,23.53,25.765,25.927,25.4555,26.5895,21.68315
"42",1991,28.0645,25.623,27.664,25.5155,27.289,25.5185,25.0145,24.4355,24.266,24.8275,23.94145
"43",1992,25.209,23.755,26.0645,22.5325,26.4455,27.4155,25.611,27.2935,25.728,23.463,21.25545
"44",1993,24.756,26.3565,27.7725,24.948,24.2955,26.2435,23.2295,25.0695,24.399,23.6365,21.6756
"45",1994,24.234,26.863,24.144,26.6115,25.144,26.0925,25.631,24.578,25.3095,23.5385,21.74145
"46",1995,24.633,25.9845,25.886,26.13,25.1375,25.7635,24.7005,24.8435,25.781,24.7135,21.5774
"47",1996,25.4865,26.753,25.803,27.239,24.521,25.872,25.479,24.907,24.187,24.941,21.4548
"48",1997,26.607,25.166,25.366,24.622,25.979,25.846,24.7025,25.352,25.8885,25.763,21.7411
"49",1998,24.077,25.361,24.506,25.388,26.702,25.057,26.19,26.3165,28.067,25.338,22.1125
"50",1999,25.1515,24.8935,25.348,27.5335,25.09,24.5115,23.9005,26.0825,24.9925,24.8915,22.259
"51",2000,25.0175,26.0305,25.457,25.2695,23.706,24.5615,26.1195,24.2995,25.9975,24.466,23.2896
"52",2001,26.4465,23.9305,26.66,26.0005,24.4975,25.929,24.629,22.8565,25.9855,25.6565,21.95
"53",2002,24.3675,26.357,24.696,26.788,25.148,26.0955,24.6205,25.184,26.134,24.5585,22.33295
"54",2003,27.0365,25.754,26.356,24.7215,27.1785,25.183,25.08,25.6245,25.0425,25.187,22.18405
"55",2004,25.366,26.643,24.4835,28.6925,26.9145,25.3095,27.796,25.1315,26.279,23.5765,23.1095
"56",2005,27.499,28.5295,26.68,24.628,26.282,24.2915,25.559,25.0475,25.924,23.5245,22.0719
"57",2006,25.953,26.0995,24.633,24.574,25.02,27.897,25.1685,27.5625,26.7215,26.4675,22.6491
"58",2007,25.1825,24.843,24.8315,26.9435,25.8055,26.9585,24.7285,27.0435,26.5435,26.9755,22.1108
"59",2008,25.286,27.071,27.027,26.0315,27.561,27.2475,24.0985,26.7775,25.0065,27.2005,23.4961
"60",2009,26.329,26.485,26.6485,28.649,25.12,27.4075,24.369,25.7185,24.2835,25.374,22.08995
"61",2010,27.4515,25.671,26.306,25.617,27.2955,28.162,25.135,25.03,25.1605,24.4285,22.67275
"62",2011,25.784,25.9805,26.238,26.0055,25.8505,24.244,24.2325,27.7075,25.778,24.974,22.6444
"63",2012,29.0605,26.8275,26.868,27.001,25.7445,23.821,25.603,26.5775,25.381,25.226,23.26255
"64",2013,25.0425,27.839,25.073,26.7555,27.366,27.503,24.933,27.7605,24.202,25.014,22.8088
"65",2014,25.6085,24.77,26.1195,26.059,26.532,24.4565,24.0775,27.1995,26.0545,24.9325,22.7031
"66",2015,25.7225,25.877,26.601,25.998,24.513,27.5015,24.882,27.609,26.341,25.6205,22.236
"67",2016,27.5415,25.6475,25.772,27.7205,26.754,27.0545,24.2175,26.4065,25.691,24.0255,22.8489
"68",2017,26.236,24.8845,26.926,25.773,26.9275,24.894,26.784,26.615,24.6295,25.943,22.94225
"69",2018,26.802,26.5245,25.412,27.915,25.7385,25.787,26.5175,26.731,26.1265,28.506,23.7914
"70",2019,26.2845,25.7145,26.298,27.8325,25.8565,25.6585,25.3535,27.367,25.2185,26.8265,23.2793
"71",2020,26.1685,28.775,26.885,26.379,26.9325,29.119,27.393,26.7505,26.2695,25.47,23.0014
"72",2021,24.977,26.338,27.2405,28.8855,25.7235,26.3195,26.472,27.364,25.5745,25.5695,22.8463
"73",2022,27.594,28.2265,27.8445,26.2415,27.4195,25.381,27.2395,25.8095,25.424,28.3315,24.3685
"74",2023,26.632,27.717,26.122,25.2205,27.004,24.392,26.5055,27.2625,26.02,28.606,23.2329
"75",2024,26.696,27.068,25.5755,28.238,27.699,25.301,25.709,26.073,26.189,25.625,22.7469
"76",2025,27.7665,27.792,26.1755,27.437,24.964,25.719,27.7515,26.1815,26.1025,24.9815,23.3945
"77",2026,29.3835,26.325,26.2225,27.31,27.856,26.325,26.059,26.2185,26.5695,27.058,23.7269
"78",2027,26.1165,27.091,27.867,26.459,24.371,26.535,30.849,27.0835,26.1545,24.2155,23.15845
"79",2028,28.9735,28.64,26.8235,28.5245,25.88,26.633,28.6695,28.4855,26.3115,25.7195,24.00005
"80",2029,27.0515,26.752,27.719,28.507,26.288,25.6765,31.054,28.038,28.0015,27,23.7582
"81",2030,28.114,27.5475,26.757,27.825,26.742,26.792,26.2425,26.3105,27.263,26.1175,24.53695
"82",2031,27.3555,25.7005,28.8145,27.816,27.177,27.2975,25.5915,26.6795,27.1005,25.0995,24.11275
"83",2032,27.6025,28.6415,29.5915,26.974,26.702,23.706,27.058,26.391,27.056,26.26,23.76675
"84",2033,27.8395,27.3135,26.051,27.453,27.7265,26.511,26.93,26.9125,26.4955,26.059,23.61415
"85",2034,28.288,26.7365,26.755,29.212,25.329,24.5065,30.8295,26.5635,27.3335,27.899,24.2164
"86",2035,26.451,28.2,26.062,28.709,25.1115,25.9565,27.2325,27.664,26.381,28.7955,23.3327
"87",2036,27.082,28.7645,28.2435,29.127,25.247,27.133,27.442,27.5405,27.8955,26.937,24.5091
"88",2037,27.021,26.475,26.6195,28.6375,25.647,25.9735,27.998,27.985,28.058,27.6455,24.011
"89",2038,28.3535,26.6685,27.4825,27.9375,26.592,27.125,28.76,27.568,27.095,25.3455,24.2462
"90",2039,28.8455,27.509,26.396,26.9645,27.2,27.607,28.2685,28.116,26.079,26.4245,24.2725
"91",2040,29.52,27.025,29.134,28.3625,26.863,25.554,27.8425,28.1455,27.6735,26.7475,23.87865
"92",2041,28.0255,27.7675,27.389,26.4545,27.2925,27.479,27.529,27.4205,27.618,25.1255,24.5965
"93",2042,26.5415,26.346,26.334,29.8375,27.3575,25.954,26.6205,28.2935,28.7255,28.2905,23.92085
"94",2043,28.0725,29.207,27.9495,28.6445,29.708,25.963,28.44,26.621,28.0645,29.122,24.87495
"95",2044,26.549,27.6235,26.101,28.371,26.622,25.4925,32.969,27.8985,26.129,26.3315,24.0236
"96",2045,28.6,27.68,25.955,28.0675,26.017,26.901,26.982,25.0825,27.8625,28.506,23.9573
"97",2046,29.5255,26.875,26.899,27.9745,26.695,25.4015,28.429,26.248,27.1375,28.6915,24.0219
"98",2047,30.0375,26.4405,26.7805,28.0545,28.271,25.534,27.7225,27.8955,28.6075,26.185,24.35275
"99",2048,27.4055,27.195,27.054,28.347,28.6845,25.8735,31.179,27.829,27.4765,26.3365,23.58105
"100",2049,30.067,27.351,26.43,27.8385,26.2635,25.636,27.1995,27.841,29.019,24.514,24.0212
"101",2050,28.434,29.01,26.378,28.226,28.4965,26.9895,28.1825,28.9365,26.361,28.8535,24.5194
"102",2051,26.723,26.5555,27.064,27.8685,27.087,27.284,29.231,27.623,27.102,27.6515,24.5119
"103",2052,27.695,29.0095,26.779,28.066,26.3585,25.968,28.0935,28.795,26.374,28.635,24.42735
"104",2053,28.1885,28.7825,28.4615,26.807,26.8405,26.141,27.5375,26.093,28.072,27.484,24.0271
"105",2054,28.896,27.806,30.0975,26.906,30.0815,26.0885,30.5745,27.8055,27.1075,27.0505,25.40235
"106",2055,27.9655,31.4385,30.463,27.082,30.244,26.5745,29.241,26.9545,27.967,28.4655,24.8105
"107",2056,31.6455,28.3045,25.614,27.9795,26.728,27.986,29.166,27.987,28.43,26.578,24.91185
"108",2057,27.2055,28.505,26.957,26.9245,29.3015,26.0215,27.9415,28.053,27.5315,27.371,24.9417
"109",2058,28.98,28.6095,28.187,27.393,26.805,27.0505,30.2525,28.5045,26.1255,29.8345,24.80105
"110",2059,28.9045,30.1875,28.26,28.393,28.5325,27.646,27.9315,26.9875,27.97,29.0775,24.61195
"111",2060,26.625,26.882,29.5045,29.119,28.825,27.2,28.475,26.539,27.8165,24.9395,24.37685
"112",2061,28.419,28.3845,27.9795,27.8045,28.5825,27.0495,34.6285,29.392,26.6725,27.7955,25.9558
"113",2062,29.193,28.0685,29.9705,27.8135,28.6805,27.6905,27.7065,26.9105,27.5665,26.483,24.92075
"114",2063,29.15,27.861,26.5685,28.296,27.7215,26.917,28.8585,28.5345,27.451,27.139,24.80515
"115",2064,28.106,27.6995,28.182,29.31,27.587,28.541,27.87,27.5255,29.39,28.3475,25.2981
"116",2065,32.731,29.2075,29.626,28.9595,28.449,27.2645,29.0575,29.1685,28.5105,28.268,24.6583
"117",2066,27.8495,29.7445,28.253,30.0915,28.8365,27.057,28.94,28.939,27.867,26.7025,24.2231
"118",2067,30.8955,27.8385,28.173,27.7105,28.7875,25.627,29.6015,26.291,28.477,30.3205,24.55795
"119",2068,27.2085,27.0295,27.0075,28.043,28.5355,25.769,28.7675,28.3945,29.2145,27.2915,25.34005
"120",2069,27.93,27.473,29.452,30.3895,28.469,26.4485,28.9805,28.6835,29.004,27.513,25.87685
"121",2070,29.5335,28.2785,30.6,31.9965,26.6415,30.884,28.931,27.426,30.072,31.934,25.4713
"122",2071,27.136,28.2655,26.9605,26.5745,27.046,28.2895,30.5575,30.374,28.5975,29.957,25.6481
"123",2072,29.2805,28.4875,28.086,25.8905,27.321,25.648,31.0795,27.9285,28.621,28.9945,25.2068
"124",2073,27.8845,28.622,27.556,29.5735,27.6085,26.585,29.6755,28.366,28.168,29.0715,25.39235
"125",2074,28.4025,29.9465,26.708,27.592,26.054,29.3685,26.745,28.455,29.56,27.73,25.12415
"126",2075,29.923,28.9895,29.285,29.401,24.522,26.107,30.588,28.9355,28.397,29.473,25.49805
"127",2076,30.8485,27.68,27.295,28.397,28.5175,27.0385,28.464,28.919,28.684,29.0105,25.39605
"128",2077,29.5445,28.282,26.835,30.8235,27.0355,26.233,31.683,28.71,28.637,27.8615,25.6761
"129",2078,30.642,28.8565,26.8615,29.666,27.7425,28.326,28.9565,28.598,29.452,29.2135,25.7452
"130",2079,29.0005,30.8085,28.1585,30.021,28.883,27.8375,28.5815,30.3695,28.739,30.426,25.8258
"131",2080,28.259,29.174,28.7705,29.7225,27.5045,25.8945,28.567,27.15,27.857,28,25.3865
"132",2081,27.212,27.624,30.4215,30.1795,28.878,26.4645,31.9905,28.1955,28.8605,28.8065,25.3074
"133",2082,29.306,28.4785,28.472,28.796,27.8255,25.886,27.1375,29.301,27.92,28.441,25.1813
"134",2083,28.747,29.7735,28.8705,28.221,27.383,28.156,29.588,29.3345,27.4875,30.0365,25.6193
"135",2084,31.5825,28.298,28.9885,28.6975,27.804,29.3675,29.919,29.2445,29.5485,26.834,25.73185
"136",2085,29.801,28.3755,30.6925,28.8745,29.0225,26.0765,27.9495,28.967,28.8765,30.165,24.93565
"137",2086,29.135,29.065,26.5055,28.8725,26.504,28.015,29.377,28.3665,27.708,29.8675,25.03415
"138",2087,28.8815,29.001,28.639,28.9505,26.7655,26.4745,31.554,29.999,28.7775,28.8085,26.2327
"139",2088,30.7795,28.3645,27.344,28.008,27.842,27.4455,29.88,28.7275,28.1265,28.9105,24.912
"140",2089,30.976,28.8305,26.4315,27.4285,27.626,27.045,31.9585,29.7275,28.4635,28.5785,25.17225
"141",2090,29.018,27.8965,29.6695,27.5485,26.9825,27.2865,29.2475,30.7315,28.3745,26.19,25.17625
"142",2091,29.2835,29.261,30.3305,29.6765,27.678,29.57,29.468,30.541,29.196,29.3595,27.28645
"143",2092,29.0485,30.4425,29.7405,26.648,26.7955,28.69,32.4745,28.55,28.695,30.2335,24.87
"144",2093,29.4475,29.631,29.171,27.62,26.991,26.8155,30.2125,28.715,29.2085,29.0805,25.18065
"145",2094,28.143,31.2735,29.8775,26.0065,27.094,26.1625,30.0015,28.681,28.568,28.0555,26.193
"146",2095,28.6225,28.522,28.4335,29.6515,27.0245,30.231,29.4335,29.1475,28.9785,29.026,25.499
"147",2096,32.6765,30.4555,27.936,26.4885,29.473,27.7315,29.545,28.6755,28.3505,30.446,24.7299
"148",2097,27.823,29.4035,28.4805,28.2495,25.415,28.3135,30.6155,28.789,28.486,28.627,25.60985
"149",2098,29.805,29.6885,29.6435,31.231,26.937,29.265,32.1345,29.618,29.729,29.1935,25.24005
"150",2099,30.386,28.725,28.8795,29.219,27.5895,26.7725,30.1295,29.15,26.995,28.0895,25.89815
