"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,29.1535,30.09,32.1175,25.7675,25.5705,27.4135,29.015,30.9155,27.065,24.0775,22.87285
"2",1951,25.551,28.882,26.2565,27.214,26.726,27.101,27.039,31.1305,27.2295,24.707,23.0509
"3",1952,24.952,29.815,26.9225,28.036,28.898,26.593,26.024,28.531,30.2095,24.7635,22.71
"4",1953,28.736,27.303,28.8945,29.442,27.1345,26.604,28.6395,31.3295,30.455,23.991,23.24205
"5",1954,30.4835,26.2775,27.528,28.0215,26.9415,28.2695,31.2425,28.057,24.543,28.995,23.30865
"6",1955,27.148,28.1085,28.884,29.0875,26.3565,27.394,31.1305,25.851,26.4645,26.9885,22.4459
"7",1956,26.391,27.681,26.362,27.47,26.817,27.311,28.177,28.7635,32.628,23.984,21.7941
"8",1957,28.5545,27.2025,29.4825,29.6815,26.0045,25.125,29.532,28.231,27.9825,24.671,22.3368
"9",1958,28.4095,29.105,27.4925,26.971,25.0925,27.128,29.725,29.427,27.8535,24.504,22.5905
"10",1959,29.3785,29.0565,26.9895,25.037,31.394,27.801,26.9855,28.303,28.0685,23.9415,22.8779
"11",1960,26.717,28.9765,27.852,28.2855,28.431,28.5005,30.512,29.0165,27.2175,24.7555,22.6354
"12",1961,29.306,28.922,30.3735,26.693,28.6025,29.058,30.187,27.586,27.4535,22.693,22.4215
"13",1962,28.7145,29.016,27.9585,25.248,24.291,27.2735,28.5115,29.118,27.576,24.432,22.2156
"14",1963,30.443,29.419,27.4695,26.9445,26.7065,26.3745,27.0205,31.2395,30.734,26.035,22.6006
"15",1964,28.337,29.624,29.6415,27.2855,27.5175,28.4825,29.14,30.4935,27.2875,26.387,23.2552
"16",1965,28.7595,28.201,29.973,26.778,27.5455,28.5885,28.836,27.769,28.0285,23.283,23.143
