"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,28.095,31.1545,31.6305,26.8585,28.327,28.189,31.097,29.679,28.571,29.157,26.3623
"2",1951,27.456,30.213,28.3205,27.478,27.775,30.01,28.504,30.7565,29.0535,30.412,25.3018
"3",1952,29.0205,28.1905,29.319,28.09,28.213,28.017,28.134,28.242,29.391,28.386,26.1872
"4",1953,28.649,28.5325,29.7295,32.4005,27.6545,30.287,30.501,28.9755,30.9175,28.123,26.3081
"5",1954,30.4605,29.2135,28.3095,31.277,27.2985,29.322,30.333,28.444,29.378,33.3125,25.81155
"6",1955,30.129,31.7005,26.573,28.497,26.8265,28.222,29.981,27.805,27.1935,28.7755,25.0345
"7",1956,29.8355,28.561,28.5115,29.329,27.5785,28.8455,28.5395,30.359,31.708,28.982,25.89045
"8",1957,28.137,27.8395,31.1595,29.7775,30.102,28.212,27.7485,27.628,29.862,28.955,25.94055
"9",1958,28.77,27.981,28.9655,28.7605,27.458,26.971,29.144,31.082,29.2145,27.628,25.42275
"10",1959,29.969,27.215,28.366,28.7645,29.3625,28.462,28.2155,27.3215,28.292,27.114,25.0116
"11",1960,29.3155,29.6455,29.9455,29.5,29.4,29.5835,30.79,31.3205,29.7025,27.7085,25.6699
"12",1961,29.598,28.66,30.701,27.1045,29.497,30.0535,29.052,28.8685,29.1925,27.184,25.97315
"13",1962,30.501,30.51,30.097,28.5545,25.9645,30.174,30.3045,29.084,27.9695,30.2295,25.31995
"14",1963,29.038,29.425,29.3875,28.6405,28.1805,27.1315,27.714,29.1675,29.3305,27.821,25.75775
"15",1964,31.001,30.907,29.979,28.282,28.866,27.3145,31.167,29.9435,30.03,29.0235,25.41175
"16",1965,28.459,29.8965,29.8915,29.0675,27.2595,29.242,26.299,30.024,27.129,26.139,25.07385
"17",1966,28.772,29.411,29.307,28.372,29.4545,28.414,29.0935,29.686,28.254,26.5715,25.7736
"18",1967,29.72,28.7055,29.271,29.3795,28.2045,30.545,29.583,27.279,27.588,27.0725,24.9932
"19",1968,27.417,31.143,29.329,29.0235,30.637,29.1385,29.9195,28.314,29.6955,29.1295,25.7033
"20",1969,27.8135,29.7345,30.5625,27.262,27.7185,28.228,27.098,28.293,28.293,30.669,24.6319
