"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,25.541,25.1675,27.682,23.8965,25.7595,24.7695,27.9595,28.1015,23.468,24.366,22.86565
"2",1951,23.6305,23.996,24.256,24.4355,22.4405,24.1875,27.0875,27.69,24.145,26.012,21.15535
"3",1952,24.236,23.844,23.602,24.2745,23.2125,26.661,23.7545,27.106,23.3215,25.958,21.69375
"4",1953,23.78,26.8665,27.1825,30.1565,23.5635,25.5685,25.016,25.6955,24.883,24.4435,22.0217
"5",1954,23.771,24.7455,26.2015,25.056,24.06,23.586,24.692,24.349,25.4395,24.963,20.71205
"6",1955,24.448,27.3205,24.9845,24.791,24.559,25.2615,23.817,23.7285,24.7025,26.39,20.9543
"7",1956,24.445,25.141,23.3865,23.801,24.041,23.3485,25.2835,23.9845,26.9975,27.0555,20.3501
"8",1957,24.7955,23.813,27.2695,28.2555,27.587,23.199,23.1985,23.648,24.465,24.4365,20.9815
"9",1958,26.06,22.395,25.9405,23.6385,24.2255,27.317,24.168,24.7615,23.2045,23.9805,20.7519
"10",1959,28.5985,23.1125,23.918,26.2265,23.8615,23.962,24.4785,24.12,23.042,24.0685,20.8741
"11",1960,25.109,24.648,26.839,26.8255,25.1805,22.635,25.5455,25.16,24.863,22.395,20.8337
"12",1961,24.504,24.6675,25.4095,23.0155,23.839,26.0615,23.8,23.2955,23.6135,23.2425,20.9947
"13",1962,24.757,26.8965,24.4355,28.053,22.3855,24.819,23.801,24.8855,23.1035,25.8095,20.81605
"14",1963,23.401,22.2255,27.478,23.428,23.0695,22.412,26.6465,24.098,24.5255,23.926,20.94835
"15",1964,26.9925,26.3025,26.5485,22.516,28.709,26.913,26.0835,26.6465,26.4185,26.5925,20.7779
"16",1965,27.3095,28.5415,25.386,25.546,24.14,27.5805,22.683,26.8055,22.973,25.2145,22.3085
"17",1966,24.7395,24.1575,24.1765,23.4745,25.263,23.545,22.9795,24.331,23.5425,23.7605,21.87665
"18",1967,22.848,24.492,26.515,25.3435,24.313,23.174,22.986,23.557,24.233,24.1355,20.51
"19",1968,26.979,24.863,24.747,23.9125,26.0105,24.3705,23.4295,24.3315,23.901,23.171,21.14695
"20",1969,23.8555,30.1035,26.1035,23.9335,23.541,24.1825,22.845,24.7725,24.3075,23.81,20.66925
"21",1970,23.526,25.045,26.337,25.4375,26.751,25.088,23.382,30.1095,24.4355,24.218,22.21665
"22",1971,22.8565,23.369,26.439,24.194,25.2285,26.7765,22.642,23.302,25.278,23.4675,21.79965
"23",1972,24.919,27.3305,25.976,24.2515,25.5605,24.2775,23.622,25.271,23.451,23.797,20.6565
"24",1973,27.3255,23.7985,24.1075,24.5735,23.118,24.8705,22.8,24.043,25.105,26.2905,21.039
"25",1974,25.415,24.336,24.869,26.6155,24.7825,27.0095,25.277,24.5645,23.0345,28.5135,21.19915
"26",1975,25.0715,24.1125,25.6315,26.302,24.3355,25.7195,24.9935,26.458,24.704,26.1625,21.7947
"27",1976,24.2125,27.942,23.674,24.278,23.4555,25.819,22.82,24.6335,24.105,24.85,22.04925
"28",1977,21.0375,24.7495,27.7255,24.211,24.0975,24.009,25.142,23.322,24.879,25.0085,21.06225
"29",1978,24.0395,24.436,26.337,23.008,23.5805,27.051,24.448,27.3895,26.5375,25.2655,21.04
"30",1979,23.4365,22.3255,23.897,25.3025,26.6905,22.344,24.2305,25.697,25.6435,24.2815,20.20785
"31",1980,25.92,23.478,27.0635,24.552,23.819,23.1835,25.213,24.883,22.801,25.4125,21.6002
"32",1981,24.486,25.6545,23.771,27.477,25.0905,26.127,28.552,23.7505,25.331,22.6505,22.39405
"33",1982,24.079,23.3955,25.7295,23.653,24.545,29.05,23.9195,25.752,27.4235,25.5105,21.3953
"34",1983,24.606,24.777,24.388,27.1925,25.066,23.082,22.7905,25.4395,23.739,24.098,20.91815
"35",1984,23.264,24.2785,24.4,24.497,24.392,28.148,27.151,24.5935,23.9155,23.984,21.5605
"36",1985,23.5795,31.435,24.2275,25.5915,24.279,23.9635,23.349,24.42,25.026,26.664,21.29145
"37",1986,25.2925,24.508,24.573,24.9115,24.482,23.946,24.163,27.9845,26.4315,23.6455,21.3868
"38",1987,24.6825,26.158,24.051,23.0315,23.912,24.5325,24.4795,27.479,25.4955,25.3005,21.8977
"39",1988,26.1575,24.258,24.7445,26.253,22.7765,25.38,24.0825,24.5385,25.732,26.738,21.06985
"40",1989,24.2955,24.624,25.926,24.7835,24.649,24.3235,24.159,25.6325,27.1015,27.659,21.73855
"41",1990,25.815,24.0005,25.5275,27.688,23.7835,24.8965,21.852,25.314,25.9415,26.5235,21.6479
"42",1991,25.737,24.86,28.1395,24.4515,25.408,22.6955,23.0025,24.4405,28.691,24.879,23.7488
"43",1992,23.275,22.8575,25.134,21.836,26.537,22.845,25.669,26.785,27.4865,24.0445,20.97355
"44",1993,25.248,27.0365,26.0295,26.5145,24.299,24.334,23.6985,24.571,25.4,25.286,21.3919
"45",1994,23.121,26.0925,26.009,26.9855,23.363,23.379,24.7715,26.308,24.263,22.333,21.02615
"46",1995,25.772,27.0705,25.5125,26.107,24.377,28.0895,23.3795,24.6185,27.2775,25.0555,21.785
"47",1996,25.5565,27.229,25.1665,28.115,24.242,27.582,24.7805,25.8585,24.511,26.0055,21.4899
"48",1997,26.7205,24.808,23.817,26.8945,24.5295,26.9095,22.584,23.3635,28.867,24.3665,21.8697
