"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,25.6355,29.0805,29.9535,25.248,26.6835,27.146,27.9275,30.27,27.425,26.978,23.13365
"2",1951,25.2075,27.9625,25.469,26.2245,27.3565,26.133,26.6575,29.5165,27.626,27.7035,22.5119
"3",1952,25.4795,28.6645,27.5085,26.7995,27.852,25.255,26.014,26.636,27.8415,25.446,23.3904
"4",1953,25.78,29.1605,25.7755,31.023,25.9855,27.846,27.794,27.478,30.8915,25.2445,23.34565
"5",1954,29.0035,25.5595,26.3775,26.9945,26.2355,27.103,29.6395,28.0125,25.648,28.617,22.90685
"6",1955,25.3035,28.6355,27.583,26.225,26.9135,26.679,28.718,25.3145,24.4365,27.7445,21.75415
"7",1956,26.039,28.345,24.5485,27.5,28.3355,27.225,27.432,26.778,28.525,27.549,21.78865
"8",1957,29.1105,27.281,30.508,31.1285,26.401,24.5405,30.465,26.431,28.2,25.669,22.39365
"9",1958,27.0165,26.528,25.8975,25.797,25.7215,24.906,27.74,30.78,27.2105,26.7245,22.74615
"10",1959,26.477,29.495,25.877,25.417,29.581,27.5705,26.3965,27.5255,26.511,24.2555,21.9515
"11",1960,25.716,28.0435,25.5385,26.4305,26.839,27.587,30.047,27.561,27.5215,25.7055,22.88735
"12",1961,25.4875,27.772,29.0875,26.7345,26.623,28.924,28.027,26.1085,27.1915,25.6635,22.7659
"13",1962,28.613,28.0235,27.706,24.949,24.719,27.794,26.75,29.195,26.982,25.602,22.26835
"14",1963,27.2245,29.598,27.0825,25.9825,26.1645,25.076,26.146,28.2795,30.4395,27.091,22.0916
"15",1964,26.964,28.764,26.414,26.4765,28.739,27.087,30.267,28.7565,28.8355,26.0415,22.65625
"16",1965,26.9705,26.9525,28.0815,26.453,25.99,27.9865,26.426,28.0765,27.314,25.8025,22.54365
"17",1966,27.8095,27.1325,27.567,26.403,27.618,25.904,25.2885,29.0885,26.633,25.058,22.95595
"18",1967,27.3645,26.791,26.7625,26.391,26.4845,28.3355,26.3165,26.1335,27.5445,27.88,22.5137
"19",1968,28.124,27.8105,25.742,27.2545,26.5245,27.796,28.1095,26.3445,32.124,28.561,22.0891
"20",1969,26.5245,31.496,27.169,28.141,28.039,25.524,26.106,26.7225,27.5605,28.259,22.38225
"21",1970,27.5105,27.753,27.5995,26.4575,27.2595,27.23,26.443,27.8,26.8045,25.7085,23.45725
"22",1971,26.709,27.722,26.0005,27.924,29.053,28.1375,27.137,25.521,29.761,27.522,22.55455
"23",1972,24.7405,30.126,28.744,29.6495,27.6355,25.648,26.349,26.2475,25.8085,26.1215,22.87965
"24",1973,26.1115,30.992,26.5445,25.819,26.6705,27.5205,27.5985,26.088,30.0145,27.255,23.88345
"25",1974,27.162,27.499,27.509,26.1085,27.9465,27.267,28.7745,28.505,29.487,30.063,22.5635
"26",1975,28.7385,31.095,27.174,26.2075,27.6835,26.1635,29.062,24.652,28.7915,24.556,22.90545
"27",1976,27.6275,27.8445,26.698,27.127,26.326,27.4805,25.708,27.9855,27.8765,27.3045,23.6663
"28",1977,26.044,26.7865,28.0415,26.3015,25.883,26.916,28.1915,26.9645,30.38,26.386,22.69155
"29",1978,26.395,28.6245,26.217,25.918,27.3295,26.1415,28.13,27.0505,28.962,26.282,22.90195
"30",1979,28.1355,25.4305,25.0865,27.8915,26.674,25.945,28.4895,28.4205,27.7035,27.6445,22.5059
"31",1980,24.551,26.2865,28.4145,26.139,30.295,27.4445,29.3755,29.1035,27.18,24.768,22.17465
"32",1981,27.9685,28.5135,30.2785,25.981,26.3425,28.229,28.838,28.967,24.375,25.34,23.1484
"33",1982,29.2345,26.636,27.579,26.614,30.9155,27.836,27.5235,25.8555,29.542,26.1695,22.50375
"34",1983,28.5825,28.5405,24.6975,28.2685,25.8735,26.2365,27.13,30.076,26.927,28.246,22.75315
"35",1984,26.394,26.601,28.234,25.453,25.6755,29.9855,30.2065,27.562,25.5945,26.272,23.4319
"36",1985,25.427,29.215,26.1765,26.923,27.459,27.5525,26.7095,28.8935,25.04,25.851,23.97915
"37",1986,27.0745,26.059,27.6855,26.657,29.742,28.6385,27.3675,27.7515,28.8655,26.3655,22.93795
"38",1987,29.0665,27.363,27.2505,27.552,26.3295,30.265,30.846,32.5605,28.1005,27.0655,24.2009
"39",1988,31.406,26.053,28.1075,27.531,26.1925,26.2255,28.246,26.715,27.425,26.4455,23.6608
"40",1989,29.28,27.606,26.4455,28.102,28.701,25.676,26.3985,27.8485,27.68,27.773,23.38725
"41",1990,26.448,27.6385,27.768,26.9565,28.6815,27.9865,25.0605,27.576,26.8885,27.499,22.5674
"42",1991,27.305,30.5165,29.2745,27.093,28.8995,26.381,27.544,25.4675,26.507,27.622,24.809
"43",1992,26.812,27.433,26.391,24.617,29.01,28.233,28.9215,30.1335,26.5645,24.674,22.90755
"44",1993,26.773,28.128,24.6865,25.6675,28.642,26.6095,25.6225,26.701,27.6415,25.4805,23.35265
"45",1994,28.8955,27.45,26.0675,27.3535,26.3165,25.064,27.3735,29.064,29.369,25.465,23.0737
"46",1995,25.2725,27.7865,30.3625,28.4455,28.6245,28.795,26.748,27.2035,27.1615,27.031,22.96225
"47",1996,27.4395,29.1585,27.66,28.4565,26.3235,30.3425,32.179,26.8755,27.5025,25.0715,22.40275
"48",1997,29.5305,29.3165,27.016,29.5985,28.467,30.4935,28.564,26.4415,28.7165,29.1625,23.69545
"49",1998,27.5285,32.769,25.744,28.6295,30.902,24.1935,29.673,27.964,28.4785,29.1305,24.48155
"50",1999,26.57,28.002,27.6105,29.158,27.8525,25.189,27.633,27.7955,26.7905,26.239,23.412
"51",2000,29.2585,31.107,29.921,27.6835,27.3755,26.184,27.7555,27.952,29.3005,27.2865,24.3919
"52",2001,28.514,29.1195,31.1055,27.4225,29.7345,28.278,26.2255,25.324,30.543,28.598,22.918
"53",2002,29.387,29.2315,25.9585,28.5005,24.7445,25.9905,30.209,27.062,29.047,27.3985,23.6574
"54",2003,29.517,27.4755,25.6645,28.4805,28.1505,27.3625,28.6155,28.171,27.7545,28.746,23.2861
"55",2004,28.258,28.324,29.537,25.8955,30.733,28.8575,28.053,26.327,29.2125,26.9165,24.71665
"56",2005,28.009,29.275,30.9855,27.0225,29.176,28.3655,28.5255,24.97,28.899,28.8685,24.7615
"57",2006,27.501,32.3885,27.208,27.8735,28.072,28.8575,27.5965,30.215,29.7805,27.85,23.5554
"58",2007,26.9865,27.6925,28.0055,26.6775,28.382,29.0435,28.21,30.936,29.882,28.9685,23.7527
"59",2008,27.402,29.4845,26.871,27.456,29.8165,29.6895,28.4675,26.498,31.1455,31.6025,25.29925
"60",2009,27.302,26.978,25.8515,25.503,27.103,27.767,29.9155,28.3395,29.131,29.3625,23.7955
"61",2010,31.829,30.68,28.48,27.143,29.3715,29.1895,28.654,27.0275,30.1035,25.975,24.8644
"62",2011,27.553,29.402,29.0125,26.9935,30.0355,27.6425,26.7225,29.474,28.837,27.316,24.7327
"63",2012,31.5225,30.5505,30.572,30.4255,30.057,27.7295,28.937,26.2305,31.605,29.967,24.90565
"64",2013,25.7615,28.111,26.871,26.74,29.943,28.1235,27.7575,27.965,29.407,27.6655,23.7323
"65",2014,28.781,27.844,29.38,28.6845,28.4905,27.8195,27.881,25.969,30.3715,27.322,25.0569
"66",2015,30.327,28.5005,29.563,26.971,28.279,27.717,27.954,29.181,28.674,27.494,24.0792
"67",2016,27.6845,30.4005,27.3005,26.1995,27.4915,29.1245,27.5115,30.708,28.323,27.586,24.1818
"68",2017,29.049,28.7355,29.4385,28.311,28.544,29.211,32.906,29.801,28.901,29.7335,24.14595
"69",2018,29.683,34.3405,29.075,29.232,28.952,27.419,28.2315,30.802,29.533,30.6375,25.33685
"70",2019,29.0485,34.3185,28.608,27.741,29.5825,27.6175,26.6185,31.8345,28.169,29.001,24.92265
