"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,23.625,27.855,28.317,25.2165,25.4895,25.025,25.577,26.9025,25.458,25.5725,23.56915
"2",1951,24.338,23.9395,23.5685,25.364,24.405,25.744,25.5245,28.2575,24.928,26.1495,21.89235
"3",1952,24.345,26.531,26.176,25.7355,24.2645,24.5465,24.183,25.202,25.7205,26.105,22.5187
"4",1953,25.5295,26.374,27.236,31.86,23.6005,25.3835,26.5265,26.709,26.9265,23.998,23.0616
"5",1954,27.2215,25.4905,24.9795,26.203,23.9755,25.338,26.802,27.144,25.78,27.516,21.79865
"6",1955,26.2335,27.524,23.3285,25.45,25.8305,24.7215,27.4745,26.705,26.587,24.986,21.65425
"7",1956,26.883,25.9975,24.2185,25.793,24.0665,24.657,25.4815,25.73,29.0765,25.13,21.4349
"8",1957,23.833,23.091,28.4115,27.3175,27.087,23.6485,23.7055,26.1035,25.6455,24.882,22.31155
"9",1958,24.0835,23.7625,26.569,24.3495,25.3545,23.1945,26.3885,27.3445,23.9575,25.5245,21.5964
"10",1959,25.997,25.2095,26.182,25.4155,25.5095,25.9025,24.354,26.415,26.534,23.897,22.1261
"11",1960,24.1875,25.382,26.8405,26.824,26.216,24.04,28.4585,26.7245,26.5505,23.115,22.3634
"12",1961,26.6105,24.821,28.231,23.866,26.1745,28.2745,26.123,25.652,26.2725,23.4725,21.691
"13",1962,27.01,26.3095,26.208,25.686,23.2545,24.5675,25.2625,26.189,25.572,26.285,22.08105
"14",1963,24.634,25.311,25.3355,24.19,25.1615,24.609,24.3455,27.8525,25.863,24.115,22.3054
"15",1964,25.7825,25.706,26.378,24.067,26.6985,26.6585,27.028,27.8295,26.29,23.8245,21.99505
"16",1965,25.227,25.2895,24.818,25.495,23.7425,25.329,23.4495,27.0465,24.2585,25.089,21.8041
"17",1966,25.655,25.206,25.347,25.101,25.83,25.0305,24.3515,26.2335,24.6935,22.664,22.29695
"18",1967,25.0405,23.9785,25.2955,25.651,25.7125,27.349,24.852,24.619,25.234,25.165,22.118
"19",1968,23.7925,27.511,26.014,25.5865,26.5235,24.355,24.483,24.669,27.1605,24.8895,22.03965
"20",1969,24.508,26.672,26.0005,24.892,24.653,26.3005,25.0775,25.603,25.6695,27.4905,21.9341
"21",1970,26.0875,24.748,27.499,24.736,26.3885,25.718,23.3165,28.1555,25.5355,25.2045,23.2184
"22",1971,23.898,26.8915,27.027,25.8265,26.893,27.752,24.267,25.4285,26.093,24.631,23.20835
