"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,21.747,21.914,24.8665,19.739,20.866,22.225,24.77,21.444,21.447,21.63,18.7147
"2",1951,21.017,24.089,20.679,20.3455,19.8595,21.2215,20.5025,22.762,20.3675,22.872,18.08995
"3",1952,20.5065,20.7285,22.1075,19.572,20.495,20.4155,21.088,20.0935,20.3375,20.487,18.3907
"4",1953,21.0915,21.4275,20.966,25.426,22.209,22.587,21.5935,21.4605,21.4905,21.322,19.2531
"5",1954,20.873,20.9395,20.543,20.7025,20.1915,20.1855,21.552,20.9935,21.2585,21.561,18.4748
"6",1955,21.813,24.785,18.914,21.686,20.152,18.829,20.9345,20.148,20.742,20.8485,17.9927
"7",1956,22.4185,21.768,21.0145,20.2295,21.08,20.7815,21.294,19.7145,22.4435,21.3505,18.70885
"8",1957,19.9825,21.168,23.7235,21.5005,20.882,19.4115,20.517,20.522,22.4,21.49,18.85745
"9",1958,21.635,20.338,21.205,20.842,20.073,20.0175,21.7255,21.444,20.2285,20.5575,18.2218
"10",1959,21.9435,18.9175,19.74,21.5055,22.0785,21.609,19.826,20.1425,20.2015,20.396,17.82135
"11",1960,21.7305,21.698,21.711,22.502,21.885,21.719,20.869,22.122,21.679,19.72,18.56505
"12",1961,21.3165,21.3385,22.5695,20.6875,22.136,22.476,21.6555,21.0075,21.328,20.2675,19.11865
"13",1962,22.408,22.8375,22.1275,21.818,18.324,22.7375,21.2725,21.9105,20.33,22.099,18.24625
"14",1963,20.6275,21.7795,21.066,20.122,22.2135,20.2185,21.6455,20.205,21.502,19.567,18.099
"15",1964,22.221,23.6285,22.1105,21.854,22.36,20.3845,23.923,22.1655,21.5915,21.5385,18.68365
"16",1965,21.509,22.113,22.651,20.086,20.077,21.802,21.1775,23.1305,19.064,22.1015,18.1395
"17",1966,21.0395,22.9205,20.9365,19.918,21.8665,20.5375,22.9815,21.737,20.5215,19.976,18.8072
"18",1967,20.7005,22.3585,21.486,21.694,21.0305,23.028,21.5385,20.1865,20.5775,19.541,18.03025
"19",1968,20.3,22.438,21.866,23.6835,23.215,21.0305,23.127,19.5755,21.2245,22.2175,18.5928
"20",1969,19.766,23.815,23.1155,19.7815,21.106,20.3565,21.6145,21.124,21.536,20.8545,18.1799
"21",1970,21.7215,20.7815,22.058,22.8165,21.3485,21.26,22.095,24.057,21.7105,20.8025,19.31295
"22",1971,20.027,22.105,21.8695,19.133,21.226,22.7505,21.998,20.3925,20.662,21.2345,18.90415
"23",1972,20.247,21.865,21.2995,20.8985,21.225,20.102,19.814,22.365,20.5585,22.5885,17.81475
"24",1973,20.9475,24.6135,20.7535,22.0775,20.548,22.2825,21.838,20.0225,19.851,22.244,19.08785
"25",1974,22.81,23.4505,21.201,21.3285,22.1315,24.414,21.5185,21.949,20.5195,22.73,18.39895
"26",1975,21.0915,22.6125,21.5105,21.687,19.9455,21.283,22.5515,20.792,22.9205,20.773,18.67975
"27",1976,20.8505,23.4925,20.148,22.153,20.934,22.4315,20.823,22.709,20.6615,20.206,19.89325
"28",1977,20.1305,22.6,22.1455,20.816,19.4735,20.412,21.0415,21.3375,21.033,22.263,18.10515
"29",1978,21.794,21.985,20.572,20.4155,21.239,21.479,22.7935,22.308,21.454,21.0055,18.3182
"30",1979,22.2245,18.4655,20.047,20.454,21.5315,20.182,21.617,22.248,20.49,22.196,17.84785
"31",1980,19.624,19.823,24.762,21.3645,22.11,21.5525,22.992,22.882,20.462,21.7265,18.63065
"32",1981,21.937,20.5045,22.081,21.6455,20.3015,21.981,23.229,22.5735,20.119,20.9905,18.99985
"33",1982,19.993,20.447,21.229,22.648,22.4845,24.9115,21.0875,19.5445,22.5855,23.271,18.34295
"34",1983,21.8695,20.733,19.4645,22.229,21.1995,22.241,20.978,22.579,20.6175,19.7715,18.29045
"35",1984,20.98,22.353,21.846,20.73,19.3445,23.1675,23.449,20.5145,20.33,22.333,18.57015
"36",1985,20.9405,25.0495,19.769,22.1665,22.422,21.835,21.281,22.718,20.421,20.648,19.0204
"37",1986,21.0635,21.8475,21.9355,21.4635,22.9475,19.4355,21.6075,22.297,22.081,20.0085,17.7135
"38",1987,24.758,22.3935,21.59,21.9065,21.251,22.861,23.6085,22.606,20.513,20.864,19.7462
"39",1988,22.372,24.2095,21.6975,22.7125,20.982,21.974,21.507,21.0475,21.901,22.9345,18.77305
"40",1989,21.056,22.5405,21.4385,20.898,20.8185,21.3245,21.9425,21.51,23.624,20.399,19.08535
"41",1990,20.3085,22.9395,22.271,23.463,21.5625,20.7645,20.968,19.6965,20.929,22.3635,18.42125
"42",1991,22.4625,23.4725,23.0495,23.682,21.488,20.919,19.998,20.587,23.673,21.876,20.50585
"43",1992,21.3165,20.097,22.615,19.7895,21.221,21.966,22.33,23.8065,21.8765,20.277,18.2229
"44",1993,21.1585,23.2255,23.4265,20.9715,21.3175,23.805,21.586,19.5755,21.7655,20.1535,18.6604
"45",1994,21.199,22.3305,20.9855,21.4735,22.0235,22.141,21.8525,20.998,21.2065,19.4155,18.97735
"46",1995,21.4605,22.9865,22.333,22.578,21.63,23.337,21.2915,22.2035,23.1855,20.633,18.529
"47",1996,21.7355,22.997,21.313,23.6725,20.8115,24.8565,21.4105,21.5585,21.964,21.1885,18.5977
"48",1997,23.374,21.3465,21.9115,22.1485,21.8245,23.533,20.4055,21.4765,22.7385,22.767,18.5509
"49",1998,20.3935,22.6465,20.9595,21.9875,22.8065,21.346,23.043,21.3705,22.1005,21.847,18.65875
"50",1999,21.619,22.3515,21.276,23.919,21.262,19.3915,21.145,22.1095,19.7885,21.5805,18.7893
"51",2000,20.895,22.632,22.926,23.675,21.8675,21.377,21.7465,20.269,23.525,19.8315,19.6455
"52",2001,22.3975,20.57,22.157,22.0615,22.486,21.959,21.609,20.037,21.1575,21.024,18.59175
"53",2002,21.687,21.2165,20.7,23.28,22.3385,21.8505,23.032,21.696,23.0005,20.7805,19.87545
"54",2003,23.1735,23.131,21.4415,22.7775,22.2055,21.925,20.1685,21.5465,21.104,21.846,18.97025
"55",2004,22.4625,22.173,21.0835,22.998,24.4085,21.382,23.241,20.6955,21.898,19.926,19.83205
"56",2005,22.083,23.779,24.4975,22.6525,22.6,20.832,21.402,19.6485,22.549,21.6875,18.9839
"57",2006,23.262,23.2745,22.4065,22.0735,21.9185,22.614,22.4595,23.584,21.712,21.827,18.9718
"58",2007,21.2785,20.9075,20.2625,22.1335,21.5965,22.8505,20.625,23.4435,22.2965,21.272,18.9171
"59",2008,21.1255,23.3345,21.966,22.479,22.885,24.3965,20.641,22.611,21.351,24.037,20.3266
"60",2009,22.907,22.462,22.864,23.9025,22.115,23.5365,20.4225,22.157,22.7855,22.1755,19.4693
"61",2010,24.549,22.517,22.0645,22.7255,23.6855,23.4295,22.472,20.206,21.29,21.645,19.7107
"62",2011,22.392,22.616,24.1145,22.8265,22.9095,21.735,20.3665,23.5245,22.198,22.237,19.7447
"63",2012,23.947,24.358,23.7205,23.384,22.08,21.4925,23.6615,21.855,21.8465,23.901,19.94855
"64",2013,22.3535,24.726,22.487,22.383,25.2005,22.817,20.957,23.9905,21.384,20.822,19.48725
"65",2014,22.684,23.101,23.2315,22.6655,22.5255,22.1805,20.69,22.7285,22.523,22.198,20.03015
"66",2015,23.9005,22.274,24.182,22.2505,22.792,22.785,20.628,23.801,21.6665,21.237,19.5914
"67",2016,23.6475,23.3275,22.9405,24.136,21.5635,22.7665,19.863,24.1335,22.209,21.3155,19.44005
"68",2017,23.4115,21.903,23.242,21.6945,22.8945,23.094,23.602,25.151,21.072,21.505,19.6
"69",2018,25.6695,25.135,22.277,24.155,22.077,23.122,23.285,24.3405,22.484,25.315,21.00995
"70",2019,23.945,21.692,23.832,24.1675,21.54,24.047,20.907,23.202,21.4155,23.5645,19.7647
