"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,15.4378301369863,15.3243890410959,15.0985328767123,15.7165082191781,15.2245794520548,15.5054260273973,15.7586219178082,15.6982369863014,15.4419589041096,15.0903287671233,15.4296412328767
"2",1951,15.0837794520548,14.8030452054794,14.6356945205479,14.490504109589,14.3019767123288,14.9470671232877,15.2049150684932,15.8408054794521,15.7914328767123,15.8201315068493,15.0919352054795
"3",1952,14.7160860655738,15.100031420765,15.1161092896175,15.0192663934426,15.529087431694,15.9215081967213,15.639412568306,16.2260040983607,15.5277513661202,15.694737704918,15.4489994535519
"4",1953,16.190402739726,15.0978301369863,14.9570424657534,16.0500479452055,15.1648780821918,14.9547767123288,15.7365136986301,15.8126246575342,15.9424780821918,15.5935260273973,15.5500120547945
"5",1954,15.6017575342466,14.5501780821918,16.0700068493151,15.2604589041096,15.4755342465753,15.0484287671233,15.4584438356164,15.7917260273973,14.9782534246575,15.4230082191781,15.3657795890411
"6",1955,14.7029835616438,14.7004178082192,15.6353095890411,15.057804109589,14.6251342465753,15.006904109589,15.8529219178082,15.7004082191781,14.6965356164384,16.0564191780822,15.2034838356164
"7",1956,14.7340245901639,15.1393729508197,14.8743401639344,15.0967103825137,14.6383729508197,15.4976051912568,15.2057199453552,15.728618852459,15.4266557377049,15.4717459016393,15.1813166666667
"8",1957,15.6038616438356,14.6452328767123,14.4767109589041,15.1839534246575,15.1931082191781,15.1603616438356,15.1148246575342,15.5445657534246,15.3269082191781,15.9137342465754,15.2163261643836
"9",1958,15.4668698630137,14.6216164383562,14.8196232876712,14.6585178082192,14.8139383561644,14.5355383561644,15.1995863013699,15.2262589041096,15.1953739726027,15.4490808219178,14.9986404109589
"10",1959,15.096901369863,15.277297260274,15.6470410958904,15.053798630137,15.8762232876712,15.1569589041096,14.9957493150685,15.1530575342466,14.7327876712329,15.5775452054794,15.2567360273973
"11",1960,14.5152841530055,14.8036229508197,15.3823224043716,15.0665040983606,15.4063155737705,15.5332759562841,15.2999480874317,15.0323483606557,15.7757090163934,15.3748770491803,15.2190207650273
"12",1961,15.6707452054794,14.5862794520548,15.6047356164384,14.6964917808219,15.5394904109589,14.6530808219178,15.6923397260274,14.5986315068493,15.2056109589041,15.1156232876712,15.1363028767123
"13",1962,15.3970383561644,15.5946479452055,15.9588821917808,14.7020698630137,15.3837205479452,15.2462863013699,14.6859616438356,15.3108438356165,15.0121808219178,16.1949068493151,15.3486538356164
"14",1963,16.4235808219178,15.3570328767123,15.1850260273973,15.0237917808219,15.4554835616438,15.1241575342466,14.6093465753424,14.6714465753425,14.1815945205479,16.0089232876712,15.2040383561644
"15",1964,15.5186953551913,15.0303224043716,15.1553469945355,15.6523975409836,14.8690300546448,14.6506366120219,15.7571693989071,15.3234139344262,14.7193292349727,15.8580095628415,15.2534351092896
"16",1965,14.998502739726,14.1224109589041,14.5873520547945,13.9545547945205,14.8553849315069,14.7175342465753,14.2996835616438,14.955604109589,15.3740178082192,15.006294520548,14.6871339726027
"17",1966,14.427794520548,15.1044479452055,14.5283575342466,15.1345849315068,15.5227643835616,15.3320397260274,15.6939890410959,15.0244849315068,15.8508821917808,14.7314890410959,15.1350834246575
"18",1967,15.6092602739726,15.7722369863014,15.2797410958904,15.4949643835616,14.0722643835616,14.674897260274,13.8040150684931,14.3770219178082,14.9615917808219,15.2547383561644,14.9300731506849
"19",1968,13.716837431694,14.7736762295082,15.1778606557377,14.8261270491803,14.8951448087432,14.8669713114754,15.3037868852459,14.5622950819672,15.3139549180328,15.4433743169399,14.8880028688525
"20",1969,14.7113821917808,15.4214890410959,14.6284164383562,14.7646369863014,14.882702739726,15.3220205479452,14.3438780821918,15.5391150684932,15.8896095890411,14.9285452054795,15.0431795890411
"21",1970,15.9311082191781,14.9000054794521,15.6555205479452,15.8112616438356,15.5681643835616,15.1140726027397,14.6737219178082,15.8298479452055,15.8208753424658,15.2956698630137,15.4600247945206
"22",1971,15.0944178082192,14.9923493150685,14.7526260273973,15.0594232876712,15.408195890411,15.6784904109589,15.5982890410959,14.917194520548,15.0532835616438,14.3184671232877,15.0872736986301
"23",1972,15.5690341530055,15.2083142076503,15.5692896174863,15.1682663934426,14.7552759562842,15.0340409836066,14.9925587431694,14.9069945355191,16.2265846994536,15.0909617486339,15.2521321038251
"24",1973,15.4538383561644,15.2570410958904,14.6346342465753,15.8607150684931,15.6716753424658,14.872197260274,15.465204109589,14.7210123287671,15.7470712328767,15.1722397260274,15.2855628767123
"25",1974,15.2068589041096,15.918102739726,14.8961479452055,15.6093342465753,16.5066726027397,14.6375616438356,15.162694520548,15.7748534246575,15.893795890411,14.969297260274,15.4575319178082
