"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,14.4597164383562,14.1403534246575,14.1111849315068,15.0206589041096,14.1619164383562,14.5814205479452,14.6545931506849,14.3764205479452,14.0337767123288,13.948694520548,14.3488735616438
"2",1951,13.7062917808219,13.7082438356164,13.376,13.6934904109589,13.3706794520548,14.1710232876712,14.4020438356165,14.6419835616438,14.4043424657534,14.8169821917808,14.0291080821918
"3",1952,13.539943989071,14.0088469945355,14.1618101092896,13.8538142076503,14.4592554644809,14.7063989071038,14.3285027322404,15.0276557377049,14.9044030054645,14.6678087431694,14.3658439890711
"4",1953,14.8181260273973,14.1342712328767,13.5357575342466,14.9034356164384,13.9091082191781,13.9172493150685,14.4184726027397,14.4060794520548,15.0807191780822,14.590904109589,14.3714123287671
"5",1954,14.8288780821918,13.4450068493151,14.5965301369863,14.3345602739726,14.3566849315068,13.8560698630137,14.2328780821918,14.5943109589041,14.0865945205479,14.4312876712329,14.2762801369863
"6",1955,13.7813835616438,13.6181945205479,14.537201369863,14.0395520547945,13.652797260274,13.9362684931507,14.6489178082192,14.5186726027397,13.8417191780822,14.7557917808219,14.1330498630137
"7",1956,13.7233169398907,14.178543715847,13.6437568306011,14.0136926229508,13.6093442622951,14.2640683060109,14.2417431693989,14.7789699453552,14.2259849726776,14.0978032786885,14.0777224043716
"8",1957,14.4867657534247,13.7197945205479,13.5622260273973,14.0401835616438,13.9812506849315,13.8702191780822,14.0997712328767,14.3308547945205,14.3871,14.9909410958904,14.1469106849315
"9",1958,14.6045534246575,13.4996219178082,13.8031232876712,13.7148767123288,13.513902739726,13.5092479452055,14.2075438356164,14.2868123287671,14.1944849315069,14.5666534246575,13.9900820547945
"10",1959,13.7996904109589,14.0035082191781,14.4675082191781,13.6169534246575,15.054897260274,14.0657232876712,13.8863643835616,14.2737767123288,13.9282712328767,14.3912602739726,14.1487953424657
"11",1960,13.7960928961749,13.6168183060109,14.4588920765027,14.077456284153,14.3321803278688,14.4489453551913,14.2720519125683,14.3061530054645,14.5574043715847,14.3298210382514,14.219581557377
"12",1961,14.4475260273973,13.5784054794521,14.5728356164384,13.8289931506849,14.5296726027397,13.5143726027397,14.7132054794521,13.809502739726,14.336195890411,13.9716547945206,14.1302364383562
"13",1962,14.2137150684931,14.325502739726,14.4455616438356,13.7299054794521,14.3056246575343,14.0420876712329,13.8296260273973,14.3980178082192,14.1532506849315,14.8982849315068,14.2341576712329
"14",1963,15.3305547945205,14.2956232876712,14.223802739726,13.9753205479452,14.3812424657534,14.2699616438356,13.6449164383561,13.835002739726,13.1427780821918,14.7433876712329,14.1842590410959
"15",1964,14.724087431694,14.0274467213115,14.3008510928962,14.8549754098361,13.9912964480874,13.6315724043716,14.5026243169399,14.1730669398907,13.8111543715847,14.7725150273224,14.2789590163935
