"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,17.4526904109589,17.1833438356164,16.8377849315069,17.6610780821918,17.0166095890411,17.4484438356164,17.7707479452055,17.5422493150685,17.1608890410959,16.8961219178082,17.296995890411
"2",1951,16.8607287671233,16.5705273972603,16.4849780821918,16.4983684931507,16.2388301369863,16.7585328767123,17.198897260274,17.676094520548,17.6038164383562,17.9292616438356,16.9820035616438
"3",1952,16.7971120218579,16.9887035519126,17.2468019125683,16.8887363387978,17.38975,17.7216092896175,17.600218579235,17.9217076502732,17.3323046448087,17.5510382513661,17.3437982240437
"4",1953,18.1472876712329,16.8282657534247,16.9283342465753,17.8154534246575,17.1783534246575,16.7444753424657,17.5626109589041,17.523904109589,17.7897547945206,17.5602369863014,17.4078676712329
"5",1954,17.4341767123288,16.2955698630137,17.8860082191781,17.1229520547945,17.1800643835617,16.7919424657534,17.2920506849315,17.6699136986301,16.9132205479452,17.4513904109589,17.2037289041096
"6",1955,16.7475095890411,16.5858369863014,17.3707232876712,16.9785657534247,16.5535315068493,16.675798630137,17.6921191780822,17.5815739726027,16.709797260274,17.9754739726027,17.0870930136986
"7",1956,16.5535587431694,16.9759959016393,16.5365505464481,17.2124644808743,16.6354234972678,17.1844521857923,17.21175,17.6248620218579,17.4177254098361,17.2113961748634,17.0564178961749
"8",1957,17.5900150684932,16.7995219178082,16.2702452054794,16.9908698630137,16.9238739726027,16.6205726027397,16.9124506849315,17.4502589041096,17.5628095890411,17.8797753424658,17.1000393150685
"9",1958,17.4103260273973,16.3823876712329,16.9742301369863,16.8054479452055,16.6079123287671,16.5053931506849,17.1644561643836,17.2445383561644,17.0284589041096,17.2973821917808,16.9420532876712
"10",1959,17.1156589041096,17.0871164383561,17.655798630137,17.211705479452,17.7388397260274,16.7594068493151,16.8724794520548,16.9916123287671,16.7117,17.3201835616438,17.1464501369863
"11",1960,16.6302226775956,16.7015710382514,17.3168743169399,17.2830259562841,17.1027049180328,17.3811161202186,17.0307254098361,17.0376734972678,17.7685628415301,17.262631147541,17.1515107923497
"12",1961,17.4719767123288,16.5366273972603,17.2963164383562,16.6665890410959,17.6215821917808,16.4433260273972,17.7525520547945,16.8726,17.4730753424658,16.824795890411,17.095944109589
"13",1962,17.1488808219178,17.3887109589041,17.782598630137,16.8763068493151,17.0808054794521,17.1366068493151,16.7856178082192,17.4740616438356,16.8483082191781,18.0257273972603,17.2547624657534
"14",1963,18.3316849315068,17.1495383561644,17.0349,16.8249684931507,17.4228520547945,17.2187410958904,16.5916287671233,16.5404095890411,16.0792082191781,17.8781616438356,17.1072093150685
"15",1964,17.5045109289618,16.8462431693989,17.1534535519126,17.4645027322404,16.7531448087432,16.399206284153,17.7996680327869,16.9932103825137,16.7226926229508,17.9889781420765,17.1625610655738
"16",1965,16.7627301369863,16.0173589041096,16.3807452054795,15.8453369863014,16.6726739726027,16.7226630136986,16.1954849315068,16.7357123287671,17.4960424657534,16.8664589041096,16.5695206849315
"17",1966,16.2973671232877,16.9456671232877,16.3903794520548,16.9752876712329,17.6476671232877,17.1332753424658,17.6957369863014,17.1415301369863,17.807405479452,16.4929342465753,17.0527250684931
"18",1967,17.4517,17.7113561643836,17.1226178082192,17.3807589041096,15.9659739726027,16.4957315068493,15.7806232876712,16.2029904109589,16.522705479452,16.9409890410959,16.7575446575342
"19",1968,15.543662568306,16.6762841530055,17.255206284153,16.8575218579235,16.8165368852459,16.6619289617486,17.2051926229508,16.6280956284153,17.0624904371585,17.4387882513661,16.8145707650273
"20",1969,16.4853945205479,17.614802739726,16.6532739726027,16.508702739726,16.7330068493151,16.9764630136986,16.138094520548,17.4138753424658,17.3401739726028,16.9700726027397,16.8833860273973
"21",1970,17.9412424657534,16.8065657534247,17.4979328767123,17.531104109589,17.4509753424658,17.0722794520548,16.6838671232877,17.5599287671233,17.4722698630137,17.3719205479452,17.338808630137
"22",1971,17.0680082191781,16.568001369863,16.3607054794521,16.873898630137,17.3258465753425,17.5648205479452,17.5359780821918,16.8152863013699,17.1364164383562,16.2836684931507,16.9532630136986
"23",1972,17.2962459016394,17.1374289617486,17.3882281420765,17.1084453551913,16.326650273224,16.8886489071038,16.8545532786885,16.6627841530055,18.0778920765027,17.0178032786885,17.0758680327869
"24",1973,17.513802739726,17.0184397260274,16.6827616438356,17.7481821917808,17.6954602739726,16.8862205479452,17.5408095890411,16.6558356164384,17.6900671232876,17.1862917808219,17.2617871232877
