"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,13.4685,12.229,12.9895,12.0125,12.189,13.4225,14.1535,11.6495,9.0905,11.893,9.77145
"2",1950,2,12.4205,15.973,12.9285,16.632,13.819,17.141,13.4065,12.893,16.078,13.57,11.391
"3",1950,3,16.3465,15.7535,16.4095,17.2385,15.136,14.6665,20.2135,14.668,19.263,15.173,13.58965
"4",1950,4,24.648,22.1245,22.1735,22.593,22.6375,20.6825,23.1765,21.91,20.4225,19.602,19.73105
"5",1950,5,24.089,28.4575,26.0505,27.3235,23.6265,26.213,29.26,25.6595,27.854,27.876,22.7658
"6",1950,6,28.439,27.059,27.739,28.444,28.3705,29.943,31.362,32.01,29.133,28.7505,25.7743
"7",1950,7,29.57,29.853,34.092,28.371,29.883,27.8255,30.307,30.6665,29.575,30.345,27.95715
"8",1950,8,28.813,33.902,28.4505,27.219,26.755,29.8835,29.8325,27.23,29.5385,27.125,26.2856
"9",1950,9,25.362,27.205,32.269,27.722,26.207,28.5115,25.877,33.8605,25.4595,23.1905,24.79465
"10",1950,10,25.6135,25.765,21.0165,24.1835,23.6655,23.5315,19.252,24.412,23.0715,23.2455,19.7761
"11",1950,11,17.8035,15.875,16.43,17.93,15.8685,17.246,16.295,15.099,16.4125,12.761,14.31335
"12",1950,12,11.4615,14.243,12.789,14.9365,11.2655,14.4645,12.9795,8.814,10.6965,12.1685,9.38035
"13",1951,1,14.7285,12.431,10.493,13.913,11.01,12.7475,16.2865,11.6555,9.142,12.186,10.04305
"14",1951,2,14.03,16.7815,13.64,13.617,13.9395,11.556,15.033,12.8815,15.906,15.388,11.8261
"15",1951,3,16.802,16.152,19.467,16.9405,18.5715,14.898,21.3635,20.509,19.4725,19.072,15.48055
"16",1951,4,22.6855,20.4335,22.952,17.915,21.914,20.9585,19.528,24.7955,20.591,22.4705,18.0361
"17",1951,5,23.6575,23.489,24.574,22.716,22.918,25.0485,26.3345,31.82,24.8555,25.979,22.56395
"18",1951,6,27.0035,26.736,24.696,31.5865,30.614,26.875,27.606,28.313,31.381,25.3835,25.0857
"19",1951,7,27.375,30.9765,29.2815,29.3625,28.393,31.2585,30.7215,29.88,30.5945,31.215,26.8743
"20",1951,8,30.0695,29.0565,29.271,27.249,29.601,27.4875,27.8775,32.8005,29.2755,31.661,27.1067
"21",1951,9,26.449,27.11,27.3375,27.3415,26.1525,28.9575,25.279,25.282,26.475,25.0095,23.8685
"22",1951,10,22.6485,24.6145,24.078,20.7245,19.9565,23.953,28.15,22.401,25.9065,23.676,21.3044
"23",1951,11,18.7975,16.008,17.8735,20.206,15.842,14.636,15.937,16.7585,16.625,15.352,15.28285
"24",1951,12,12.075,13.827,13.3045,11.1625,10.7315,12.759,12.8045,14.763,12.1135,11.7705,9.5768
"25",1952,1,13.8935,9.599,14.132,11.7375,12.2435,14.589,13.2925,13.18,11.012,10.716,9.85745
"26",1952,2,11.605,13.0135,12.3885,11.851,15.89,16.07,15.237,13.349,16.235,14.6875,11.41695
"27",1952,3,21.5585,15.073,17.7755,14.193,16.932,17.261,19.0145,15.225,17.4355,14.3215,14.5095
"28",1952,4,22.371,24.3505,25.0755,22.925,20.185,22.6125,25.497,20.6205,18.0045,20.37,17.0565
"29",1952,5,25.5085,23.8645,23.1495,24.751,27.363,27.148,25.142,24.6945,23.189,24.443,22.062
"30",1952,6,26.473,27.544,30.1975,26.4285,30.101,28.532,29.1125,31.521,30.39,31.26,26.1527
"31",1952,7,28.3095,31.7145,30.0005,30.0855,30.3165,28.698,29.7485,29.2835,30.3035,28.1315,26.9725
"32",1952,8,29.3835,28.934,30.761,28.3555,30.598,28.485,29.2895,30.7,28.868,26.855,27.26005
"33",1952,9,21.7885,26.2,23.554,26.497,28.346,27.3155,29.5,30.877,32.2555,25.878,23.8139
"34",1952,10,25.062,25.45,24.6875,28.5755,25.4725,24.2625,22.479,26.246,21.8225,22.281,21.203
"35",1952,11,15.1825,15.7535,17.3355,14.8615,15.6335,13.88,17.6125,18.3105,16.616,17.1865,14.7534
"36",1952,12,16.919,15.56,13.717,10.7505,11.624,13.974,15.6175,13.1405,13.793,14.661,11.1238
"37",1953,1,9.828,12.5805,13.913,8.5225,11.213,13.505,11.0585,12.022,12.0715,12.085,9.02385
"38",1953,2,15.548,12.4725,16.1825,17.7235,14.726,15.426,11.182,16.7245,15.348,13.5025,11.8847
"39",1953,3,15.5715,19.417,17.2045,20.684,18.976,16.919,18.9895,21.664,17.8695,16.0775,15.00345
"40",1953,4,21.837,17.101,25.238,24.0465,20.563,21.248,20.427,21.7485,20.204,21.4655,18.29435
"41",1953,5,24.624,28.1815,26.7985,24.8945,26.5625,26.112,27.1405,27.5775,23.0095,26.0835,23.2513
"42",1953,6,32.4615,25.4895,29.5505,29.7085,29.0315,25.5885,32.6555,31.074,26.1005,31.417,25.73975
"43",1953,7,30.0525,31.035,31.721,30.721,28.1315,30.6375,29.277,30.1715,29.1755,28.345,26.997
"44",1953,8,30.614,29.404,29.4755,36.127,27.7385,30.057,31.695,32.4455,29.8505,28.289,27.8182
"45",1953,9,25.7185,27.472,28.885,33.5185,25.1045,26.5125,25.5135,27.432,32.002,25.6995,24.58025
"46",1953,10,23.8625,22.5605,23.646,21.4965,23.22,24.786,23.662,26.883,22.1425,21.9095,21.26205
"47",1953,11,19.1675,15.4295,18.0715,18.5995,17.3805,16.889,16.803,15.395,15.579,15.8325,14.72965
"48",1953,12,14.4825,13.986,13.245,10.7685,10.8315,13.3445,19.209,14.6605,14.179,13.552,10.00135
"49",1954,1,13.1885,13.222,10.986,13.086,11.615,10.8125,12.5245,11.914,11.552,12.847,9.49585
"50",1954,2,14.2355,14.723,15.106,15.0735,12.3145,11.9035,14.444,16.817,14.6815,14.7765,12.3152
"51",1954,3,17.2805,15.2045,18.0435,18.535,16.315,14.7325,18.0795,18.9355,15.858,13.036,14.02665
"52",1954,4,21.896,17.7475,22.556,20.4735,20.7515,18.4425,22.043,20.4385,20.6755,19.3125,16.3776
"53",1954,5,24.4365,26.1255,25.987,24.8615,24.1725,21.3265,22.293,26.23,24.4235,26.0785,21.1514
"54",1954,6,29.665,28.1575,29.569,31.0725,27.31,28.7165,30.889,31.252,32.94,31.836,26.10495
"55",1954,7,28.886,30.4435,29.143,30.473,28.9675,30.465,30.9765,32.118,27.9165,34.935,26.6765
"56",1954,8,32.188,24.6285,27.7545,29.7915,28.3215,27.691,32.8975,28.3555,29.8215,29.456,26.87125
"57",1954,9,29.954,27.119,28.832,29.875,26.975,29.8655,25.0125,27.037,28.646,27.032,24.7068
"58",1954,10,20.9085,23.926,26.2345,28.529,24.005,20.475,19.6335,24.0535,19.4605,23.427,20.81455
"59",1954,11,17.248,16.382,17.643,15.3655,19.4085,14.473,18.8125,16.8885,15.191,17.159,14.8219
"60",1954,12,14.748,11.664,14.375,14.7595,12.216,14.075,12.1425,13.912,13.6605,13.8055,10.8765
"61",1955,1,10.8615,11.1845,14.017,13.503,14.8715,13.0225,10.8825,12.469,12.0645,10.7945,9.78405
"62",1955,2,13.514,12.507,14.7295,12.975,15.13,13.882,19.808,16.2225,13.0055,15.5785,12.23375
"63",1955,3,17.829,17.216,19.4395,14.973,17.361,16.2565,18.472,19.5545,17.8185,15.627,13.29245
"64",1955,4,22.224,20.8535,21.088,19.659,18.399,16.767,21.4265,22.671,19.797,25.9875,18.54845
"65",1955,5,21.2385,26.2065,28.8875,28.185,27.003,23.8335,25.9285,23.873,24.896,26.4965,22.33865
"66",1955,6,27.6415,33.1465,30.108,30.117,30.296,27.209,28.167,29.137,29.995,30.9255,24.68755
"67",1955,7,31.2585,28.775,29.8535,29.1805,28.3665,30.337,33.015,30.121,27.485,29.6675,26.1041
"68",1955,8,29.645,33.0765,27.428,30.6275,26.253,27.716,27.6455,28.7665,29.568,29.521,26.14485
"69",1955,9,26.1115,24.557,25.557,28.9455,26.3075,25.622,28.772,26.521,25.954,25.654,24.4563
"70",1955,10,27.1745,25.32,24.056,22.1595,23.686,24.0625,25.8655,24.5195,24.01,24.151,22.27785
"71",1955,11,15.024,16.8305,20.0335,15.2085,15.5595,15.7685,18.3545,19.471,17.463,17.8055,15.97175
"72",1955,12,10.8355,14.621,12.0025,10.782,11.421,13.119,11.9175,12.544,13.2885,13.7805,9.1273
"73",1956,1,10.586,11.1355,12.2895,12.865,11.144,12.873,12.6745,11.9385,10.4855,15.0405,10.1714
"74",1956,2,16.437,13.7005,17.0215,11.011,15.3635,17.586,19.43,14.6785,16.7775,14.604,12.1141
"75",1956,3,20.6005,21.4025,15.9605,20.356,16.722,14.5175,17.5835,19.5855,15.238,16.3185,15.38255
"76",1956,4,20.829,20.6245,17.6455,21.2445,21.3055,20.3595,21.928,20.314,20.1575,21.2575,16.8528
"77",1956,5,24.502,25.862,20.755,26.509,24.264,25.814,20.7445,29.2045,26.727,29.7735,22.4876
"78",1956,6,29.1265,27.352,25.9045,30.927,30.037,30.286,29.705,29.576,33.427,27.7105,25.81135
"79",1956,7,27.435,26.9035,29.5135,28.324,28.8725,30.467,29.512,27.768,28.9535,30.8205,26.3482
"80",1956,8,27.805,29.476,29.5035,31.5085,24.4565,29.0315,29.5195,31.732,33.277,27.8545,26.2457
"81",1956,9,31.331,28.6575,26.483,27.3085,27.4965,26.8485,27.6285,25.9285,24.5315,24.5655,23.17645
"82",1956,10,21.9685,21.226,23.7805,23.31,26.823,24.03,25.076,22.6465,25.99,24.7885,21.84095
"83",1956,11,15.6845,15.852,20.217,17.86,14.2055,18.05,17.935,15.1865,15.5815,17.825,15.48175
"84",1956,12,7.7195,14.104,13.186,15.804,11.8445,12.053,12.833,14.0005,10.559,11.514,9.7312
"85",1957,1,12.746,9.5435,11.3755,10.2955,8.979,12.054,10.8855,12.642,11.1055,11.613,8.1183
"86",1957,2,12.739,11.305,14.649,15.778,15.366,13.967,15.5195,14.7775,13.822,15.356,12.26195
"87",1957,3,18.792,19.674,14.8545,20.524,19.441,14.8315,16.2485,15.463,21.2775,17.513,13.80475
"88",1957,4,24.0875,25.3805,19.7855,21.636,24.5085,21.2355,21.6795,19.531,19.45,22.056,17.252
"89",1957,5,24.887,29.4605,22.0825,28.8395,26.198,24.0305,21.165,24.464,29.362,27.845,22.3345
"90",1957,6,30.7055,26.9995,26.159,33.3595,27.8235,24.633,27.1235,27.4125,32.033,27.5415,24.88475
"91",1957,7,29.0525,28.8005,33.7335,32.1025,28.7635,29.246,25.7935,31.739,31.1525,28.4125,26.82525
"92",1957,8,30.242,27.813,32.201,29.3095,31.1525,29.4165,26.213,29.1545,28.9975,29.439,26.8848
"93",1957,9,27.423,29.238,27.2425,26.068,25.2775,25.9615,29.707,27.7635,29.7835,26.843,24.16835
"94",1957,10,24.8035,23.5695,22.7465,25.904,26.139,21.0155,23.1755,22.013,22.3335,23.5125,20.3847
"95",1957,11,18.628,15.855,15.647,14.3385,19.4595,17.2545,18.5035,18.1435,17.593,16.4095,15.6922
"96",1957,12,13.4785,11.999,12.5965,11.7075,11.37,12.136,10.661,11.8045,14.034,15.0345,9.45805
"97",1958,1,13.6105,13.7315,10.4335,12.285,11.8125,12.423,13.478,12.8805,11.7985,12.5405,9.87895
"98",1958,2,11.6135,13.041,13.5055,17.989,14.5695,14.385,15.5215,13.484,13.0225,16.6775,11.4585
"99",1958,3,17.184,14.726,16.7555,17.0675,17.7245,18.877,18.8105,19.275,17.4855,17.8,14.33275
"100",1958,4,16.9705,16.02,19.8285,18.642,21.4645,19.047,16.445,21.837,22.7575,16.672,15.7166
"101",1958,5,26.9855,27.5405,23.3355,27.3815,25.659,24.825,22.057,20.857,27.481,28.383,21.76475
"102",1958,6,25.464,30.528,26.046,25.6705,30.233,25.001,31.531,32.6625,29.366,31.621,25.47265
"103",1958,7,28.957,27.861,29.785,29.277,28.4795,28.1535,30.1155,29.8985,30.586,30.4385,26.16795
"104",1958,8,27.6835,28.965,30.121,28.1915,25.7275,27.7195,30.097,33.594,28.7015,27.9875,26.5341
"105",1958,9,31.1345,27.925,29.364,26.7835,25.846,29.2125,28.5255,30.145,26.8545,27.7935,25.68295
"106",1958,10,23.7025,25.4585,24.0155,19.48,25.5215,19.1585,22.7525,27.3085,26.4755,19.417,20.4175
"107",1958,11,18.094,15.6355,17.169,16.971,15.921,18.43,17.0475,14.457,15.052,16.4695,14.4456
"108",1958,12,13.4645,14.448,12.4895,10.457,11.491,9.742,12.9605,11.716,10.3795,13.8725,9.63735
"109",1959,1,11.9065,12.5325,10.6715,7.173,12.2045,11.104,11.319,12.0585,10.921,11.2435,8.90035
"110",1959,2,13.072,15.5005,14.204,11.5565,13.191,17.3445,15.4,18.4285,11.166,14.5645,13.0751
"111",1959,3,16.6165,16.1725,17.9495,18.904,17.2955,20.0375,17.7785,13.6005,15.5245,18.756,13.9873
"112",1959,4,24.5465,21.095,22.4495,23.795,22.989,21.1415,19.519,23.649,21.7675,20.2535,19.31735
"113",1959,5,24.4105,25.2585,28.013,26.283,26.46,21.8545,22.2705,25.211,25.129,22.676,21.15795
"114",1959,6,28.808,31.8065,28.2745,29.7415,31.399,25.091,29.5775,30.6575,29.592,26.3405,24.9237
"115",1959,7,30.695,28.3315,29.2375,29.4695,31.664,30.026,30.3965,29.572,29.594,27.5755,26.31265
"116",1959,8,30.2275,25.5265,27.153,28.6115,27.951,27.8485,28.0315,28.1765,30.1295,26.833,25.83915
"117",1959,9,28.8655,28.742,29.582,26.64,25.3935,31.1995,26.7495,25.574,24.942,27.226,25.8251
"118",1959,10,22.499,23.136,28.916,26.0575,26.2015,19.642,22.8235,20.1775,23.5285,22.1315,21.11935
"119",1959,11,16.2455,17.584,18.6535,15.4565,17.462,14.942,13.519,15.744,16.479,15.203,14.75485
"120",1959,12,10.2165,14.3545,11.634,12.585,11.414,15.07,13.6655,12.3085,13.029,13.3205,9.19445
"121",1960,1,13.512,10.6885,13.3925,9.285,10.1695,13.3465,12.7205,13.085,16.0555,11.912,9.3951
"122",1960,2,14.138,10.482,20.19,16.2145,12.3915,14.0765,13.5175,18.117,15.084,15.0255,12.4684
"123",1960,3,19.077,16.6025,18.2565,19.2645,13.953,18.283,15.1385,16.819,18.6005,17.3275,14.59995
