"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,2.3895,4.5475,3.529,4.37,5.116,6.4285,3.345,0.448,1.5145,5.024,-0.1379
"2",1950,2,0.2675,6.149,1.0065,3.561,2.0755,1.5885,2.2415,3.701,4.4015,2.299,-1.04615
"3",1950,3,5.4785,5.045,5.7775,6.3435,4.266,4.647,5.454,2.351,9.866,3.195,0.6569
"4",1950,4,11.5745,7.9795,7.203,8.749,8.765,9.489,8.998,8.523,6.682,7.014,5.2347
"5",1950,5,10.361,12.835,14.2465,16.3735,9.7345,10.4065,15.168,14.5295,11.1995,11.124,8.71745
"6",1950,6,14.568,14.82,15.574,17.1215,13.9275,14.694,16.9885,16.844,14.889,14.394,11.9993
"7",1950,7,16.593,16.6975,21.2735,17.942,19.012,17.6725,21.1885,18.7635,17.751,19.864,16.3467
"8",1950,8,17.375,21.419,16.4135,16.9005,17.1305,19.5475,18.0615,17.0635,18.637,16.2235,15.58655
"9",1950,9,15.9725,16.108,18.746,14.9395,14.444,15.6175,16.029,15.549,14.36,14.3255,13.43025
"10",1950,10,12.847,11.3695,12.6775,11.0395,12.6415,12.9215,7.7815,15.108,13.154,11.737,8.9473
"11",1950,11,7.742,7.5215,8.9355,7.448,6.535,8.1125,4.102,6.308,9.1405,4.6275,3.26905
"12",1950,12,6.191,4.355,3.6615,8.233,2.1565,2.692,4.7825,1.4035,5.2505,4.503,-0.13215
"13",1951,1,4.0345,4.0875,-0.725000000000001,3.009,2.618,4.842,7.165,1.1675,2.8915,4.9175,-0.77205
"14",1951,2,3.1005,8.5805,1.388,2.7515,3.008,0.6235,6.461,5.674,7.0255,5.0835,-0.71175
"15",1951,3,3.481,4.272,6.6125,6.589,6.7425,1.038,6.465,10.548,7.611,9.1955,2.6124
"16",1951,4,6.603,5.771,9.8045,5.109,7.999,5.406,7.468,11.0885,9.644,8.324,3.60525
"17",1951,5,10.7085,11.5005,13.143,9.7225,9.7305,9.003,12.7325,12.879,11.766,12.5625,8.56695
"18",1951,6,14.6135,13.5595,11.4145,16.48,17.0015,15.081,13.8225,13.75,15.389,12.5305,12.09295
"19",1951,7,16.804,20.5865,17.5835,16.5405,17.532,20.6055,18.847,17.991,18.3005,19.233,14.98845
"20",1951,8,16.969,18.475,16.494,16.251,17.113,17.6715,16.95,19.4745,19.3405,20.6005,15.44815
"21",1951,9,18.022,16.403,17.595,13.3045,14.9065,18.864,13.6655,14.6235,14.7885,14.6395,12.28565
"22",1951,10,11.887,14.243,12.8085,11.8245,10.4605,11.6915,15.831,12.3405,14.7795,11.881,9.2605
"23",1951,11,12.524,8.109,8.1275,11.7605,7.0555,7.9355,7.0115,2.5595,6.793,6.5935,4.77
"24",1951,12,3.7205,8.2095,5.4635,2.5445,-1.0905,4.1495,4.5685,7.8855,6.3135,2.973,0.50595
"25",1952,1,3.2115,1.4705,7.119,4.296,-0.0259999999999998,8.116,5.7655,1.7065,5.187,1.4895,-0.42295
"26",1952,2,3.074,3.203,3.935,4.756,2.81,6.3035,4.816,2.0555,5.0875,3.3835,-0.2063
"27",1952,3,8.0875,3.128,6.1915,2.4025,3.447,9.322,5.4205,4.0245,6.139,3.5315,1.7699
"28",1952,4,10.2305,10.2445,11.016,10.483,7.156,8.826,13.3775,7.0925,5.071,7.9315,3.31495
"29",1952,5,12.7925,10.581,10.6245,11.5695,15.0865,13.6165,15.041,9.892,12.5675,13.5015,8.85455
"30",1952,6,14.3555,14.2015,18.0995,13.151,15.7125,15.1955,15.8275,15.4535,15.694,17.518,13.4329
"31",1952,7,17.1595,18.5195,18.3665,17.438,17.39,17.612,16.9275,15.656,18.1,17.3805,15.50145
"32",1952,8,18.232,19.181,19.9815,17.9655,17.3285,16.41,18.115,18.2105,16.9735,16.7005,16.25355
"33",1952,9,12.4495,15.61,12.1645,15.0465,16.255,15.44,15.183,16.513,17.1555,15.7525,12.8656
"34",1952,10,13.051,13.5565,10.813,17.808,15.1395,13.6345,11.578,15.236,9.811,10.401,10.20705
"35",1952,11,5.5905,7.729,9.1995,4.2135,12.0155,1.8505,9.8135,11.2865,8.208,10.034,2.99805
"36",1952,12,7.708,6.2895,1.502,4.649,4.8305,5.0665,8.088,10.412,6.5525,5.1035,0.65185
"37",1953,1,1.792,4.1535,1.7425,0.6665,2.8345,4.0155,2.302,0.204,4.9185,5.6495,-1.83725
"38",1953,2,2.6045,2.645,6.4375,5.103,2.953,4.8895,2.1815,5.1975,4.581,2.6355,-1.34355
"39",1953,3,5.857,6.124,5.0575,8.1525,5.6985,4.673,5.4515,7.8715,5.913,4.016,2.33525
"40",1953,4,8.0095,1.62,9.2785,9.5495,8.4,7.3025,5.266,10.336,6.423,10.707,4.9257
"41",1953,5,12.4835,16.345,14.497,10.9935,13.2715,13.1885,13.33,15.808,8.4695,16.133,9.81765
"42",1953,6,15.066,13.4735,13.923,15.457,16.291,13.5515,19.631,16.1205,10.6055,15.97,12.6498
"43",1953,7,18.3945,19.0155,17.888,17.3125,16.8025,19.8345,18.2725,19.603,19.4615,17.1785,16.2192
"44",1953,8,18.6875,17.207,17.3075,21.1095,17.314,19.62,18.47,19.5815,18.281,18,16.1905
"45",1953,9,15.6405,16.6905,16.155,18.186,14.0165,16.951,14.332,17.2665,19.1455,14.717,12.73785
"46",1953,10,14.395,11.3735,12.6375,10.424,12.534,11.9715,12.071,12.2145,13.082,11.238,8.84995
"47",1953,11,12.2465,3.549,9.245,8.5205,9.57,9.2585,10.5615,8.532,7.416,9.19,4.03745
"48",1953,12,9.577,7.49,3.2175,2.0695,3.6775,1.568,7.0985,2.634,5.2115,6.1235,1.39155
"49",1954,1,3.9575,7.2395,2.1815,0.1755,-0.121,4.7575,3.902,4.585,5.004,3.6115,-1.34555
"50",1954,2,4.033,4.2405,2.1735,5.945,-1.9505,1.5775,3.8475,6.688,3.7415,4.846,-0.14305
"51",1954,3,4.6145,1.7555,4.1755,5.6845,3.774,3.273,6.1645,8.049,2.9415,3.764,0.7541
"52",1954,4,9.089,3.29,8.068,7.3755,8.284,3.0905,9.649,7.803,7.676,6.865,2.6809
"53",1954,5,11.0085,11.6255,11.7115,11.0775,11.504,7.472,9.757,12.0645,11.65,12.4315,8.47805
"54",1954,6,15.341,15.954,16.4465,16.49,14.304,13.618,17.284,18.0145,16.8535,22.5695,13.2064
"55",1954,7,17.7045,18.7425,16.9925,17.122,16.353,17.8225,18.0605,19.6155,17.4875,18.5485,15.3265
"56",1954,8,23.583,14.491,18.663,18.744,16.8835,18.075,19.5775,18.2195,18.356,17.2605,15.67645
"57",1954,9,16.6345,15.2175,16.7315,21.2885,15.177,17.7455,15.49,15.3785,15.8355,15.1375,13.55235
"58",1954,10,10.9485,14.911,13.1325,15.9565,13.558,10.952,8.5465,14.1715,9.2325,10.794,9.1726
"59",1954,11,6.7945,7.6025,8.828,7.444,14.79,6.601,8.562,10.135,4.458,10.3055,4.0301
"60",1954,12,4.142,5,4.6955,3.405,6.088,6.1415,6.6315,4.459,3.7675,5.006,1.4922
"61",1955,1,3.94,6.6285,6.3945,2.0995,7.1065,6.5545,0.282,1.0865,1.9685,-0.355,-1.17765
"62",1955,2,2.9615,1.74,3.508,1.8695,1.2705,1.2855,6.9675,5.0135,3.5255,6.4595,0.0603499999999999
"63",1955,3,4.5145,2.7695,9.1275,2.5805,4.7535,3.8245,7.33,8.8265,6.4675,5.0175,0.55955
"64",1955,4,9.1255,9.501,8.0075,7.113,7.35,6.428,8.6835,11.801,6.9795,11.891,5.27565
"65",1955,5,8.439,12.3815,14.2885,14.4865,14.024,10.3725,11.0195,8.855,12.1395,14.562,9.4151
"66",1955,6,14.134,17.119,15.322,16.0365,16.217,12.983,15.613,15.2875,13.7955,18.543,12.2964
"67",1955,7,18.7265,16.425,16.992,17.216,15.9365,16.655,18.9215,18.2025,16.784,17.6055,15.15085
"68",1955,8,18.5575,22.0255,14.055,19.107,17.8505,16.125,16.5135,16.898,18.122,17.6015,15.24005
"69",1955,9,17.23,13.969,15.2415,18.431,16.2195,14.8225,16.5175,17.0935,14.728,15.891,14.12265
"70",1955,10,14.188,15.934,13.303,11.167,14.81,13.338,16.9455,12.6485,11.978,14.337,11.19765
"71",1955,11,5.3345,4.8975,10.069,5.0105,5.466,2.5085,9.4,9.6535,7.471,8.728,4.39715
"72",1955,12,1.042,3.883,4.9475,3.2265,4.9785,5.1125,6.232,4.2585,5.4965,5.161,0.10265
"73",1956,1,3.425,2.9935,5.256,4.3725,3.706,4.8925,2.0565,5.0515,2.1315,3.9655,-0.4766
"74",1956,2,4.4285,5.468,5.5095,-1.22,1.4825,6.1485,6.8425,3.647,6.3325,2.672,-0.2332
"75",1956,3,7.3645,10.925,4.4455,10.5005,6.003,2.89,4.8075,7.2495,5.4335,2.199,2.3492
"76",1956,4,7.993,7.788,3.756,7.8825,8.4865,7.689,9.6895,8.9915,6.647,5.61,3.2122
"77",1956,5,10.2785,16.857,9.286,12.977,8.4535,12.014,7.235,14.175,11.1945,15.3475,8.402
"78",1956,6,16.5285,14.405,15.971,15.555,16.918,17.7515,17.8265,16.982,15.437,14.4335,13.2313
"79",1956,7,17.5195,16.5675,16.7095,18.273,17.3535,18.485,16.984,15.3235,19.607,19.8265,15.82875
"80",1956,8,19.253,17.3575,18.422,19.5605,15.6055,16.886,16.258,18.3345,21.4705,17.2785,16.2992
"81",1956,9,18.4465,15.133,14.1545,16.2805,16.7785,16.0885,16.2695,14.9825,14.0875,13.9995,12.59495
"82",1956,10,9.8965,12.363,14.86,11.1615,16.9975,13.035,13.4625,11.4365,13.153,13.4875,10.7596
"83",1956,11,6.8725,4.5705,11.1545,8.3455,8.168,6.762,10.1215,6.3075,6.992,10.5325,4.37955
"84",1956,12,1.3215,5.0915,7.3575,7.026,2.219,2.756,1.9345,8.3935,3.4495,3.8555,0.85685
"85",1957,1,2.1865,2.456,4.055,2.4495,5.4645,8.2925,0.2875,-0.516,1.2545,2.2175,-1.8695
"86",1957,2,1.3875,6.3365,1.9085,5.293,2.367,2.467,-0.168,3.7785,5.231,2.597,-0.84525
"87",1957,3,7.016,8.243,3.9565,9.7565,7.4375,0.339,5.151,2.3465,8.9555,4.6305,0.85415
"88",1957,4,10.0555,9.495,7.369,9.1955,11.3235,7.013,8.698,5.804,7.726,7.8505,3.31835
"89",1957,5,12.5565,14.0105,8.1105,12.584,12.3825,10.9815,8.6645,11.1585,14.775,14.055,8.536
"90",1957,6,16.02,13.289,10.6625,19.757,15.3515,10.9545,13.7765,13.807,18.2475,15.35,12.08205
"91",1957,7,15.9435,17.763,19.934,19.6685,17.019,17.1875,15.931,17.0895,19.2875,18.189,15.5409
"92",1957,8,18.4325,18.3545,19.455,18.7365,19.3085,17.092,16.66,19.5075,20.2535,19.6165,16.10735
"93",1957,9,15.328,15.7335,15.5085,14.256,14.748,14.98,18.9065,15.09,19.3325,14.876,12.58485
"94",1957,10,12.88,14.4145,12.0495,14.858,14.228,11.6945,13.8545,13.69,9.7635,12.493,9.40785
"95",1957,11,8.1715,4.5825,5.0945,4.8065,8.6775,11.347,9.6455,7.5975,7.2305,5.9635,5.1831
"96",1957,12,6.2495,7.2705,3.523,4.4585,6.8585,2.672,2.8485,4.3335,5.3595,8.555,0.84205
"97",1958,1,5.424,3.492,-0.7625,2.529,4.3765,4.6005,3.1505,2.536,3.6415,3.2035,-0.68725
"98",1958,2,-0.484500000000001,0.582,0.4745,6.069,5.1115,4.0265,6.858,4.142,2.449,5.958,-0.72115
"99",1958,3,4.584,0.684,5.5315,5.875,3.0625,6.421,8.758,6.3385,6.921,6.281,0.80235
"100",1958,4,7.2275,4.134,6.1705,8.971,9.6695,7.6755,2.575,8.418,9.268,4.544,2.43135
"101",1958,5,12.372,12.8905,11.408,13.028,11.0335,13.937,7.9865,7.6295,10.216,14.2525,8.23005
"102",1958,6,13.9785,17.8065,13.7565,15.179,16.3835,14.169,17.5865,17.73,15.227,16.965,13.00665
"103",1958,7,17.891,15.3175,18.5835,18.46,18.503,16.138,17.62,17.36,16.652,16.4535,15.32775
"104",1958,8,18.1065,18.133,18.42,15.9405,15.6515,18.0085,17.9745,18.498,16.3945,15.924,14.94685
"105",1958,9,18.0845,14.0945,17.0415,15.4615,15.086,18.7845,17.593,17.7705,13.613,14.0485,13.8179
"106",1958,10,13.6565,11.9475,15.012,9.6085,12.815,10.926,13.0625,12.001,13.1585,8.2295,9.2515
"107",1958,11,8.16,6.94,7.077,11.866,4.3045,10.402,8.175,2.0575,7.6035,8.9765,4.1286
"108",1958,12,5.515,7.3515,-1.2585,0.5715,4.449,0.9325,6.7565,4.689,5.119,7.847,0.0564
