"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,15.662,15.6875,14.5725,13.357,17.8135,17.8135,15.4145,14.3655,15.512,14.4485,11.45935
"2",1950,2,18.44,20.103,13.5035,20.378,21.108,21.108,16.0315,16.43,20.2055,19.9215,14.26995
"3",1950,3,21.285,19.8785,21.3275,19.9215,17.5735,17.5735,25.8245,16.5775,23.851,18.9635,16.77405
"4",1950,4,27.3545,24.744,24.0545,25.6595,21.0985,21.0985,28.568,23.2455,24.399,17.6375,20.7704
"5",1950,5,25.0085,30.6935,29.4905,30.527,27.064,27.064,31.6085,29.7675,29.7315,29.1265,24.34725
"6",1950,6,30.4445,32.5725,28.1975,29.938,31.184,31.184,34.2725,33.1455,33.7425,31.9555,28.36845
"7",1950,7,34.218,32.877,35.7405,32.5175,32.7035,32.7035,37.439,34.483,32.7025,36.0815,30.50605
"8",1950,8,34.2655,34.4265,33.503,31.563,35.9825,35.9825,35.4585,32.0905,33.1395,32.5115,31.25995
"9",1950,9,29.682,35.0345,35.2755,30.4295,30.553,30.553,33.6625,32.5545,28.487,28.652,28.7846
"10",1950,10,27.3675,27.0775,26.9875,29.695,25.9955,25.9955,20.7945,29.2165,25.719,28.1905,22.99215
"11",1950,11,20.9745,18.301,19.6245,18.752,19.8315,19.8315,18.0015,18.829,23.913,17.049,16.7701
"12",1950,12,15.4315,15.943,15.186,18.0625,16.874,16.874,17.2915,12.5775,12.4275,15.1295,11.4203
"13",1951,1,16.736,17.903,12.0995,15.929,12.397,12.397,17.314,13.6875,14.542,13.5975,11.29815
"14",1951,2,17.4115,18.8805,18.647,18.334,13.2845,13.2845,19.656,14.339,18.3915,17.9005,13.6155
"15",1951,3,19.821,21.221,21.57,18.269,18.5405,18.5405,20.0755,24.721,24.8545,23.609,17.32465
"16",1951,4,23.8595,21.9285,25.229,23.233,25.149,25.149,26.5515,27.5835,26.0725,24.799,21.2453
"17",1951,5,28.528,27.4535,28.431,28.716,27.1135,27.1135,29.643,28.9295,29.4375,28.678,24.2702
"18",1951,6,32.179,31.1645,27.9655,35.586,32.506,32.506,31.1395,30.674,31.093,30.362,28.982
"19",1951,7,32.1435,36.1125,35.251,33.303,34.3215,34.3215,32.6795,32.4595,33.7825,35.0745,31.1273
"20",1951,8,34.8135,35.6365,32.544,32.5645,31.839,31.839,30.226,36.1565,33.7425,33.641,30.1556
"21",1951,9,31.857,34.276,32.7105,28.951,31.1215,31.1215,29.9315,28.927,31.979,30.548,27.31165
"22",1951,10,30.0745,30.243,26.4495,28.6065,25.5885,25.5885,31.787,28.243,29.2835,27.2305,24.5619
"23",1951,11,24.667,16.6785,24.0125,24.257,19.5395,19.5395,21.695,16.8795,20.65,18.379,17.34925
"24",1951,12,14.7155,17.046,16.9885,13.1595,11.966,11.966,15.434,14.7205,18.529,16.7375,12.3416
"25",1952,1,18.099,13.303,17.289,17.426,15.68,15.68,16.104,14.262,13.274,13.146,11.3619
"26",1952,2,15.8755,16.79,15.035,16.978,21.3155,21.3155,17.282,19.257,19.777,15.4895,13.5179
"27",1952,3,20.319,18.099,26.721,16.2785,21.787,21.787,21.7825,18.935,18.737,17.4235,16.5503
"28",1952,4,27.323,24.817,29.5685,26.074,23.1355,23.1355,30.561,25.3145,22.607,24.336,18.7544
"29",1952,5,29.836,24.0065,28.574,24.037,31.3485,31.3485,28.628,27.5115,23.648,29.1215,24.4704
"30",1952,6,31.1485,32.343,33.845,27.6025,31.5355,31.5355,31.816,32.7175,32.948,34.819,28.66075
"31",1952,7,33.4765,34.143,36.546,31.6615,32.646,32.646,32.932,31.943,34.6315,32.654,31.16495
"32",1952,8,32.8175,32.24,34.109,31.905,33.624,33.624,33.913,33.5265,31.7375,32.906,31.7637
"33",1952,9,28.103,27.949,30.7115,31.3245,31.7045,31.7045,33.548,35.885,33.085,29.7775,28.16185
"34",1952,10,28.792,31.2975,29.6755,30.4645,28.878,28.878,25.0325,30.1055,23.381,28.3765,24.45425
"35",1952,11,18.182,20.66,20.3625,17.266,17.0875,17.0875,20.4505,22.573,16.86,18.1695,17.01405
"36",1952,12,16.0845,17.0285,13.4255,12.031,13.894,13.894,16.7005,18.981,12.35,17.4,12.56945
"37",1953,1,14.274,17.102,17.186,10.712,13.9785,13.9785,14.0915,14.13,14.5665,14.8705,11.3041
