"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,8.994,8.593,8.883,11.088,9.8065,10.149,8.0595,7.659,5.927,9.0005,6.4357
"2",1950,2,11.0565,11.141,9.4255,13.742,11.726,13.6605,8.0415,10.9895,11.453,10.6955,8.4823
"3",1950,3,12.2775,13.0165,15.1215,12.8015,11.493,11.8155,17.4995,11.802,16.917,11.383,10.21485
"4",1950,4,20.7895,18.2225,17.1265,20.7455,18.392,15.162,19.4495,18.6755,15.8975,13.733,14.0962
"5",1950,5,18.3945,24.5745,22.3955,20.8915,19.8455,20.0285,25.334,22.908,19.621,21.114,17.4352
"6",1950,6,24.526,23.3335,20.3695,22.8315,20.639,27.378,26.888,27.588,24.699,24.1945,20.0515
"7",1950,7,26.3735,24.729,30.856,25.7685,24.39,23.404,26.364,26.3005,26.0345,26.0705,22.6651
"8",1950,8,24.802,28.3715,24.676,22.1755,24.0565,26.7255,29.3545,24.6125,25.9105,24.3325,22.17155
"9",1950,9,22.5945,25.6385,28.579,27.6795,25.9335,22.609,27.7985,25.1715,20.437,21.978,21.28335
"10",1950,10,22.755,18.9015,17.914,20.366,18.45,20.499,15.685,21.572,20.1955,19.2795,16.33025
"11",1950,11,13.1025,13.2435,12.5515,13.197,13.265,12.6735,12.3625,12.4995,13.0925,10.3955,10.64165
"12",1950,12,7.585,8.717,9.2945,11.7225,9.1635,8.5835,11.05,5.1475,8.0405,9.12,5.61285
"13",1951,1,10.903,8.0425,5.8615,9.709,8.6715,8.982,10.067,10.3295,8.05,8.7065,6.26605
"14",1951,2,11.6355,11.9555,9.281,11.4045,9.534,8.971,10.964,10.216,10.757,11.5285,8.28405
"15",1951,3,14.757,10.926,15.6795,12.874,14.955,12.4615,16.7745,17.1385,14.578,15.767,11.5602
"16",1951,4,20.4245,15.7865,15.787,16.134,17.533,17.6825,17.8695,20.45,17.826,19.2475,14.10925
"17",1951,5,17.7295,18.6505,17.8785,18.261,17.1895,20.264,25.7075,23.3005,20.6375,19.825,16.08535
"18",1951,6,22.115,21.6235,20.997,26.7465,27.4225,23.3025,20.3235,22.3465,24.133,21.8845,19.3715
"19",1951,7,22.808,28.557,25.1175,25.431,28.551,25.8585,26.1385,25.536,25.712,28.7085,22.1428
"20",1951,8,24.7185,27.639,23.241,25.147,23.9545,22.372,21.2085,28.5935,25.3475,26.8485,21.6413
"21",1951,9,23.959,24.346,24.733,22.189,24.536,26.1335,22.312,22.5915,22.165,23.62,19.3877
"22",1951,10,20.3805,22.7175,20.2455,17.2155,16.5515,17.8995,25.188,19.7925,23.605,18.849,17.0673
"23",1951,11,15.163,12.6645,15.5585,16.8995,13.256,13.5705,12.482,11.7725,12.9535,12.4005,11.9354
"24",1951,12,6.93,10.486,12.715,6.869,8.391,6.8405,10.0125,11.578,9.2195,12.1255,6.31835
"25",1952,1,9.688,4.7445,12.3715,9.7205,8.2795,7.816,10.5145,8.5515,9.704,5.798,5.59185
"26",1952,2,7.11,8.3145,9.75,8.353,10.8555,12.047,10.5785,9.9175,11.668,10.7505,7.24045
"27",1952,3,15.7335,10.7865,13.932,11.068,14.6735,13.4315,14.055,13.1415,11.96,10.7715,10.85465
"28",1952,4,21.6575,18.782,21.6185,18.0645,15.6005,22.886,24.04,16.006,15.104,15.5195,12.47955
"29",1952,5,22.439,16.3505,22.636,21.0735,21.061,21.42,20.153,20.029,16.047,21.0945,16.257
"30",1952,6,21.5575,19.285,22.524,22.4305,25.6615,24.2495,24.4495,26.166,23.974,26.756,20.03155
"31",1952,7,25.316,27.3085,27.0005,26.68,26.849,26.0555,25.145,23.11,26.7535,24.5455,23.0841
"32",1952,8,26.385,24.8725,26.043,23.6315,26.5845,25.46,23.956,24.1735,24.7395,22.4475,22.5704
"33",1952,9,20.33,20.778,21.5235,23.6065,24.021,22.798,23.0315,24.8175,27.7405,21.989,20.54315
"34",1952,10,21.356,22.3305,20.7535,22.9375,24.321,20.462,19.0745,21.873,17.1735,18.5005,17.43485
"35",1952,11,11.713,14.1695,13.8155,10.4855,13.1865,11.973,13.7825,15.7145,13.1275,12.986,10.6654
"36",1952,12,11.5545,12.934,8.775,5.3975,9.4,8.534,11.8855,10.731,10.126,11.121,6.7978
"37",1953,1,8.355,9.1865,10.721,6.222,8.9085,10.7535,7.206,8.5085,7.8855,7.8345,5.52735
"38",1953,2,10.6585,8.4065,11.722,11.669,8.6295,9.433,8.658,13.377,12.8865,9.497,8.2648
"39",1953,3,13.733,16.355,14.0655,14.384,16.3175,12.9275,13.638,19.621,14.691,13.754,11.01325
"40",1953,4,18.3325,13.145,19.9865,20.723,19.35,19.9555,16.525,19.083,15.064,16.6015,13.8469
"41",1953,5,24.3685,23.872,20.6715,19.463,23.348,19.8545,20.802,23.366,18.552,23.742,16.96095
"42",1953,6,23.7955,21.0315,19.53,24.189,24.0885,21.669,26.5275,27.1895,18.6345,25.0625,19.7548
"43",1953,7,25.621,28.557,25.376,26.714,25.533,27.098,26.49,25.9935,24.8195,25.922,22.4725
"44",1953,8,25.6015,24.4555,25.44,29.469,25.1685,26.544,26.3555,24.5905,27.2395,26.0295,23.26985
"45",1953,9,21.687,23.556,24.839,24.536,20.1035,23.154,21.881,22.2275,28.9865,21.494,19.22235
