"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,13.577,13.796,13.1925,12.787,13.397,14.3135,13.95,12.438,9.2405,14.759,10.0801
"2",1950,2,13.0965,17.689,13.381,17.253,15.7355,17.846,13.905,12.6195,16.0175,14.5415,12.2669
"3",1950,3,17.7685,16.4415,17.66,18.132,15.868,15.5565,20.6015,15.711,20.1145,16.7505,14.20885
"4",1950,4,25.1245,21.9565,22.4775,23.735,22.665,20.4285,22.656,22.32,21.5215,20.946,19.82595
"5",1950,5,24.9385,28.4215,26.316,28.7345,23.7645,27.444,29.3585,26.628,26.7615,26.5725,23.1786
"6",1950,6,28.54,27.094,28.332,28.4975,28.0845,31.4755,31.862,31.432,28.7495,29.059,25.8201
"7",1950,7,30.603,30.6885,34.928,29.3255,31.782,28.599,32.143,31.5035,30.8125,31.347,28.69345
"8",1950,8,29.9855,33.236,29.685,28.3215,28.006,31.6535,31.0315,28.351,31.1155,26.9815,27.26995
"9",1950,9,29.308,28.2755,32.693,28.8365,27.7195,28.797,31.3875,32.0545,25.6875,25.481,25.392
"10",1950,10,26.136,24.1305,21.948,24.784,25.805,24.279,18.9175,24.597,25.3535,22.339,20.4333
"11",1950,11,17.459,16.777,16.264,18.5365,16.951,17.9335,17.9305,16.024,19.0205,13.4175,14.9874
"12",1950,12,13.7015,13.7645,13.9375,17.1215,11.931,15.25,14.8855,9.4345,10.957,11.4435,10.62835
"13",1951,1,15.321,14.4155,11.3855,14.852,12.629,12.8065,16.716,12.1625,9.377,12.5055,10.6095
"14",1951,2,14.2835,18.871,14.666,13.967,14.643,12.5085,15.8125,14.6485,15.9415,16.396,12.60925
"15",1951,3,16.9335,15.975,19.78,16.616,19.678,16.284,22.29,21.429,19.374,20.5405,16.07445
"16",1951,4,23.311,19.8495,22.567,21.049,21.9775,21.4215,21.6505,24.837,21.449,23.308,18.8319
"17",1951,5,22.868,24.185,24.721,23.9235,23.7865,25.0675,27.8265,29.0675,25.8465,26.8045,22.5455
"18",1951,6,27.5075,26.38,25.476,30.4185,31.163,28.4705,27.3405,28.614,30.096,27.4895,25.68115
"19",1951,7,28.101,32.5195,30.3765,30.13,29.2105,32.1925,30.9885,31.04,30.913,32.62,27.3468
"20",1951,8,30.095,30.3415,28.911,28.5815,29.909,29.2455,27.691,33.94,30.071,30.9475,27.2817
"21",1951,9,27.8985,28.955,27.9535,27.497,27.4,28.8445,25.7805,24.856,27.3535,26.316,24.3528
"22",1951,10,23.476,24.989,24.791,24.1735,20.612,23.761,27.4585,23.33,26.5755,23.9975,21.76185
"23",1951,11,19.532,16.391,18.905,21.288,16.7445,15.4805,17.365,17.9715,16.932,17.8625,16.243
"24",1951,12,12.5115,16.433,13.567,12.658,11.6135,14.6405,13.1665,15.498,14.4,13.1295,11.11435
"25",1952,1,13.986,10.8645,14.5095,12.7105,12.637,14.282,14.3125,12.071,11.8385,10.994,10.44425
"26",1952,2,12.1095,13.837,13.237,12.9705,15.732,16.5285,15.1435,13.34,16.627,15.1755,11.91285
"27",1952,3,21.797,17.1405,19.0605,16.427,17.634,18.749,18.9645,15.726,18.1365,16.1395,15.3975
"28",1952,4,23.377,23.318,26.2255,24.7235,21.3575,23.3075,27.0415,20.65,19.6715,21.8745,17.77395
"29",1952,5,25.2845,23.306,23.9275,25.5855,26.954,28.0115,28.123,24.5635,23.196,24.8865,22.12045
"30",1952,6,27.223,27.798,31.694,26.757,30.984,28.953,30.1655,29.373,30.416,31.294,26.61635
"31",1952,7,30.3195,32.8135,32.022,32.039,31.205,28.95,30.8265,29.6795,29.9895,29.926,27.94495
"32",1952,8,31.2715,28.8695,32.5305,28.9255,32.0255,29.813,29.9125,30.0315,30.3545,27.5095,28.1182
"33",1952,9,23.184,25.5055,24.682,27.8675,28.0795,27.3975,29.5035,30.081,31.0345,27.774,24.33565
"34",1952,10,25.222,25.197,25.5765,27.7135,29.7255,25.285,21.6365,26.339,21.9985,21.983,22.20925
"35",1952,11,15.5485,17.068,18.971,14.9375,17.4055,15.7515,19.4495,18.7405,17.9235,17.794,15.51825
"36",1952,12,17.465,17.2315,13.197,10.2385,12.6255,15.215,15.015,14.891,13.798,15.193,12.0219
"37",1953,1,10.9075,12.6655,13.4185,11.07,13.5005,13.668,13.1745,13.0185,12.58,12.044,9.46975
"38",1953,2,15.22,12.3935,16.267,17.2945,15.9925,14.821,12.079,17.129,14.324,14.4405,12.75935
"39",1953,3,16.7655,19.7365,18.11,21.447,19.486,17.6705,18.0295,22.4785,17.759,17.0095,15.18155
"40",1953,4,22.5975,17.368,25.7645,24.0645,22.5055,22.2835,20.9535,23.073,21.611,22.2855,18.8605
"41",1953,5,26.5335,28.7915,27.733,26.3885,27.9365,27.089,26.631,28.2905,21.5255,27.2365,23.49675
"42",1953,6,30.968,26.207,30.5405,29.6305,29.0085,26.1575,34.9305,31.28,25.9655,31.303,25.91045
"43",1953,7,30.744,32.929,30.984,31.0225,30.631,32.507,30.967,30.051,29.7575,28.8355,27.3923
"44",1953,8,30.7305,29.513,30.2745,36.176,29.5455,31.565,36.3575,32.4495,30.148,29.8,28.59285
"45",1953,9,26.4885,26.8435,30.4515,32.9325,24.573,26.926,25.4755,29.757,32.979,26.39,25.1866
"46",1953,10,28.3625,24.531,23.4705,22.5555,23.1775,24.972,25.0195,25.791,23.362,25.121,22.3355
"47",1953,11,19.6385,16.148,19.656,19.1695,17.57,18.514,17.704,15.534,16.176,17.211,15.49635
"48",1953,12,15.9785,13.874,13.2595,12.9635,11.3485,14.077,19.195,15.7905,15.601,13.5115,10.6383
"49",1954,1,14.4805,14.4135,12.2385,12.965,12.012,10.7295,13.3005,11.8335,12.9335,13.182,9.9554
"50",1954,2,15.6205,15.3875,14.662,16.503,13.1335,13.0225,16.807,17.453,15.7055,15.926,13.31595
"51",1954,3,17.7985,15.3685,17.9635,18.813,17.2255,17.0985,19.502,19.885,17.053,13.8575,14.6711
"52",1954,4,21.901,17.009,23.43,22.166,23.362,18.637,24.129,20.7865,21.0195,21.217,16.93055
"53",1954,5,24.3445,25.3765,26.6885,23.0825,23.9355,20.593,22.6355,25.619,22.8675,26.6335,21.5855
"54",1954,6,31.2715,29.402,28.8615,30.2595,27.8815,29.3045,31.619,31.1725,32.2405,31.364,26.45215
"55",1954,7,29.9575,31.3385,31.2615,31.3215,30.0955,30.298,31.9265,31.2695,29.6925,33.8575,27.5509
"56",1954,8,31.6975,26.4215,29.9755,30.793,30.2665,28.896,32.764,29.5885,30.029,29.3545,28.1413
"57",1954,9,30.767,27.8565,28.0365,31.6455,27.6605,31.886,27.034,28.695,29.4705,27.3125,25.4571
"58",1954,10,22.3825,25.6915,26.1885,28.2405,23.844,20.586,20.07,24.9405,21.04,22.8095,21.50735
"59",1954,11,17.672,16.051,17.9,16.8325,20.5685,15.508,18.2895,18.7945,15.737,18.716,15.4404
"60",1954,12,16.012,11.402,13.1295,13.763,11.865,13.701,12.6085,15.0845,14.5545,14.0085,11.68205
"61",1955,1,11.691,12.1715,15.136,14.62,15.5395,13.734,11.4815,12.253,12.999,11.41,9.841
"62",1955,2,14.201,13.9335,15.701,14.0205,15.429,15.061,21.295,15.9355,15.052,18.2045,12.33755
"63",1955,3,17.759,17.868,20.731,17.7085,17.516,16.8395,20.8275,19.567,18.0595,16.292,14.0213
"64",1955,4,22.732,21.25,20.9815,21.4395,20.0795,17.5655,21.391,24.1755,20.741,25.815,18.6857
"65",1955,5,21.934,27.346,28.2445,28.9275,26.856,23.793,26.756,25.0945,26.21,28.237,23.22945
"66",1955,6,27.8105,34.5105,31.566,30.0925,30.121,26.5295,29.344,27.764,27.735,30.827,24.6675
"67",1955,7,31.206,29.4965,31.1745,30.546,29.4955,31.1875,32.4665,30.6295,28.5025,30.7775,27.02605
"68",1955,8,29.7685,32.409,26.8355,29.9775,28.1615,28.9685,28.7195,29.6595,30.0865,28.6895,26.7025
"69",1955,9,27.671,27.9595,27.7775,31.2995,26.9955,26.6975,28.365,27.8325,27.092,26.6515,25.568
"70",1955,10,27.915,26.6515,24.574,22.3325,25.915,24.4225,27.827,25.554,28.4905,27.5045,23.1397
"71",1955,11,16.702,17.0835,19.6845,16.716,14.5035,15.1335,18.8645,19.8535,17.039,18.4875,15.7137
"72",1955,12,13.7505,14.467,13.131,11.3425,13.1505,14.6825,13.74,13.1065,12.208,16.33,10.0748
"73",1956,1,11.8805,12.2475,14.8555,12.3695,12.499,14.212,12.7335,12.766,12.7695,14.3655,10.65785
"74",1956,2,16.9745,14.822,16.8555,11.754,16.495,18.0235,19.126,14.696,17.5345,17.5545,12.8403
"75",1956,3,19.9215,20.3395,16.992,21.8115,16.8995,16.28,18.114,20.092,16.979,16.9575,16.01275
"76",1956,4,21.028,21.3765,18.216,21.412,21.2115,22.6275,23.857,21.0685,21.554,21.332,17.2467
"77",1956,5,25.177,26.997,21.9075,26.497,23.105,25.43,19.6925,29.096,26.275,29.758,22.87705
"78",1956,6,28.643,27.9895,27.123,30.9935,31.7605,30.744,30.9955,29.916,31.202,28.273,25.79915
"79",1956,7,28.4745,27.905,29.6605,29.2295,29.582,30.8285,29.1715,28.187,31.009,32.321,26.93385
