"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,1.815,0.144,2.4895,5.686,-1.0045,6.193,-0.3415,3.183,0.9285,3.6715,5.8026
"2",1950,2,1.02,4.3525,5.568,6.285,4.8835,7.3555,3.6265,3.263,4.611,7.0355,7.58605
"3",1950,3,7.239,6.6535,8.9215,8.996,8.88,6.7285,5.0745,6.5745,8.907,10.17,10.6778
"4",1950,4,11.6065,7.912,10.3195,14.083,11.9085,8.356,14.6005,6.9715,10.187,11.084,14.03335
"5",1950,5,13.1805,16.6685,17.663,13.127,12.509,13.0585,12.64,15.643,16.8,16.9735,18.3309
"6",1950,6,19.4525,19.74,18.2575,19.483,15.5675,16.9055,22.8455,19.8745,20.539,18.2985,21.848
"7",1950,7,24.13,20.704,21.782,23.959,21.9185,22.25,24.6935,24.962,21.899,26.451,26.17145
"8",1950,8,20.2585,25.774,20.0715,22.527,22.175,21.9025,23.8875,21.6845,20.563,23.805,25.67315
"9",1950,9,18.625,17.592,15.106,20.168,18.056,18.526,20.407,19.576,15.9055,19.28,20.33115
"10",1950,10,14.8895,13.7935,11.2525,9.9605,11.904,14.268,13.459,14.6405,14.3615,14.609,15.50335
"11",1950,11,5.1405,6.3435,4.9155,6.6195,4.86,7.0325,4.4275,6.7875,5.117,6.1965,8.12045
"12",1950,12,1.9085,3.5615,1.813,2.786,4.2215,3.6355,4.0185,0.181,-0.8035,-0.0554999999999999,5.2636
"13",1951,1,0.8045,4.824,3.7045,1.214,3.0115,1.8525,3.7195,2.562,0.5885,4.0145,5.3483
"14",1951,2,3.626,4.9325,0.864,7.37,7.1235,6.3815,5.298,4.4005,4.072,4.588,8.0961
"15",1951,3,9.252,8.41,5.912,6.596,7.6265,5.9635,5.3655,6.1885,5.439,11.619,10.7212
"16",1951,4,7.063,7.014,6.94,10.285,13.3965,6.685,14.824,15.6265,13.2305,12.286,13.03735
"17",1951,5,10.6745,15.283,17.3115,13.063,10.7885,12.916,15.54,15.1405,17.1595,17.336,17.2283
"18",1951,6,19.4165,22.874,17.5645,18.1545,13.25,17.0465,16.7145,17.686,20.4195,17.4225,21.0052
"19",1951,7,22.4225,24.596,23.0565,24.188,22.783,21.8965,24.0375,25.178,23.5515,26.482,26.56535
"20",1951,8,20.555,23.9385,21.313,22.7135,20.2805,20.5945,21.741,25.802,22.674,22.4165,25.2591
"21",1951,9,19.7095,17.911,15.0485,16.506,18.152,18.9,18.088,18.263,17.9605,16.529,21.54005
"22",1951,10,16.1465,11.418,14.046,7.4865,10.835,16.3445,10.8405,12.3125,14.236,14.2235,15.4806
"23",1951,11,4.2185,6.919,5.7415,5.0935,6.5925,7.811,6.7405,6.2595,8.1245,4.9205,8.2144
"24",1951,12,-0.322,-0.5745,3.8925,3.9515,-0.933,2.6545,3.666,5.758,1.6085,2.5755,4.9664
"25",1952,1,0.0175000000000001,-0.9135,5.6425,1.1865,2.7955,6.0485,0.7165,1.7165,3.0685,5.023,5.29265
"26",1952,2,3.856,5.365,5.6925,5.183,6.4355,8.4765,7.7465,3.6195,5.914,8.2615,9.0468
"27",1952,3,6.3545,9.972,5.9035,8.476,5.1945,7.7985,7.8405,10.086,9.0355,8.9145,11.4432
"28",1952,4,11.43,7.91,8.609,11.3285,10.858,8.3765,13.7295,9.851,8.8135,11.955,13.9746
"29",1952,5,15.672,13.22,15.618,12.978,13.4295,10.7545,13.7565,11.849,12.0195,13.5785,15.7531
"30",1952,6,15.506,17.832,22.1525,18.134,18.515,20.6625,20.9125,18.6825,21.345,20.929,20.74535
"31",1952,7,26.678,23.8925,24.21,23.188,20.227,21.677,23.677,22.4765,26.026,22.4565,26.60815
"32",1952,8,24.31,21.3205,22.9635,19.3745,22.9935,23.1055,20.367,20.762,24.7425,21.7065,25.0935
"33",1952,9,16.354,17.7235,16.7805,18.4905,19.469,16.5035,18.037,17.799,20.4795,15.2605,21.3176
"34",1952,10,10.9905,16.3525,13.207,9.5,11.5285,16.318,14.194,16.9225,11.4295,14.8985,15.7268
"35",1952,11,5.419,9.0775,3.1635,4.383,8.461,6.707,4.8585,6.674,6.1365,9.5725,9.3967
"36",1952,12,3.6155,2.0415,2.983,0.839,0.833,3.177,0.497,1.1245,5.5575,4.149,7.1995
"37",1953,1,1.272,2.213,1.557,0.228,1.8495,3.0355,3.179,2.3205,3.707,2.825,4.1938
"38",1953,2,4.916,5.642,2.938,4.5975,5.344,4.2355,5.738,5.007,5.791,4.239,7.97645
"39",1953,3,10.2235,8.0395,5.056,8.973,8.91,8.165,6.8705,8.197,10.2605,7.409,10.85685
"40",1953,4,10.106,9.1905,6.839,12.974,10.9725,8.8845,10.3265,9.8915,8.7505,9.119,13.8666
"41",1953,5,17.3305,14.9485,16.124,14.652,14.5515,14.85,13.381,13.589,14.5265,13.963,19.26555
"42",1953,6,21.5895,18.2925,14.695,19.633,21.343,17.95,17.9325,19.5415,17.794,22.37,23.09045
"43",1953,7,24.2525,19.9505,22.609,22.53,21.82,22.8085,24.642,23.351,22.3815,25.3945,26.3568
"44",1953,8,22.1795,24.3565,23.273,23.3475,21.233,21.124,20.209,20.684,25.4515,26.4255,24.5312
"45",1953,9,21.784,19.3005,20.0025,16.8515,18.4495,16.431,18.199,18.755,21.5235,17.8155,22.00205
"46",1953,10,14.231,11.634,14.769,13.9035,15.0525,12.4585,12.9505,13.3135,12.8085,10.1155,15.6057
"47",1953,11,6.625,7.3805,6.7395,4.7415,5.3875,6.3105,4.8095,3.713,6.8895,7.6415,9.11415
"48",1953,12,8.07,3.7815,-2.5505,-1.329,2.7715,2.363,2.306,2.616,4.358,3.8375,6.47675
"49",1954,1,2.2765,4.6565,1.1165,3.6265,1.6075,2.52,4.0825,2.066,5.7725,1.316,5.16175
"50",1954,2,6.9725,1.8365,5.4645,9.966,7.8805,4.318,5.0465,5.6915,9.718,5.3915,9.3129
"51",1954,3,5.959,5.869,7.27,10.2,8.699,6.1575,8.1525,7.983,7.769,7.7425,10.11915
"52",1954,4,9.7855,6.883,11.625,11.662,12.428,8.3035,13.377,9.431,11.6105,7.825,13.08725
"53",1954,5,14.0255,15.519,14.742,12.6185,14.006,12.6755,11.957,13.7825,11.9655,12.7595,16.4216
"54",1954,6,19.651,17.5905,21.4345,18.8705,17.787,20.791,17.4965,18.819,17.737,22.425,23.18085
"55",1954,7,23.556,26.0375,20.8865,24.4235,22.7175,22.201,24.68,22.7405,22.3905,23.7915,26.56805
"56",1954,8,20.1,20.5775,24.069,20.1675,17.511,23.5985,22.733,21.9845,22.147,23.5215,24.61285
"57",1954,9,17.724,17.815,18.6185,19.2215,18.046,17.875,19.3055,21.851,18.9465,16.728,22.5265
"58",1954,10,15.6285,13.212,15.6175,5.8715,8.0805,10.413,12.6635,17.027,12.336,16.5355,15.549
"59",1954,11,7.6875,8.428,4.895,6.6635,8.139,7.9645,7.323,7.4335,6.893,7.102,9.2358
"60",1954,12,2.4015,2.8875,3.2535,4.5935,-0.9805,4.8,-0.0150000000000001,2.2945,3.126,3.542,5.6386
"61",1955,1,0.59,2.655,0.7315,2.331,3.594,4.222,1.2705,1.7905,2.42,-0.176,3.6766
"62",1955,2,7.921,1.552,8.757,8.7995,3.4065,5.2,4.616,5.7675,5.7295,3.161,8.55605
"63",1955,3,4.4925,4.265,10.6005,8.199,8.6135,6.6175,6.0035,8.368,6.1885,10.2665,9.82965
"64",1955,4,9.2845,12.1375,10.2955,8.2525,9.1675,9.3685,7.044,10.455,10.894,9.488,14.0713
"65",1955,5,14.234,10.3685,16.5795,13.797,11.975,12.4545,14.998,14.138,12.7935,17.4325,17.5966
"66",1955,6,14.997,16.5445,19.354,21,19.8385,18.711,16.5405,17.349,19.4955,16.7135,21.34275
"67",1955,7,24.6145,23.104,20.1315,21.9825,23.582,23.458,23.127,21.939,22.9415,27.2785,26.17595
"68",1955,8,20.1765,21.8705,20.8235,23.489,23.542,20.388,21.04,24.18,24.71,25.4295,25.23995
"69",1955,9,20.7305,19.73,18.183,19.2235,15.8885,19.44,18.1345,19.361,16.7555,16.699,22.14785
"70",1955,10,12.1215,13.0935,10.4225,13.0165,10.219,11.711,23.1795,14.6145,14.2815,13.7665,15.3753
"71",1955,11,5.9405,8.5265,5.103,7.0805,5.957,5.143,8.934,6.2475,6.994,6.9335,9.28555
"72",1955,12,-0.258,5.6275,1.399,3.473,3.2255,4.8625,5.909,3.882,2.5555,3.666,6.87745
"73",1956,1,2.5035,4.755,3.2365,3.4495,-0.036,2.8025,0.0310000000000001,0.114,2.413,2.188,5.3379
"74",1956,2,7.727,6.029,8.222,3.0505,4.982,7.8935,9.456,3.6145,6.7685,4.7335,9.32565
"75",1956,3,7.184,4.6985,8.2915,5.699,8.331,8.2925,8.2045,4.597,7.624,7.4255,10.4019
"76",1956,4,8.019,12.1025,8.339,11.5445,13.946,6.886,11.427,9.114,11.7455,9.8745,14.49615
"77",1956,5,13.0395,14.727,11.747,11.8295,14.5515,15.0475,14.538,14.385,18.2975,14.9235,16.41945
"78",1956,6,15.8965,16.657,17.799,22.627,20.0945,17.505,17.075,16.801,14.683,17.741,20.30525
"79",1956,7,21.7325,22.0155,22.6885,22.639,23.936,23.9945,22.831,21.414,24.792,22.925,25.7446
"80",1956,8,20.635,21.8925,24.0965,21.4245,19.1565,21.454,23.458,22.646,19.752,24.0055,24.9931
"81",1956,9,18.021,19.339,21.141,17.0665,18.2675,18.3285,18.52,19.138,16.7375,18.0705,22.1208
"82",1956,10,11.2195,14.84,11.8095,12.758,13.7895,12.7175,14.3015,13.6905,9.2545,15.436,15.4093
