"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,0.9035,-1.585,3.1455,4.176,-4.159,4.6245,-0.4615,2.436,-0.254,3.256,4.34765
"2",1950,2,1.891,3.1625,3.283,7.01,2.1805,5.57,-0.9155,2.2445,4.515,5.4965,6.11725
"3",1950,3,4.235,4.519,5.2275,6.6665,4.606,4.155,0.0935000000000001,3.241,1.646,5.692,6.9906
"4",1950,4,10.305,3.514,6.4625,9.737,8.62,5.4715,7.677,3.74,5.4835,7.2385,10.12295
"5",1950,5,7.647,9.2195,10.588,8.2395,8.649,7.526,8.4425,10.12,9.187,10.886,12.52705
"6",1950,6,13.5115,12.1985,11.5935,13.2775,7.006,11.5345,14.5275,12.994,14.672,11.4805,15.6679
"7",1950,7,16.515,15.3465,15.2085,16.547,15.8275,16.2875,16.646,17.0125,15.6065,18.968,18.6445
"8",1950,8,12.687,16.1875,14.715,16.406,15.0255,16.1425,14.7485,16.464,13.155,15.2775,18.6321
"9",1950,9,14.314,10.9045,11.3515,14.059,12.0405,12.588,14.86,14.5915,11.4625,12.705,15.4181
"10",1950,10,10.653,11.093,7.9845,6.5735,8.8025,12.4885,8.61,9.559,10.1425,11.189,12.5996
"11",1950,11,4.815,3.006,5.0475,4.1975,2.1285,3.875,3.203,5.893,3.51,3.4405,6.4123
"12",1950,12,1.0755,2.8695,1.6315,1.9575,4.46,1.592,1.5125,-0.3655,-0.941,-0.48,4.57425
"13",1951,1,-2.047,2.238,1.8875,1.018,2.025,0.77,2.6305,0.9795,-3.218,2.592,4.50685
"14",1951,2,2.7505,1.819,0.734,5.751,4.64,2.5475,-0.6695,3.1705,3.354,4.0035,5.94025
"15",1951,3,5.7355,4.4075,3.2695,5.0925,3.799,3.362,2.8455,2.2785,3.228,9.22,7.57415
"16",1951,4,3.3665,3.439,4.7575,6.0135,7.9205,4.173,8.558,8.5775,8.886,6.2675,8.75135
"17",1951,5,4.721,9.5865,10.4055,7.915,5.5055,10.0385,9.319,7.9155,11.404,10.6295,11.7276
"18",1951,6,12.569,14.7595,11.155,11.3885,9.4855,12.905,12.4385,10.267,13.729,11.9435,14.16315
