"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,1.918,0.9395,3.9885,7.15,-3.592,6.6835,0.955,4.7705,-0.7095,4.0905,5.5791
"2",1950,2,3.537,3.8755,5.987,8.9005,5.443,9.369,4.205,4.827,5.9285,6.961,8.1239
"3",1950,3,7.092,8.2545,8.2235,10.1975,7.7165,8.0665,4.8505,6.0265,5.6015,8.8695,10.28255
"4",1950,4,13.592,6.7335,9.474,13.3975,12.087,8.3295,10.9785,6.7785,8.519,10.4875,13.2475
"5",1950,5,11.648,13.446,14.0945,11.5565,9.7015,11.606,11.5915,14.059,12.5275,15.695,16.25635
"6",1950,6,16.4645,15.3885,14.485,16.2545,11.5365,15.0615,18.828,16.93,17.5195,14.498,19.2988
"7",1950,7,19.3275,17.0805,16.7445,21.731,19.436,19.9015,20.791,20.9855,19.239,21.8975,22.32765
"8",1950,8,15.8985,19.587,18.5285,19.4895,19.012,18.8835,18.1235,19.681,19.347,19.5865,21.9074
"9",1950,9,16.883,14.861,15.417,17.724,17.5415,17.3855,18.7405,18.098,14.226,16.402,18.71075
"10",1950,10,15.3065,13.245,11.682,9.562,11.8865,14.891,12.1185,13.659,12.8945,14.5045,15.03645
"11",1950,11,6.0685,5.353,5.549,6.833,2.3265,6.278,4.913,7.626,4.9525,6.5165,8.28735
"12",1950,12,1.324,4.2485,2.0795,3.072,5.2345,5.0495,2.252,-0.7265,-1.0825,0.0675000000000003,5.57865
"13",1951,1,-1.226,4.8765,3.6535,2.424,3.7815,1.625,4.463,1.655,-1.7415,4.7885,5.9446
"14",1951,2,4.9625,4.4655,2.415,8.284,7.4905,3.534,4.221,5.007,5.463,5.1145,8.2243
"15",1951,3,9.524,8.017,6.632,7.9095,7.3115,5.8165,6.2495,6.8695,6.4895,11.387,10.37505
"16",1951,4,6.458,6.3145,6.7285,9.598,12.2465,7.583,12.827,12.387,12.749,10.262,11.99015
"17",1951,5,8.0805,14.007,14.5675,12.619,10.341,12.4925,13.5615,12.5025,14.9255,15.2915,15.57315
"18",1951,6,16.0995,18.698,15.3925,15.9805,13.7965,16.7265,16.11,15.533,17.5795,15.754,18.2446
"19",1951,7,19.2405,19.0275,20.9045,19.6635,18.892,18.8155,18.5415,20.1195,22.047,20.8395,22.25505
"20",1951,8,18.8005,17.9495,18.3625,19.0315,17.1945,18.0015,15.8495,20.546,18.6755,18.51,21.30795
"21",1951,9,17.056,16.11,12.9365,15.871,15.917,16.7605,16.419,17.5875,16.8385,15.4745,19.47045
"22",1951,10,13.814,9.4775,14.103,6.4135,11.236,14.447,12.019,12.996,12.7655,13.569,14.1699
"23",1951,11,5.148,6.2615,4.816,4.8165,6.0425,7.7805,5.9235,5.629,7.329,5.0765,7.94935
"24",1951,12,-0.464,-0.1715,2.914,3.709,0.2315,2.195,2.771,9.6935,1.7205,1.79,5.61655
"25",1952,1,1.303,1.9335,5.2715,2.713,2.472,5.8735,0.0455000000000001,2.377,1.7785,5.5825,5.66125
"26",1952,2,3.393,5.691,4.739,4.925,5.864,7.324,7.565,3.7765,7.3645,8.416,8.5745
"27",1952,3,6.1315,9.587,6.05,8.728,5.2465,6.247,10.5365,9.378,8.374,8.708,10.6648
"28",1952,4,10.0195,7.4985,8.208,11.1885,8.3875,6.2275,10.071,10.103,9.904,10.4735,12.537
