"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,-3.5315,-4.9635,-2.514,-1.439,-7.6725,-1.903,-4.8775,-1.5245,-5.0905,-2.667,-0.82775
"2",1950,2,-2.7035,-2.7585,-2.364,1.653,-1.6,1.6725,-5.8565,-1.507,-0.0875000000000004,0.9765,1.8145
"3",1950,3,-1.0335,0.125,1.607,2.112,-0.6425,0.1425,-4.7845,-1.5265,-2.8475,1.3915,2.57805
"4",1950,4,6.3645,-1.8245,3.0135,5.544,3.528,2.195,3.6625,-0.3565,2.192,2.999,6.245
"5",1950,5,4.6965,5.854,7.0905,4.3,6.4975,4.171,4.753,7.202,5.315,7.5345,9.558
"6",1950,6,10.218,10.9655,9.2855,8.879,7.957,10.2525,11.7,12.8605,13.7275,7.3825,13.4131
"7",1950,7,14.582,14.968,11.2,16.757,16.8765,13.8925,14.632,19.0695,12.241,17.187,17.79725
"8",1950,8,8.6785,15.1005,12.8305,12.063,12.2895,13.455,15.4375,12.3525,11.0155,12.978,17.0144
"9",1950,9,10.5965,5.796,8.319,10.0515,9.776,9.8065,11.312,11.179,8.1165,7.3965,12.06575
"10",1950,10,6.502,3.4045,3.039,1.144,4.2435,7.842,3.8185,6.7515,5.75,7.493,7.8402
"11",1950,11,-1.394,-2.1385,-0.603,-0.457999999999999,-2.5525,-2.0605,-2.5395,2.328,0.2065,-1.2235,1.6081
"12",1950,12,-2.498,-2.3815,-3.425,-3.827,-1.4475,-2.046,-2.902,-4.0845,-7.1065,-4.4855,-0.0813
"13",1951,1,-5.3915,-3.705,-2.149,-4.767,-2.211,-3.2885,-2.2235,-3.7525,-4.887,-2.186,-0.5709
"14",1951,2,-1.9255,-3.723,-5.5275,1.0065,-0.419,-3.5475,-3.01,-2.0275,-0.568,-1.069,1.177
"15",1951,3,0.0270000000000001,0.1285,-0.322,0.0649999999999999,-0.7255,-1.3335,-1.2745,-0.6745,-1.1805,6.494,3.27315
"16",1951,4,-1.337,-1.0545,0.3395,0.281,3.637,-0.091,4.3875,5.0235,5.978,1.008,4.8776
"17",1951,5,-0.117,7.17,6.6905,2.8775,2.562,7.344,6.5,3.3595,8.608,7.109,8.49435
"18",1951,6,12.354,13.587,8.328,9.3515,5.9825,12.1495,8.9095,7.711,10.3965,9.0345,11.6602
"19",1951,7,12.8645,13.384,14.3835,14.0665,12.888,13.2565,13.7245,15.77,16.041,15.4625,16.92655
"20",1951,8,14.294,11.3385,13.444,11.7765,11.9815,12.0725,13.077,17.7935,14.2025,10.814,16.15435
"21",1951,9,9.048,8.38,4.102,10.2755,8.1905,12.594,8.837,9.294,6.8875,8.1915,12.8981
"22",1951,10,8.565,3.7525,6.637,-0.7385,3.5135,7.7205,3.3935,4.9465,4.621,6.757,7.1439
"23",1951,11,-1.973,-0.42,-1.212,-2.518,-0.944,-3.218,-2.6625,-1.263,0.802,-2.0665,0.33585
"24",1951,12,-2.7135,-8.205,-3.3715,-1.0925,-6.3695,-5.2905,-5.351,1.322,-3.375,-3.8365,-1.2188
"25",1952,1,-5.6885,-4.549,-2.315,-3.356,-5.0655,-0.9225,-5.2245,-1.1545,-3.1205,-0.3035,-0.4923
"26",1952,2,-4.563,-1.5725,-2.8875,-4.7015,-0.4265,1.0865,-0.7305,-0.829,-0.966,1.4885,1.6952
"27",1952,3,-2.0315,0.5605,-2.9885,1.19,-2.704,-2.3375,1.427,0.8905,0.7675,1.955,3.3424
"28",1952,4,3.237,2.352,-1.3385,4.48,0.6735,-3.151,3.611,1.559,1.2415,3.3095,5.1083
"29",1952,5,3.461,5.3195,5.5245,4.299,5.063,2.2655,4.1635,3.681,2.0965,6.5495,6.69485
"30",1952,6,4.431,6.88,12.507,9.312,9.9225,13.2075,11.5575,7.921,12.282,12.129,11.91755
"31",1952,7,15.2925,14.521,14.1845,14.4215,13.3385,14.142,14.66,14.7605,16.2415,14.205,18.297
"32",1952,8,16.038,11.241,13.06,9.4075,12.862,14.104,10.865,14.73,14.3425,9.601,16.56165
"33",1952,9,8.8355,9.496,7.68,12.806,14.334,9.8905,9.464,10.2325,13.825,5.3375,13.2066
"34",1952,10,3.0845,7.9995,3.1115,1.87,2.646,6.8345,2.428,10.061,3.995,7.912,7.63555
