"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,19.9405,22.6335,23.755,20.536,20.634,20.5155,23.41,21.868,20.1405,20.986,19.3206
"2",1951,20.4655,20.2205,20.094,20.0485,20.1775,21.6425,21.605,22.282,21.005,21.9555,18.09785
"3",1952,20.0745,21.066,22.11,20.7155,20.277,20.3295,21.0145,21.1375,21.014,21.541,18.2555
"4",1953,20.4045,21.559,23.7625,26.2955,19.4895,21.8195,22.1925,21.3215,23.256,20.648,18.75185
"5",1954,21.498,21.1315,22.085,24.3905,19.582,20.4795,21.5695,21.4295,20.243,23.9185,17.5961
"6",1955,20.7615,24.153,19.405,21.424,19.3655,20.039,20.8235,20.3075,20.5205,19.89,17.54775
"7",1956,21.283,21.177,20.435,21.291,19.8375,21.1925,20.4645,21.2255,23.5095,21.236,17.4541
"8",1957,20.3935,19.8695,23.5055,23.4255,22.416,19.179,18.8655,21.0805,21.7165,22.2865,18.0145
"9",1958,20.237,18.8395,21.1285,21.1325,21.1375,21.342,20.911,22.226,19.2345,22.111,17.44735
"10",1959,23.12,20.001,20.008,21.3975,21.5765,23.453,20.3715,19.706,20.4275,20.32,17.5063
"11",1960,21.272,21.254,22.0405,21.6945,21.25,20.833,22.694,22.404,21.218,19.7765,18.0009
"12",1961,20.596,21.589,22.737,19.64,20.6035,23.4105,20.841,20.5555,21.3105,20.0095,17.97615
"13",1962,22.7,22.053,21.0735,20.3735,18.3835,20.2235,21.1425,20.4875,19.904,21.995,17.72785
"14",1963,21.131,19.7215,22.8255,20.245,19.661,19.334,19.5195,20.4185,21.464,20.608,17.96705
"15",1964,22.1845,21.771,21.761,20.2395,22.079,21.2185,23.2355,21.854,22.6325,21.7735,17.99325
"16",1965,21.459,22.492,20.448,21.5315,19.701,20.952,19.264,22.33,20.537,19.8895,17.9053
"17",1966,21.029,21.6195,21.2975,20.6345,21.416,20.767,19.8575,21.6975,19.4215,19.5505,17.9644
"18",1967,21.151,21.059,21.3195,20.929,20.699,22.5955,20.537,20.254,19.6345,19.933,17.5684
"19",1968,21.1655,22.6845,21.888,20.9025,21.2555,20.894,21.69,19.9425,20.3205,20.24,17.7927
