"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,26.38,31.562,31.062,25.867,29.0205,26.987,28.1665,30.4195,27.7225,27.574,25.14285
"2",1951,26.176,28.6445,25.5345,27.4775,28.0425,28.2955,28.4615,30.8695,28.934,28.359,24.1229
"3",1952,25.775,27.276,28.0505,27.8945,28.037,26.779,26.6285,28.7415,28.5335,27.708,24.80375
"4",1953,28.3565,29.097,27.3795,33.251,26.5805,28.043,29.5395,28.6785,29.474,27.3625,24.82315
"5",1954,29.925,27.499,26.4295,28.4135,26.7295,27.1255,31.065,29.113,28.4915,29.8565,24.0886
"6",1955,27.4725,30.052,27.7205,26.8965,27.8065,27.3215,29.902,27.618,25.9975,28.573,23.46735
"7",1956,27.778,27.8805,26.226,28.5655,28.6595,27.7825,26.8065,28.3115,31.123,28.138,23.93145
"8",1957,27.4545,27.205,31.32,29.8655,28.4855,25.5195,28.4665,28.042,29.3065,26.3015,24.23405
"9",1958,27.499,26.6655,27.4725,26.005,27.4325,25.457,28.942,31.83,27.76,28.047,23.8317
"10",1959,27.7125,30.0175,26.146,26.5305,30.088,28.265,27.008,26.9915,27.9595,24.597,23.5204
"11",1960,26.433,29.764,28.6105,27.3095,28.23,27.201,29.62,28.4955,29.3945,25.635,24.06485
"12",1961,26.3885,28.291,28.427,26.0175,27.3645,27.7555,28.181,27.2605,28.2115,26.512,24.0767
"13",1962,31.429,27.393,27.5265,25.4775,25.304,27.7495,28.022,28.365,28.8285,28.4705,24.24055
"14",1963,28.021,29.476,28.2095,26.884,27.678,25.63,26.491,30.516,30.805,27.1705,24.3886
"15",1964,28.7225,28.599,27.232,27.4865,29.0865,27.859,29.6995,30.549,28.151,26.84,24.6265
"16",1965,26.6905,26.0415,27.7385,26.522,27.125,28.3285,26.4715,29.364,26.35,27.268,24.02455
"17",1966,27.5185,27.9505,27.5455,28.029,29.2315,27.682,25.744,28.6565,26.517,25.8265,24.2877
"18",1967,28.364,28.342,25.9935,27.117,28.2455,28.5025,27.2675,26.6665,27.9145,27.375,23.95205
"19",1968,27.2405,30.5195,27.663,28.118,29.1285,28.026,28.946,26.5425,32.5155,31.3955,23.90725
"20",1969,27.716,29.1745,28.3855,27.966,29.267,28.044,26.359,28.956,29.042,29.2405,23.5721
"21",1970,29.7295,27.979,28.923,27.2895,28.7565,27.647,27.0315,29.2725,28.211,26.651,25.5237
"22",1971,27.61,29.0325,29.2195,26.2105,30.501,30.367,26.812,26.2705,30.857,29.0145,24.7395
"23",1972,27.128,30.1125,27.812,30.0975,27.809,26.3855,26.874,26.9915,27.4195,26.8285,23.73035
