"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,32.5,33.6665,35.7235,32.0965,31.751,34.257,35.278,32.712,31.968,33.577,29.1633
"2",1951,32.2325,37.0535,33.5635,32.0715,33.1975,33.3045,31.255,32.8265,32.175,34.3495,29.24555
"3",1952,31.239,31.7375,34.2215,32.0535,33.0395,31.938,31.9815,31.9415,33.273,31.1455,29.66875
"4",1953,33.6905,32.431,32.2145,33.9545,31.6635,32.989,33.219,34.3225,33.3715,31.3875,29.84035
"5",1954,33.409,32.717,31.0105,32.236,32.119,32.8025,34.34,33.5605,34.169,33.763,29.43285
"6",1955,32.3795,33.1465,31.432,32.0555,32.4265,30.8275,35.4095,31.8425,31.189,31.791,28.88
"7",1956,31.6,33.1755,32.6605,31.9615,33.2015,32.561,33.149,34.072,33.7345,32.4875,29.5619
"8",1957,32.2275,32.7465,35.204,35.088,33.0045,31.391,30.857,30.92,34.187,31.7355,29.8667
"9",1958,32.4685,32.1675,33.097,32.3455,31.223,30.436,34.172,33.867,32.609,31.723,29.5552
"10",1959,32.062,30.2195,32.763,32.539,33.5365,33.276,32.667,30.4835,33.342,31.789,29.0885
"11",1960,31.893,31.917,32.229,33.42,32.616,34.3235,34.439,33.4175,33.663,30.3015,29.7046
"12",1961,31.8045,33.6225,32.479,33.082,32.9175,33.976,33.4335,32.0085,31.5005,30.464,29.91195
"13",1962,32.4835,33.994,32.3775,31.113,31.2685,32.2065,34.847,34.496,32.0985,34.138,29.5369
"14",1963,32.8425,35.0535,32.2125,30.769,34.6185,31.745,34.473,33.704,33.8655,32.058,29.6389
"15",1964,35.9715,33.315,33.5465,32.3585,33.521,32.378,33.561,34.3495,34.067,33.2295,29.53745
"16",1965,32.0665,32.1515,32.672,29.82,31.025,32.0315,32.3285,33.2305,31.7,31.809,28.72325
"17",1966,32.0415,32.232,33.0475,31.838,33.445,32.719,35.058,33.852,31.6005,30.9545,29.3386
"18",1967,32.244,33.9995,32.8855,33.0375,31.1885,33.585,33.021,30.447,31.7015,30.579,29.4166
"19",1968,31.142,34.6335,32.678,36.85,35.2645,33.001,33.174,31.217,33.378,32.302,29.40415
"20",1969,31.6515,34.2,32.825,31.0405,32.7905,32.647,31.34,32.382,32.516,32.312,28.34145
"21",1970,33.6915,32.8195,32.2475,34.3535,33.3235,31.791,32.5315,34.467,31.996,32.2825,30.3186
"22",1971,31.8315,33.8695,33.0145,32.37,32.9585,34.2645,32.917,32.12,35.352,31.7275,29.9643
"23",1972,30.0705,33.8345,32.9145,33.2465,31.4775,32.062,32.9625,32.2525,31.8975,35.204,28.92465
"24",1973,31.394,35.0675,31.8715,31.7035,35.072,34.5545,35.4965,32.506,32.839,33.451,30.1244
"25",1974,32.021,34.112,31.691,31.659,35.1475,35.204,32.24,31.9075,32.957,35.488,29.66875
"26",1975,32.312,35.0225,33.042,32.8245,33.022,32.34,34.446,32.599,33.9905,31.181,29.10005
"27",1976,32.049,33.7445,30.54,32.5945,32.6245,32.753,34.3905,34.124,32.91,32.029,30.6732
"28",1977,31.7065,32.4305,32.0925,33.361,31.538,32.7065,31.8465,32.316,35.499,32.624,29.55255
"29",1978,32.8525,34.771,32.564,30.4005,32.361,34.2305,34.855,33.8705,33.7905,32.111,29.85
"30",1979,31.9075,32.034,31.7125,32.219,32.7295,33.1445,31.0375,33.5125,31.3275,33.4725,28.93765
"31",1980,30.856,31.414,34.22,35.0695,33.811,34.3105,32.5205,33.272,30.426,34.046,29.45525
"32",1981,36.356,31.7675,36.1375,31.1735,31.3135,32.9585,35.3285,34.518,30.5045,32.7715,30.0443
"33",1982,31.739,32.8525,32.4095,33.338,33.6895,34.4915,32.5385,30.836,32.6845,31.832,29.0519
