"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,28.3215,30.432,32.0625,28.7915,26.9305,29.6895,30.4085,30.1585,28.048,29.2865,24.65625
"2",1951,27.3525,32.382,26.533,27.2425,31.231,29.821,27.385,30.763,28.0195,29.95,24.45545
"3",1952,27.1265,30.484,28.1335,29.101,30.967,27.8465,27.4105,28.921,29.615,28.3705,25.2166
"4",1953,27.574,30.3455,27.705,32.301,27.837,29.9885,29.263,28.629,30.236,28.091,25.3659
"5",1954,30.2445,28.4945,26.479,28.7435,28.1555,28.585,29.786,29.5475,28.049,31.626,24.74985
"6",1955,27.3765,29.362,27.6985,29.338,26.82,28.644,32.469,30.49,26.17,29.771,24.2339
"7",1956,28.222,28.842,27.9215,29.9715,28.8015,29.9105,29.605,28.7665,29.245,29.3655,24.69725
"8",1957,28.925,27.72,30.8335,30.331,28.4915,26.3,30.0685,28.622,30.274,28.952,24.87435
"9",1958,28.237,29.9855,28.342,28.4445,26.299,26.916,32.0225,29.926,31.731,27.7555,25.23915
"10",1959,28.7395,29.6645,28.995,28.8535,28.8045,28.9895,28.305,27.2315,29.1515,27.4785,24.67145
"11",1960,28.583,28.2905,28.4765,28.719,31.0435,29.9575,29.271,29.7115,29.8595,26.324,24.96795
"12",1961,29.0005,30.453,29.746,28.637,28.7785,31.392,27.665,27.6685,28.092,25.826,24.7415
"13",1962,29.4725,28.626,29.2875,27.605,28.186,30.734,28.8545,30.91,29.04,28.9695,24.53975
"14",1963,29.074,30.92,28.285,28.22,29.653,27.379,29.1745,29.071,30.653,27.985,24.9595
"15",1964,30.5305,31.2815,27.9525,26.5675,30.583,28.2575,31.889,30.1755,29.269,27.8315,25.38925
"16",1965,28.163,27.8585,30.5125,27.1765,28.9455,28.8395,29.4455,29.3285,26.813,25.372,24.6582
"17",1966,28.4495,27.883,28.669,28.6175,29.963,28.7635,29.3155,29.288,28.459,28.121,24.6817
"18",1967,27.659,30.7655,28.152,29.4735,28.244,29.757,29.8185,27.241,26.939,26.702,24.4384
"19",1968,28.086,31.1155,28.574,30.8995,29.823,28.2785,30.1105,28.9275,32.7945,30.3645,25.21905
"20",1969,28.1465,30.5565,28.3835,27.971,28.904,28.9625,29.679,28.448,29.445,30.063,23.91045
"21",1970,29.665,29.2965,30.092,28.895,29.609,28.7825,27.4775,28.7265,27.871,27.665,25.65465
"22",1971,28.1395,29.5215,28.194,27.124,30.434,29.9625,28.548,27.04,29.8135,28.404,25.0216
"23",1972,26.5525,33.194,28.806,28.6915,28.8,27.565,27.988,27.1705,27.619,30.6765,24.21865
"24",1973,27.1825,33.712,28.495,27.864,29.7665,30.134,30.8895,28.2645,30.4405,28.992,26.8159
"25",1974,27.5965,29.2655,28.853,27.653,31.4265,30.713,29.88,29.304,30.499,31.5375,25.3713
"26",1975,29.132,32.133,30.079,28.8745,30.382,27.4435,28.9125,26.0205,28.631,27.267,24.28885
"27",1976,29.4705,30.4,25.91,29.185,30.929,29.6295,27.784,28.783,30.5155,26.32,26.2271
"28",1977,28.17,28.653,28.0065,28.5845,27.655,28.129,29.9905,27.439,30.9745,28.414,24.77525
"29",1978,30.278,29.4615,28.966,27.879,27.6195,29.4355,29.67,30.1035,30.1505,28.6145,24.85475
"30",1979,28.897,27.4755,26.865,26.9935,28.97,29.0535,28.712,29.018,28.3805,28.8255,23.95335
"31",1980,25.853,28.686,29.7725,29.684,32.299,29.994,30.0165,28.7045,27.068,28.6935,24.1798
"32",1981,30.752,29.678,29.58,26.918,28.25,28.594,31.184,31.3255,25.6255,27.5595,25.44565
"33",1982,30.168,27.994,29.3245,27.6405,31.4815,29.6805,27.4155,26.1075,28.9165,29.004,24.7849
"34",1983,29.0595,29.801,26.6455,29.8225,29.7805,30.1185,27.4035,32.6275,27.5075,29.0575,24.88375
"35",1984,28.327,28.8035,29.223,29.1365,29.7865,30.521,29.025,28.224,28.7345,29.7605,25.552
"36",1985,29.7035,29.744,26.8575,29.845,31.7315,27.3825,27.746,29.983,26.624,27.524,25.25635
"37",1986,29.408,27.2425,29.9565,29.682,31.876,29.0285,27.251,28.4925,30.016,28.0255,24.51795
"38",1987,29.7545,28.8285,27.812,28.0485,29.7205,30.373,31.9575,30.434,28.127,27.444,26.5985
"39",1988,31.426,28.8925,29.879,31.2865,28.545,27.274,28.362,28.2765,29.875,28.7925,25.5417
"40",1989,29.928,29.3335,28.239,29.1065,29.2465,27.446,27.5945,27.348,28.9335,29.736,25.4211
"41",1990,27.6715,31.0275,28.2285,28.543,30.893,29.2165,28.9625,29.5515,27.7935,29.6575,24.50485
"42",1991,28.976,31.1195,30.9715,29.2125,32.746,27.8695,27.3455,27.7715,25.997,28.5395,26.6027
"43",1992,29.6235,27.1385,30.8,26.7515,30.621,29.682,30.9875,31.083,28.898,27.206,24.534
"44",1993,29.011,29.416,26.2405,29.2955,28.985,29.9535,27.8255,27.5255,27.994,26.3835,25.18945
"45",1994,29.056,29.038,29.1885,29.3935,28.4955,27.912,29.015,29.6845,29.349,26.9455,24.8409
"46",1995,28.5065,29.91,30.03,29.252,29.5435,30.905,28.193,27.322,28.9295,27.535,24.5727
"47",1996,29.808,29.427,29.5975,30.725,29.0645,32.534,31.623,28.08,28.362,27.4135,24.3323
"48",1997,29.5645,30.282,27.978,29.6995,29.154,32.3185,29.284,27.5775,32.191,30.7485,25.4133
"49",1998,28.329,32.1005,26.844,29.1305,33.5705,27.303,29.889,29.2135,31.217,29.585,26.10485
"50",1999,28.209,30.066,31.8875,32.2555,29.3835,26.532,28.1695,29.4535,24.7485,28.341,24.9871
"51",2000,30.827,30.664,30.374,29.6555,28.4375,27.978,29.229,28.0985,30.4865,27.795,26.0203
"52",2001,30.646,28.2985,31.3825,28.376,34.5695,30.786,27.988,26.067,28.559,28.891,25.478
"53",2002,28.3205,30.2,26.6815,30.373,27.841,28.537,31.6885,28.4765,29.142,29.14,25.1373
"54",2003,29.9145,29.6,28.809,29.423,29.5845,28.9735,27.0095,30.722,27.991,29.7925,25.93065
"55",2004,28.476,28.3755,28.176,27.134,32.4905,30.337,33.257,28.3705,29.817,26.496,26.48315
"56",2005,30.8765,30.3975,31.3345,28.913,30.013,29.431,29.5355,27.383,29.827,27.6145,26.24585
"57",2006,31.1965,30.4055,31.3275,31.0165,28.9595,28.471,29.385,30.0565,29.7835,29.3095,25.41315
"58",2007,29.404,29.9785,29.2045,30.467,31.111,30.9325,33.102,29.062,29.683,30.926,26.44325
"59",2008,29.1575,32.755,31.833,30.744,29.892,29.5685,31.7575,29.454,27.864,29.757,25.49695
"60",2009,30.556,31.7985,29.3765,30.845,29.8925,27.09,34.029,31.085,33.0615,26.811,25.62445
"61",2010,28.619,31.307,28.87,28.0885,29.074,28.46,28.9075,29.1735,28.4005,30.1135,26.16025
"62",2011,28.4125,29.437,30.7235,29.439,32.324,27.772,30.0675,31.519,30.8855,29.9905,26.48605
"63",2012,32.1515,31.3965,33.057,30.067,33.2405,30.863,30.154,30.3225,29.77,29.156,26.3644
"64",2013,31.4425,31.374,29.2895,29.002,30.7905,29.1155,32.913,30.0365,28.792,24.4395,25.93785
"65",2014,28.9175,30.152,31.7925,31.9095,30.211,28.3615,32.744,26.7635,31.5845,31.6695,25.8985
"66",2015,30.364,33.846,31.0935,29.826,28.141,31.977,29.158,31.2635,30.146,29.1335,27.0543
"67",2016,29.731,31.839,27.705,30.237,28.919,30.3785,29.8205,29.8445,31.486,29.5205,25.95385
"68",2017,29.2865,30.9965,32.6445,31.2335,32.155,28.7135,29.605,32.6265,30.635,31.7755,26.08095
"69",2018,28.881,28.774,29.7835,31.061,32.917,31.0895,29.7925,32.61,27.8055,28.9575,26.1732
"70",2019,32.0075,30.736,31.197,29.3215,30.8915,29.839,33.2885,31.964,28.332,29.538,25.6694
"71",2020,29.704,31.438,30.0165,29.34,37.1125,27.7175,30.766,31.2105,33.094,29.6175,26.07105
"72",2021,29.994,30.175,29.6395,28.4665,32.072,31.1845,30.6275,29.8965,29.391,28.7795,26.07645
"73",2022,30.873,33.6755,32.8705,32.0695,30.833,34.0465,27.504,31.953,31.281,30.207,27.2333
"74",2023,28.8125,31.061,27.818,28.853,28.8595,29.941,31.899,31.628,34.6065,29.4635,26.55555
"75",2024,30.721,32.866,33.339,30.468,31.223,27.981,31.0835,29.948,30.8515,30.469,26.02315
"76",2025,31.522,30.7105,32.427,29.784,29.191,27.8945,31.1005,31.435,30.3015,30.5025,26.5105
"77",2026,31.3935,36.0035,31.7615,31.782,31.538,33.518,32.024,33.27,31.45,28.718,26.75155
"78",2027,33.736,31.558,32.4855,29.424,31.808,29.69,29.2515,27.2115,31.8055,29.095,26.73005
"79",2028,31.532,31.548,32.6915,28.462,32.227,29.3795,32.5895,30.053,31.0755,31.155,26.8012
"80",2029,30.981,31.22,30.2395,31.6775,36.625,29.056,31.7075,32.1835,30.402,30.819,26.59545
"81",2030,33.362,36.077,31.1185,32.593,30.6605,28.614,28.9735,28.5855,31.1565,30.206,27.18705
"82",2031,31.4425,33.904,29.917,31.036,31.878,30.276,31.04,31.606,29.6485,31.439,27.74885
"83",2032,29.5715,31.2565,32.2665,31.6995,31.4985,30.3885,29.9675,31.7785,31.329,29.8635,27.12975
"84",2033,32.7365,31.0815,33.3405,31.061,30.6405,28.9015,33.1185,31.4655,31.837,28.8845,26.8668
"85",2034,31.512,34.3485,32.8005,33.4155,29.924,29.4205,30.448,31.0355,31.587,28.7255,26.89365
"86",2035,32.1475,35.585,30.6495,33.5685,31.5145,30.048,29.8,28.2535,31.579,31.0575,26.32105
"87",2036,30.666,35.5235,31.0175,28.9985,32.75,29.708,29.0525,33.6535,32.501,30.4125,27.36195
"88",2037,30.7045,31.207,32.3345,31.4655,30.7755,30.8865,32.243,31.1335,31.433,30.8815,27.1177
"89",2038,29.8775,30.962,31.991,32.967,31.1515,30.649,30.0815,29.991,29.6835,30.1825,26.8528
"90",2039,35.884,33.9235,33.6815,32.8185,31.74,29.938,34.115,30.5705,30.58,29.5125,27.70785
