"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,28.5975,32.3555,32.536,27.8205,29.5495,29.7445,30.083,31.637,29.072,29.3395,27.0471
"2",1951,28.5735,30.8175,29.242,29.887,29.3685,30.6465,29.7915,30.7765,29.6175,30.286,26.03465
"3",1952,29.093,31.354,30.3715,29.7625,29.729,28.0565,29.54,29.305,29.6295,29.992,26.55975
"4",1953,30.6475,30.3745,30.829,34.892,28.3305,30.3555,32.493,31.1225,30.6025,30.1725,26.8677
"5",1954,30.448,30.097,28.971,29.7475,27.8695,29.7745,31.955,30.245,31.042,32.994,26.3868
"6",1955,29.719,32.5815,29.4555,29.259,29.3535,29.433,31.3345,29.0145,28.5155,29.56,25.45725
"7",1956,29.6725,29.0235,28.7255,30.5235,28.8645,29.2815,29.2325,29.719,31.0915,29.7795,25.6162
"8",1957,30.8275,29.293,32.385,32.8565,30.488,28.337,29.452,30.659,30.879,28.3765,26.1786
"9",1958,30.024,29.6305,29.784,29.024,29.427,28.1725,31.0955,32.7345,29.3685,30.699,25.67235
"10",1959,29.694,31.1045,28.6675,28.58,30.998,30.5285,29.787,29.6865,29.1115,26.735,25.36195
"11",1960,28.537,31.1505,30.943,30.434,29.751,29.7065,30.35,31.249,29.7925,29.0065,26.1854
"12",1961,30.59,30.535,30.472,29.3265,29.021,31.026,31.426,29.305,31.8385,28.2195,26.30395
"13",1962,31.121,30.2175,29.8425,27.5,26.6595,29.018,29.1735,29.846,29.279,29.6495,25.71835
"14",1963,28.9685,31.2145,30.134,29.9515,28.0045,28.5075,29.6275,30.6315,31.58,30.1545,26.0829
"15",1964,30.2245,31.9815,30.2465,28.261,30.0765,29.821,32.048,31.9795,30.4695,29.5855,26.01625
"16",1965,28.886,29.9045,31.0625,29.878,27.3735,30.018,28.297,30.6865,29.0725,28.2775,26.149
"17",1966,29.67,29.9495,29.5855,29.528,29.8625,30,28.326,30.0815,28.443,29.7735,26.3148
"18",1967,31.4535,30.254,29.4865,30.2775,29.998,30.6325,29.9635,29.166,28.865,29.768,25.5115
"19",1968,29.256,31.282,29.953,30.3095,30.692,29.91,30.0115,29.4945,33.165,31.1795,25.8539
"20",1969,27.821,31.077,29.6085,30.3075,29.48,29.393,28.8475,30.267,29.623,30.905,25.6645
"21",1970,32.0705,30.6605,30.0465,29.5315,30.8355,29.3405,28.1425,30.3835,28.193,28.4875,26.9024
"22",1971,28.6435,30.001,29.0585,29.2945,29.974,29.8,28.908,28.2805,32.591,31.054,26.4559
"23",1972,28.4035,34.26,30.6905,31.6715,28.823,30.045,28.989,29.6405,29.638,29.097,25.8734
"24",1973,29.1115,31.6545,30.5625,29.3095,29.7505,31.546,31.9165,29.2955,28.982,30.375,27.22265
"25",1974,29.2375,30.474,28.987,29.1615,31.478,29.6255,31.145,29.319,31.218,33.848,26.26095
"26",1975,31.589,31.93,31.4805,30.9155,29.2995,28.999,32.06,28.615,31.7515,28.2905,26.045
"27",1976,30.7865,32.1945,29.076,30.75,28.0575,29.2715,30.481,32.1925,31.1675,28.635,27.5699
"28",1977,28.2765,29.8025,31.369,29.3575,27.6045,30.3195,29.6035,29.1765,30.4375,29.476,26.1587
"29",1978,30.4185,30.4625,29.8125,28.327,29.5,30.223,31.5125,30.097,30.756,29.3415,26.18765
"30",1979,30.1795,28.2845,28.076,28.9955,29.969,28.1035,29.0835,29.6535,30.06,31.9655,25.6493
"31",1980,29.012,28.2155,32.0665,30.2745,30.992,32.793,32.289,32.8025,30.5885,29.28,25.72705
"32",1981,31.2195,29.308,31.785,31.3165,28.982,31.9295,33.1425,31.8645,29.281,27.2475,26.711
"33",1982,29.4735,29.189,29.418,30.6205,31.4955,30.828,30.4595,27.834,32.1355,30.26,25.96275
"34",1983,29.8565,30.9215,27.8805,31.142,28.8965,29.2495,29.449,33.0105,28.5095,30.3825,26.4363
"35",1984,28.835,28.4345,32.675,29.8365,28.725,31.889,32.6485,29.8395,28.809,30.6735,26.5623
"36",1985,30.1575,35.4295,29.851,30.45,29.672,29.4405,29.7375,30.0975,29.1975,29.979,27.08975
"37",1986,29.851,30.07,32.315,30.2365,31.1015,31.095,31.0205,31.3565,31.0585,28.659,26.13125
"38",1987,32.059,30.5195,29.3185,28.56,29.253,30.9555,32.069,33.2035,29.6515,29.071,27.2567
"39",1988,31.6935,29.906,30.5145,30.314,28.672,28.974,31.1425,31.173,29.965,30.529,26.63165
"40",1989,31.205,30.2235,29.2175,31.696,28.96,30.5305,28.3225,29.3935,31.6795,30.0545,27.0339
"41",1990,29.531,29.345,30.3935,31.736,30.047,30.062,29.063,31.382,29.858,30.547,26.24575
"42",1991,31.917,31.751,31.8795,30.8695,31.5815,29.474,29.8745,29.368,29.7485,30.34,28.36865
"43",1992,31.5365,31.2105,30.235,27.6175,30.6085,30.535,30.6925,32.432,29.4575,29.0485,26.2154
"44",1993,28.983,30.284,29.8325,30.602,30.0225,30.348,28.2565,29.1395,30.9315,28.6585,26.11885
"45",1994,30.797,31.3445,29.8665,31.057,28.664,29.3065,30.3965,30.9925,29.5285,28.8445,26.02845
"46",1995,28.7095,31.025,31.221,31.9815,29.558,31.085,31.2355,30.6955,30.486,29.437,26.1086
"47",1996,29.483,31.641,30.4265,32.9655,29.8705,33.015,32.349,30.3835,29.047,27.9665,26.36085
"48",1997,30.8735,32.519,28.164,33.356,30.5965,33.515,29.125,29.282,31.9425,30.566,26.9318
"49",1998,29.562,33.4775,30.876,32.5785,31.8875,28.9125,33.7135,30.3135,31.0985,30.918,26.96345
"50",1999,31.629,30.555,28.888,31.748,28.715,28.388,29.1155,30.4335,27.6285,29.1755,26.29235
"51",2000,30.0295,31.2895,31.4425,31.3935,28.8495,30.4545,31.688,30.613,31.794,29.7435,27.58625
"52",2001,31.17,31.2065,33.3045,30.1085,31.493,31.387,30.615,27.934,29.703,31.0435,26.14415
"53",2002,32.091,30.4905,29.7855,32.3815,29.538,30.181,32.7655,31.6705,31.7405,30.93,27.26985
"54",2003,32.1275,31.9675,29.4695,31.9715,32.4115,31.211,30.3515,31.3005,30.8005,32.2955,26.52885
"55",2004,31.491,29.9905,29.442,29.652,32.4205,32.2725,31.504,29.5275,31.6045,28.1845,27.9536
"56",2005,31.3045,31.727,31.7815,32.3265,31.4235,33.6925,31.776,28.5795,31.138,29.787,27.43965
"57",2006,34.5385,32.6475,31.6325,31.278,29.666,28.644,29.94,32.6995,30.4425,31.4045,26.5325
"58",2007,30.5105,31.9135,30.2695,31.131,32.7425,32.4555,31.4615,30.7815,31.54,30.615,28.06975
"59",2008,31.195,34.5425,31.173,33.2675,30.529,31.54,31.191,32.1585,29.775,30.618,26.60355
"60",2009,30.8555,31.6955,32.0965,31.467,30.845,29.1605,32.6925,29.717,35.02,28.868,27.7607
"61",2010,30.0165,32.37,30.5265,29.0665,31.2045,32.692,32.267,30.216,29.3615,30.855,28.22965
"62",2011,29.255,30.825,34.2785,32.1695,32.4375,29.4315,32.4235,35.074,33.1735,31.406,28.31425
"63",2012,32.791,32.015,30.742,33.004,30.772,32.709,32.9545,31.019,30.4015,31.368,27.788
"64",2013,31.047,32.4,32.5735,31.4615,33.809,30.96,33.661,32.426,30.5025,27.583,27.6928
"65",2014,31.3945,31.59,32.3375,31.8165,32.059,30.2545,35.107,29.5355,31.8665,32.969,27.37735
"66",2015,31.7395,35.4995,34.0835,30.6255,29.304,35.6965,31.798,32.6515,30.9445,30.968,28.65675
"67",2016,32.656,32.6185,31.148,31.71,30.0905,31.8275,32.216,31.7375,33.7885,31.393,28.25445
"68",2017,32.178,35.036,33.8175,32.082,30.795,29.9365,29.6155,34.115,33.428,33.13,27.8465
"69",2018,30.739,30.3255,33.14,32.2115,35.0675,33.1885,32.575,32.3795,30.452,30.996,28.18285
"70",2019,31.734,33.019,31.5995,30.836,30.2715,31.389,33.1275,33.157,31.149,30.553,27.4684
"71",2020,32.5975,33.168,32.3345,31.331,31.936,28.2875,32.407,32.817,35.153,30.2015,28.1989
"72",2021,32.9155,31.1215,28.5175,31.665,30.485,33.08,33.2425,32.6595,30.461,31.2335,28.0025
"73",2022,32.177,36.051,32.8555,35.1905,33.771,32.4505,30.7795,33.995,32.532,32.4195,28.78285
"74",2023,30.2315,32.4925,31.7875,31.015,29.931,31.588,34.9455,31.702,32.4345,33.235,28.6386
"75",2024,33.3755,33.0525,36.2905,31.899,32.266,30.737,32.0115,33.2515,31.747,32.594,28.60035
"76",2025,33.305,32.7095,32.0105,32.481,29.7355,30.498,32.919,34.251,32.09,31.1445,28.8369
"77",2026,33.1735,35.2255,33.091,33.9685,29.772,33.2165,30.3195,33.159,34.5315,32.292,28.05235
"78",2027,33.825,32.663,34.618,30.8715,31.7755,34.25,30.7385,33.291,34.179,30.6855,28.23685
"79",2028,32.661,32.843,33.504,33.749,32.1485,30.611,35.769,33.365,32.5015,30.9505,28.65195
"80",2029,31.892,33.2295,33.875,35.519,35.6385,30.525,30.734,34.1605,33.192,30.678,28.4457
