"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,15.7566547945205,15.5776328767123,15.5513534246575,16.6181835616438,15.8329273972603,16.2286205479452,16.4251479452055,15.9587780821918,15.3968178082192,15.6082287671233,15.8954345205479
"2",1951,15.3289260273973,15.4175657534247,15.1317301369863,15.420795890411,15.1776643835616,15.6578465753425,15.7231630136986,16.2497876712329,15.9808616438356,16.5663452054794,15.665468630137
"3",1952,15.2072144808743,15.5794945355191,15.8690628415301,15.2317827868852,16.0416079234973,16.2578592896175,15.8979057377049,16.3866325136612,16.5300355191257,16.2926161202186,15.9294211748634
"4",1953,16.4845191780822,15.5662890410959,15.2125342465753,16.2279794520548,15.5158561643836,15.5482424657534,15.9886534246575,16.0844095890411,16.6672424657534,16.2962479452055,15.9591973972603
"5",1954,16.3181534246575,15.0849739726027,16.0941410958904,15.8891589041096,15.8130835616438,15.4971821917808,15.8555671232877,16.3504876712329,15.844598630137,16.0059712328767,15.8753317808219
"6",1955,15.4753671232877,15.4239917808219,15.7976150684931,15.7743054794521,15.3700753424658,15.3287109589041,16.3572068493151,16.1429273972603,15.4627328767123,16.2965082191781,15.742944109589
"7",1956,15.4846639344262,15.8004767759563,15.1980081967213,15.5717745901639,15.1607923497268,15.6193989071038,15.9404931693989,16.275075136612,15.5060614754098,15.6167418032787,15.6173486338798
"8",1957,16.1464205479452,15.3718863013699,15.0523191780822,15.4255493150685,15.4429,15.3514232876712,15.5462342465754,15.7743219178082,15.9386095890411,16.5721493150685,15.662181369863
"9",1958,16.0498931506849,14.9368369863014,15.6744164383562,15.6163301369863,15.1628164383562,15.1645767123288,15.6536054794521,15.7088684931507,15.6569356164383,16.0812068493151,15.570548630137
"10",1959,15.4996863013699,15.5031767123288,16.0744178082192,15.3735,16.411501369863,15.4804945205479,15.4447657534247,15.7934219178082,15.309901369863,16.088501369863,15.6979367123288
"11",1960,15.4226243169399,15.2590245901639,15.9171926229508,15.6812295081967,15.7609398907104,15.977218579235,15.7422896174863,15.7459180327869,15.963043715847,15.9293633879781,15.7398844262295
"12",1961,16.0205876712329,15.0776205479452,15.8493808219178,15.3547534246575,16.2259232876712,15.1313630136986,16.2065643835616,15.4556739726027,15.9147739726027,15.4409616438356,15.6677602739726
"13",1962,15.755601369863,15.8337657534247,15.9156794520548,15.4984082191781,15.8020123287671,15.6899438356164,15.4653547945206,16.1896520547945,15.6754712328767,16.2821767123288,15.8108065753424
