"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,16.3714520547945,16.4700123287671,16.067198630137,16.552195890411,16.3633095890411,16.1295410958904,17.2876150684931,16.1930794520548,16.2570602739726,16.2822630136986,16.397372739726
"2",1951,16.3819630136986,16.2017684931507,16.1147684931507,15.9755726027397,15.7188849315068,15.7755739726027,16.594505479452,16.5782424657534,16.5780054794521,17.0742575342466,16.2993542465753
"3",1952,16.2385163934426,16.2419795081967,16.5053852459016,15.792543715847,16.4061147540984,16.8186024590164,16.658662568306,16.7258142076503,16.1808661202186,16.6968483606557,16.4265333333333
"4",1953,17.3970575342466,16.0916684931507,16.3349397260274,16.4719301369863,16.3980671232877,16.1196753424658,16.5002438356164,16.6984575342466,16.3860356164384,16.7447260273973,16.5142801369863
"5",1954,16.3825369863014,15.8887383561644,16.8223095890411,16.3982684931507,16.2403520547945,15.7029684931507,16.4765753424657,16.8644780821918,16.2361438356164,16.7035657534247,16.3715936986301
"6",1955,16.2546534246575,16.2445424657534,16.7151945205479,16.1372219178082,16.2041342465753,15.9488328767123,17.3109863013699,16.6160178082192,15.9459054794521,16.9548068493151,16.4332295890411
"7",1956,15.7814084699454,16.4243633879781,16.0033770491803,16.0856530054645,16.1833633879781,16.2052896174863,16.469206284153,16.7192800546448,16.7230368852459,16.035531420765,16.2630509562841
"8",1957,16.6361890410959,16.222498630137,15.4488506849315,15.9682315068493,15.8830383561644,15.6747424657534,16.1337753424658,16.6114726027397,16.5230232876712,17.3048164383562,16.2406638356165
"9",1958,16.4919328767123,15.5395712328767,16.135695890411,16.3750095890411,15.9004452054795,15.8115561643836,16.355597260274,16.3736356164384,15.9951452054794,16.4026931506849,16.1381282191781
"10",1959,16.5178369863014,16.1726,16.303101369863,16.3051410958904,17.1724671232877,15.833802739726,16.0716452054794,16.1155863013699,15.7449712328767,16.6943616438356,16.293151369863
"11",1960,15.8505614754098,16.5235081967213,16.3652827868852,16.593131147541,15.7767035519126,16.4874549180328,16.1577158469945,16.1860969945355,16.96275,16.627618852459,16.3530823770492
"12",1961,16.6517506849315,15.8262904109589,16.6093479452055,15.6903863013699,16.8810547945206,15.7676808219178,16.9381219178082,16.1423479452055,16.6072095890411,16.1886219178082,16.3302812328767
"13",1962,16.4844260273973,16.5313506849315,16.5315493150685,16.3738328767123,16.2415246575342,16.1887054794521,16.017302739726,16.5433643835616,16.2521301369863,17.0178712328767,16.4182057534247
"14",1963,17.4796712328767,16.8955178082192,15.9637273972603,15.9553410958904,16.8577452054795,16.1152684931507,15.8326698630137,15.5261575342466,15.743404109589,16.7399794520548,16.3109482191781
"15",1964,16.6142254098361,16.1512595628415,16.2584330601093,16.2237636612022,15.8251489071038,15.6329535519126,16.8714316939891,16.0857704918033,15.6990683060109,16.7809180327869,16.2142972677596
"16",1965,15.9883684931507,15.0321876712329,15.5368821917808,14.9723780821918,16.1062383561644,15.9674821917808,15.6371876712329,15.920202739726,16.574097260274,16.4374589041096,15.8172483561644
"17",1966,15.5917397260274,15.4849315068493,15.7388589041096,16.2466712328767,17.020098630137,16.332898630137,16.8614123287671,16.1444534246575,16.9511643835616,15.7212575342466,16.209348630137
"18",1967,17.0074219178082,16.9602698630137,16.385598630137,16.5174219178082,15.3135712328767,15.8064753424658,14.8990917808219,15.4214780821918,15.6323849315069,16.0396,15.998331369863
"19",1968,15.1512964480875,15.8232172131147,16.5195382513661,16.2101898907104,15.8222199453552,15.920662568306,16.4805478142077,16.0254057377049,16.0521051912568,16.4740833333333,16.0479266393443
"20",1969,15.5732753424657,16.7869123287671,15.6814616438356,15.7552287671233,15.7121876712329,15.698598630137,15.2294246575342,16.2611205479452,16.1497876712329,16.0968739726027,15.8944871232877
"21",1970,17.1443890410959,15.7199369863014,16.4611794520548,16.4079575342466,16.5970808219178,16.4424219178082,15.8837178082192,16.4997095890411,16.6199534246575,16.5858068493151,16.4362153424658
"22",1971,16.2674904109589,15.569594520548,15.6152643835616,16.1554589041096,16.5235698630137,16.4714931506849,16.6611561643836,15.8617767123288,16.6290821917808,15.4761630136986,16.1231049315068
"23",1972,16.5317568306011,16.388837431694,16.4051502732241,16.4050286885246,15.2792144808743,16.2257349726776,16.1606653005464,15.8205478142077,17.1358237704918,16.4626598360656,16.2815419398907
"24",1973,16.3386739726027,15.9421931506849,15.8054136986301,16.9424095890411,17.1193136986301,16.232701369863,16.8896835616438,15.9513561643835,16.9642465753425,16.3005671232877,16.448655890411
"25",1974,16.5823164383562,16.7777534246575,15.9748438356165,16.4605506849315,17.6171479452055,15.8532397260274,16.4310589041096,16.823397260274,16.586495890411,16.086002739726,16.5192806849315
"26",1975,16.4550328767123,16.2742082191781,16.0740410958904,16.4968397260274,16.5161753424658,16.4041424657534,15.7044465753425,15.9069575342466,16.4361904109589,16.3413753424657,16.2609409589041
"27",1976,15.6335013661202,16.5704016393443,15.8979576502732,15.8769043715847,16.5461789617486,16.9357486338798,16.2148538251366,17.5842855191257,16.265793715847,15.866131147541,16.3391756830601
"28",1977,16.8501465753425,15.9930684931507,17.2462328767123,16.6605808219178,16.3241246575342,16.1921931506849,16.1544890410959,16.3947726027397,16.7787821917808,16.4842232876712,16.507861369863
"29",1978,16.0683232876712,16.5019150684932,16.5384356164384,16.6017438356164,16.5467726027397,16.6000383561644,16.4502219178082,16.877804109589,16.4953931506849,16.7153315068493,16.5395979452055
"30",1979,16.3500630136986,16.2710328767123,16.616304109589,15.9054082191781,16.3233,15.9625383561644,16.9118835616438,16.9878205479452,15.7622671232877,16.0774520547945,16.3168069863014
"31",1980,16.3932882513661,17.2496161202186,16.7801721311475,16.3609959016393,15.9466461748634,17.3804863387978,16.0425204918033,16.7778469945355,16.3431653005465,16.4226967213115,16.569743442623
"32",1981,16.8258698630137,17.5540356164383,17.0960767123288,17.2564465753425,15.8368328767123,16.2855369863014,16.7365493150685,16.7655945205479,15.9556123287671,15.9564534246575,16.6269008219178
"33",1982,15.9243150684932,16.3197369863014,16.3093150684932,16.6289383561644,16.226597260274,16.5328287671233,15.9261808219178,16.7007753424658,16.1028616438356,15.9078287671233,16.2579378082192
"34",1983,16.4978123287671,16.2454123287671,16.7631630136986,16.0939465753425,16.003195890411,16.1415561643835,15.9973328767123,16.3436068493151,16.243895890411,15.8404287671233,16.2170350684932
"35",1984,15.5474795081967,16.5080901639344,16.3611147540984,16.1564330601093,16.0848756830601,16.7345505464481,16.9410737704918,17.3899084699454,16.2480887978142,17.0055450819672,16.4977159836065
"36",1985,17.1989136986301,16.5097684931507,16.6416068493151,16.601797260274,16.5040835616438,16.1550054794521,16.3780506849315,17.0118657534246,16.0330082191781,15.8255356164384,16.4859635616439
"37",1986,16.2335232876712,16.4213342465753,16.0969068493151,17.4144575342466,16.5449082191781,17.0869164383562,16.8093109589041,16.6348931506849,17.6940520547945,16.2840356164384,16.7220338356164
"38",1987,16.5182232876712,16.5442876712329,16.7835424657534,17.0130109589041,16.7279315068493,16.6447438356164,16.3761917808219,16.6108178082192,16.4243739726027,15.8669123287671,16.5510035616438
"39",1988,16.2232213114754,16.2685013661202,17.0706297814208,16.9558661202186,17.0141980874317,16.7378920765027,17.3310273224044,17.5158060109289,16.4361653005465,16.8842991803279,16.8437606557377
"40",1989,16.6712232876712,16.7565178082192,16.6309821917808,16.3371794520548,16.7614246575343,16.6644821917808,16.3392109589041,16.2128123287671,16.4552328767123,16.8988232876712,16.5727889041096
"41",1990,16.4854589041096,16.7422109589041,16.445204109589,16.7564287671233,17.4426479452055,17.3621863013699,16.7656164383562,16.1334561643835,16.4523506849315,16.1071863013699,16.6692746575342
"42",1991,16.2651054794521,17.1127452054794,16.8359054794521,16.8607095890411,16.6421739726028,16.8128767123288,16.9230904109589,16.9707821917808,17.0038191780822,16.6096383561644,16.8036846575342
"43",1992,16.5554344262295,16.1474453551913,16.280575136612,16.3814972677596,16.946881147541,17.3382745901639,16.58456284153,16.385650273224,16.305075136612,16.9389576502732,16.5864353825137
"44",1993,16.3687904109589,17.6585068493151,15.5585849315069,16.7115219178082,16.2256410958904,15.9206287671233,15.6828191780822,15.5698287671233,16.2835684931507,15.4254493150685,16.1405339726027
"45",1994,16.5661273972603,16.2211260273973,16.9070109589041,16.8682835616438,16.8508397260274,16.7829191780822,16.8986342465754,16.7737835616438,16.5619506849315,16.917098630137,16.7347773972602
"46",1995,16.2723931506849,17.0604232876713,16.2465863013699,16.3999698630137,16.6182808219178,17.2056273972603,15.7345904109589,17.1332657534247,16.6686739726028,16.504697260274,16.5844508219178
"47",1996,16.8020819672131,17.1316065573771,18.0188483606557,16.6984849726776,17.3821489071038,17.6262158469945,16.9457527322404,16.6059467213115,15.8161270491803,16.8084508196721,16.9835663934426
"48",1997,16.7034657534247,16.5061767123288,17.8900369863014,16.6981506849315,16.7320410958904,17.0199890410959,16.1082410958904,16.3482684931507,17.4368315068493,16.8083657534247,16.8251567123288
"49",1998,16.7683808219178,17.2235369863014,17.0712219178082,16.2917780821918,17.5094753424657,17.6287232876712,17.5017082191781,16.7186301369863,17.2381095890411,16.6414219178082,17.059298630137
"50",1999,17.1800465753425,17.3798123287671,16.6828739726027,17.4951657534247,17.3149219178082,16.697295890411,16.2794273972603,16.7858575342466,16.9208397260274,16.4046506849315,16.9140891780822
"51",2000,16.422075136612,17.0237363387978,16.8771898907104,16.5697021857923,16.6332855191257,17.0636051912568,17.2389808743169,16.4617554644809,16.3941461748634,17.0830464480874,16.7767523224044
"52",2001,16.5420246575342,16.7843287671233,17.2868890410959,16.9036712328767,16.8779315068493,17.0384205479452,17.0735739726027,16.3575191780822,17.1396383561644,17.0949109589041,16.9098908219178
"53",2002,17.5499534246575,17.6255589041096,16.4628095890411,17.7900849315069,16.126301369863,17.2387698630137,17.8017904109589,16.9058520547945,17.493202739726,17.074202739726,17.2068526027397
"54",2003,17.3319438356164,16.6835904109589,17.0183671232877,16.4418410958904,17.1508273972603,16.3085794520548,16.6641534246575,16.6789780821918,17.0168452054795,16.9898657534247,16.8284991780822
"55",2004,16.9514385245902,17.0327336065574,17.3926693989071,18.1776721311475,17.3038183060109,17.1105806010929,16.7966161202186,16.6596010928962,16.7309726775956,16.6712677595628,17.0827370218579
"56",2005,17.1929671232877,16.7988301369863,16.8695410958904,16.6522794520548,16.2174219178082,18.2887616438356,16.9696589041096,16.1119260273973,16.7901684931507,16.6667383561644,16.8558293150685
"57",2006,17.4518219178082,16.3575109589041,17.2968273972603,17.2556643835617,16.5292123287671,16.8547246575342,16.9032164383562,17.776998630137,17.1428684931507,17.120297260274,17.0689142465753
"58",2007,17.4649493150685,17.3244232876712,17.4390123287671,17.9411904109589,17.6823273972603,16.8406876712329,16.7008054794521,16.4932520547945,17.4902917808219,17.4861904109589,17.2863130136986
"59",2008,17.3586010928962,17.335031420765,18.0668210382514,17.4223674863388,17.436606557377,17.4313442622951,17.3614603825137,17.7143606557377,17.0272636612022,16.8455245901639,17.3999381147541
"60",2009,17.0868849315068,18.2634643835616,17.1307191780822,17.6564315068493,17.6626671232877,17.5013753424657,17.0061602739726,17.746704109589,17.3953273972603,16.8256657534246,17.42754
"61",2010,17.0732876712329,17.4022383561644,16.5660246575342,17.7861945205479,16.8852616438356,17.8400534246575,17.0509493150685,16.8789643835617,16.7432849315069,17.4377273972603,17.166398630137
"62",2011,18.1423904109589,17.1190506849315,16.8657273972603,17.2673493150685,17.6097547945205,17.0873082191781,17.2278232876712,17.1201945205479,17.4241630136986,16.9536616438356,17.2817423287671
"63",2012,16.780043715847,17.3913866120218,16.6338087431694,18.4775491803279,17.5757158469945,17.9800601092896,17.7292281420765,18.6210068306011,17.9134303278689,17.7893155737705,17.6891545081967
"64",2013,18.0276068493151,17.292398630137,17.0013863013699,17.9043767123288,17.3628205479452,17.2864054794521,17.1617493150685,17.612897260274,17.8315356164384,16.4573876712329,17.3938564383562
"65",2014,17.0634726027397,17.3795383561644,17.5650465753424,18.5500287671233,17.1268616438356,17.9512342465753,17.7153958904109,17.8251849315068,17.9700904109589,17.2454931506849,17.6392346575342
"66",2015,17.9069438356165,18.5021917808219,17.2462616438356,18.5594479452055,17.5575342465753,17.2270438356164,18.3249438356164,18.1536287671233,16.8187904109589,17.1283219178082,17.7425108219178
"67",2016,17.6969207650273,17.5346202185792,16.8176762295082,17.8467322404372,16.828943989071,17.6970819672131,16.7173292349727,18.3468729508197,17.7637076502732,17.5584849726776,17.4808370218579
"68",2017,17.8142109589041,17.8678876712329,17.7665287671233,18.4049753424658,17.7653109589041,18.241895890411,17.3773410958904,17.085897260274,17.5872369863014,17.5074424657534,17.741872739726
