"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,3.014,2.496,4.753,4.0715,-0.4085,5.309,2.142,2.67,0.3345,0.6695,6.0323
"2",1951,1.906,0.6085,4.0245,2.979,1.8995,3.0115,4.161,4.052,1.6935,3.955,6.31765
"3",1952,2.6225,3.0115,2.9685,2.699,2.7575,3.6735,1.8655,5.317,4.1315,4.073,6.36195
"4",1953,-1.217,2.042,-4.1075,0.0590000000000002,1.785,3.4465,3.3175,3.864,3.283,3.3345,4.9081
"5",1954,4.2525,2.4385,1.121,5.094,-0.0590000000000002,4.2885,-0.987,2.5665,2.9415,3.161,6.05945
"6",1955,1.6455,3.67,2.036,2.126,3.3465,4.685,2.12,3.297,3.9495,1.0555,5.556
"7",1956,0.1395,3.8915,2.71,3.416,1.2925,2.5455,1.018,2.0745,3.557,3.125,5.3648
"8",1957,3.0845,2.8355,1.49,2.4225,1.6915,4.6955,1.2215,1.8815,3.225,3.7455,6.31185
"9",1958,2.7955,2.876,2.484,4.564,2.4795,3.6815,0.162,4.8055,3.5335,4.2265,6.07375
"10",1959,3.7775,3.1265,3.163,-1.367,4.1905,3.166,3.4365,2.703,2.771,4.37,6.371
"11",1960,3.0705,3.7475,3.913,1.666,1.9115,2.789,3.7245,2.9505,3.308,3.957,6.10075
"12",1961,2.196,4.227,4.4975,-2.5405,2.5095,2.802,2.364,3.147,2.1645,-0.905,6.21045
"13",1962,2.657,3.2185,2.799,0.2995,3.295,4.9705,0.7235,2.395,-2.432,2.992,5.38505
"14",1963,1.529,2.569,1.1965,2.821,3.7625,-1.573,-3.4855,2.347,2.5855,4.688,4.7992
"15",1964,2.8055,2.093,4.3305,5.4965,3.9875,1.9285,3.246,0.6665,4.601,2.222,6.00975
"16",1965,1.7695,-3.6505,4.2,-2.3925,3.7185,3.009,3.827,0.693,1.1845,4.843,5.5916
"17",1966,1.9855,1.5655,2.7965,0.6395,0.677,1.673,2.1745,3.011,3.216,2.661,5.4699
"18",1967,-1.832,3.1675,1.843,1.591,-0.1565,0.6525,2.288,0.142,1.5145,3.7585,5.92315
"19",1968,0.5395,2.9815,2.199,-1.2035,-0.248,4.1525,2.637,0.936,3.0435,1.673,5.32675
"20",1969,-2.861,5.1855,2.507,-0.0859999999999999,2.565,1.9115,5.1945,5.29,3.7375,2.705,6.2343
"21",1970,3.557,1.8215,-1.49,5.981,1.5015,-1.7265,1.6755,2.372,3.423,1.8435,5.24895
"22",1971,2.098,2.605,1.866,-1.706,1.63,2.1655,-1.2225,2.484,3.0425,-0.8875,5.5229
"23",1972,4.4165,3.4155,4.623,2.233,1.6555,3.8215,1.744,3.5025,4.2605,1.9455,5.57005
"24",1973,3.819,2.498,-1.8355,1.273,1.9715,1.5445,-0.74,2.5735,3.2485,3.6845,6.15905
"25",1974,3.7245,3.416,3.383,-1.4405,5.063,2.852,3.456,3.6315,3.792,2.8035,6.84745
"26",1975,1.585,1.174,-2.4935,0.148,5.42,2.79,3.5975,2.521,0.233,4.2205,6.27025
"27",1976,1.822,3.3695,2.009,0.489,2.897,3.2045,2.3485,2.202,2.1595,4.2315,5.54885
"28",1977,2.912,3.1375,2.9775,2.6695,3.3705,3.0475,1.4835,1.597,3.147,2.5505,5.53325
"29",1978,2.221,-0.2735,3.2555,4.3045,1.481,-3.0125,-0.8285,4.6945,3.778,2.5755,6.0719
"30",1979,3.144,3.058,2.703,2.837,3.6935,4.1965,2.5075,1.157,-1.5705,4.1825,5.35615
"31",1980,4.1945,4.201,1.5385,2.141,3.108,0.4915,3.304,3.027,2.6685,2.5655,5.8457
"32",1981,4.136,3.419,5.6585,3.7715,-3.5835,1.079,1.0375,2.58,2.158,2.9615,6.46585
"33",1982,3.0815,4.574,4.144,-0.2335,0.587,2.872,2.74,3.695,3.034,2.948,5.87285
"34",1983,3.907,3.195,2.8835,4.312,-0.0945,3.898,0.601,0.477,2.835,-0.7785,6.2758
"35",1984,2.649,3.467,-2.7605,0.7345,5.283,2.7785,0.707,4.7165,4.163,3.229,5.6947
"36",1985,2.719,2.079,3.7155,3.185,2.9695,1.5785,4.324,1.261,-1.426,2.9165,5.81265
"37",1986,1.393,1.294,-2.066,5.575,4.1095,2.8155,4.0535,0.535,4.982,2.1595,5.6509
"38",1987,2.0805,2.6035,3.156,3.772,3.843,2.4315,0.693,3.64,3.866,3.4805,6.277
"39",1988,3.8075,0.1385,3.814,4.687,3.569,0.0305,4.2165,2.7455,3.083,3.585,5.9422
"40",1989,0.1595,3.4855,2.0625,4.089,2.009,-1.637,4.378,3.1665,4.762,2.6595,5.91015
"41",1990,2.8105,4.993,-1.271,2.9735,2.6825,-0.1175,2.5825,-5.5165,2.732,2.84,5.6486
"42",1991,1.937,-2.8345,3.432,2.417,4.9845,0.166,2.491,5.231,3.1145,3.9675,5.65475
"43",1992,2.25,3.023,-1.759,-2.7875,2.047,3.9935,2.349,3.4685,3.5745,5.004,6.117
"44",1993,4.01,3.797,-0.238,1.982,0.765,-0.000500000000000167,3.337,3.0925,3.6985,3.754,5.7164
"45",1994,1.188,4.4035,0.0994999999999999,0.9275,1.2995,3.8825,1.9285,2.675,1.7465,3.9505,5.7589
"46",1995,2.7325,4.3085,1.721,0.6435,2.287,1.388,4.0785,1.182,4.758,3.274,6.14985
"47",1996,1.721,5.04,5.4015,3.77,5.1985,1.5025,0.769,3.295,3.7405,2.4875,7.14445
"48",1997,2.937,2.2505,3.661,4.037,6.1965,2.7825,0.9545,3.3555,4.671,4.2025,7.21535
"49",1998,4.2455,5.058,2.8995,3.2985,3.859,2.984,4.7465,4.3295,5.382,3.874,6.7737
"50",1999,4.051,3.953,3.7385,2.498,3.708,-4.039,2.822,1.089,2.743,5.219,6.0613
"51",2000,5.3715,4.4875,1.8675,-1.3975,3.992,2.357,-1.456,3.209,2.015,3.0475,6.0147
"52",2001,3.301,3.479,5.004,4.8955,4.455,-0.25,0.9785,2.192,2.1215,2.087,5.75685
"53",2002,4.749,4.4765,4.64,2.26,4.545,-0.5185,2.3835,5.009,5.8525,-2.778,5.8764
"54",2003,-3.885,1.663,4.126,0.8335,4.189,2.9065,2.688,1.783,-2.1355,3.5935,4.7717
"55",2004,3.7645,4.2895,5.206,4.5475,3.9945,0.5865,1.5795,3.648,2.0195,5.475,6.44835
"56",2005,3.5985,5.7525,5.465,2.674,-3.3755,5.735,3.627,3.9895,3.9195,2.2415,7.1333
"57",2006,3.4255,3.6855,3.2495,5.328,2.309,1.355,4.0195,2.2745,3.1435,3.5665,6.2123
"58",2007,1.421,4.942,2.6585,3.705,3.135,4.0495,2.4745,4.0445,0.6375,2.186,6.307
"59",2008,3.237,4.7905,3.783,-1.5535,3.751,5.218,3.428,3.36,3.0245,-5.591,6.11
"60",2009,2.855,5.2275,4.8425,1.2065,3.2225,5.1605,4.1785,4.3335,2.9725,2.3255,6.6855
"61",2010,3.2075,3.7465,1.624,6.2625,4.551,3.7265,1.6255,4.498,2.947,2.427,6.0282
"62",2011,5.0185,6.002,4.3965,6.269,4.1265,3.892,2.2175,0.9945,1.936,1.834,6.7369
"63",2012,2.5325,2.3865,5.574,3.338,2.2705,7.1005,3.5645,4.21,2.9865,4.7795,6.7852
"64",2013,5.276,4.65,3.302,2.226,4.1695,-0.902,3.8515,2.067,3.215,4.932,6.9719
"65",2014,2.623,4.307,3.6365,6.0985,5.531,2.9075,2.4565,5.9095,3.8235,2.3025,7.84465
"66",2015,5.2325,5.34,5.085,-4.2615,3.3935,1.1,3.473,3.0725,4.011,4.0985,7.2535
"67",2016,2.336,1.3735,4.4525,1.776,4.9225,4.2535,0.591,7.053,2.3165,2.374,6.87935
"68",2017,5.199,4.8925,6.389,3.139,3.461,4.42,-0.1985,-0.2185,4.9905,4.0985,6.38485
"69",2018,3.342,5.878,3.707,3.587,2.7795,5.832,4.3895,3.3165,4.3445,3.872,6.98455
"70",2019,1.8025,4.2465,5.9685,2.762,3.175,4.1205,2.349,2.936,3.443,3.1555,6.96805
"71",2020,3.9245,5.7595,4.099,2.353,3.9845,-2.45,4.188,-0.1745,3.378,4.1025,6.7566
"72",2021,4.626,6.355,6.352,3.68,2.6735,3.3265,2.5735,3.242,3.4985,4.8275,7.6722
"73",2022,4.277,5.137,1.383,6.3625,1.7995,-1.235,3.2405,6.147,2.514,0.842,7.1733
"74",2023,4.058,5.0565,2.079,5.731,4.5445,3.5935,5.103,4.094,5.764,1.9545,7.55375
"75",2024,4.4615,5.538,0.8045,3.039,5.5495,3.07,3.117,2.616,3.1,4.644,7.787
"76",2025,3.6525,4.8045,3.547,4.5645,1.2285,3.341,5.016,6.464,4.994,4.559,7.7796
"77",2026,2.6925,6.3505,4.354,4.127,4.7245,3.1745,5.1105,5.8125,6.0645,4.705,7.7695
"78",2027,5.4025,6.491,5.8685,2.585,3.276,1.0345,2.312,3.5835,3.9165,3.651,6.82175
"79",2028,4.284,1.198,5.9305,4.454,5.376,2.248,4.7315,5.3385,4.5935,5.229,7.76745
"80",2029,5.978,6.1485,5.0765,4.764,3.8845,4.2605,5.2685,3.5865,3.008,4.4215,7.6492
"81",2030,4.0135,7.441,4.0335,6.203,5.426,-1.64,4.716,6.171,5.439,5.8635,8.4586
"82",2031,5.1885,7.111,4.291,5.641,3.78,3.6085,3.559,7.066,4.7465,5.513,8.69555
"83",2032,-1.1435,6.807,6.9255,-0.593,5.059,2.396,-0.00999999999999979,4.765,5.3325,5.328,6.9015
"84",2033,4.989,4.736,4.9705,5.811,3.283,6.031,0.6145,5.949,4.46,4.0075,8.20865
"85",2034,3.1975,2.5755,5.37,5.2465,4.761,4.6575,-0.277,4.929,7.145,2.9105,8.2583
"86",2035,4.645,5.4085,3.3155,4.092,5.0065,4.6065,3.3555,4.656,3.5115,-0.6765,8.1936
"87",2036,5.2805,5.344,5.507,2.4995,6.4475,6.6325,2.2215,4.39,4.0425,4.5095,7.50995
