"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,-5.1085,-6.9225,-4.538,-4.666,-9.438,-4.857,-8.2645,-6.4145,-6.762,-6.1805,-2.6537
"2",1951,-9.515,-7.674,-6.3755,-6.417,-8.1735,-6.686,-6.2975,-5.499,-7.911,-6.0505,-2.72555
"3",1952,-8.181,-6.7915,-7.032,-7.3235,-7.489,-7.015,-8.313,-4.019,-5.2925,-7.206,-2.442
"4",1953,-9.7385,-7.3375,-11.303,-10.5285,-8.203,-6.196,-5.3525,-4.423,-4.6305,-7.011,-4.17635
"5",1954,-5.949,-6.597,-7.9115,-3.714,-9.599,-6.0245,-10.078,-4.3365,-4.4175,-8.6465,-2.87335
"6",1955,-9.641,-6.7495,-5.18,-7.993,-6.355,-3.7575,-7.3265,-3.736,-5.735,-8.264,-3.1343
"7",1956,-10.033,-4.2645,-5.29,-5.743,-9.3125,-6.0985,-7.8255,-7.693,-5.9855,-5.8075,-3.2548
"8",1957,-6.0915,-6.148,-10.342,-8.5485,-7.7795,-4.0345,-8.9725,-7.6105,-7.17,-7.0635,-2.91085
"9",1958,-5.874,-5.0135,-8.195,-6.1955,-8.48,-7.2395,-11.339,-3.996,-5.93,-6.003,-2.63985
"10",1959,-6.213,-6.116,-8.1615,-10.402,-6.6185,-5.2805,-6.0835,-6.2625,-8.715,-6.0375,-2.5264
"11",1960,-6.1435,-6.077,-5.7025,-7.447,-8.736,-8.394,-5.782,-4.1095,-6.1485,-5.1065,-3.00815
"12",1961,-5.4135,-5.6345,-4.6325,-12.445,-6.49,-6.485,-6.3665,-6.472,-8.0995,-10.901,-2.38505
"13",1962,-8.2595,-3.85,-7.56,-9.038,-4.564,-3.989,-9.212,-8.0035,-9.1645,-6.365,-2.96195
"14",1963,-9.0005,-6.279,-8.385,-7.9455,-5.2155,-10.082,-13.7335,-8.7555,-5.5985,-3.1295,-3.32395
"15",1964,-7.0115,-6.8775,-6.3725,-3.011,-5.342,-9.8075,-6.524,-6.9195,-5.346,-5.7055,-2.62975
"16",1965,-7.1275,-12.3485,-5.0905,-13.08,-5.404,-6.616,-6.285,-8.9325,-9.124,-4.951,-2.89985
"17",1966,-7.3285,-6.823,-7.5015,-10.0665,-9.1315,-7.146,-6.663,-7.6025,-5.511,-6.4415,-3.1465
"18",1967,-10.0935,-5.026,-7.1565,-7.211,-8.178,-7.5315,-7.3725,-11.847,-7.8475,-5.7165,-3.42225
"19",1968,-9.759,-7.5595,-6.508,-9.552,-9.4385,-6.025,-7.6175,-7.816,-6.6755,-7.9235,-3.48115
"20",1969,-10.747,-5.166,-7.244,-8.356,-7.2055,-5.7145,-5.199,-4.8375,-5.2485,-6.257,-2.02015
"21",1970,-4.148,-5.2205,-12.1835,-5.253,-9.315,-9.701,-10.899,-5.3265,-4.579,-7.1255,-2.97795
"22",1971,-7.8305,-6.571,-5.5185,-11.4535,-7.9805,-7.0825,-11.0735,-5.168,-6.235,-11.122,-3.2887
"23",1972,-5.6525,-5.6795,-6.236,-7.633,-6.9685,-5.556,-9.5115,-6.2845,-5.399,-7.8115,-2.5666
"24",1973,-5.2965,-4.258,-9.5175,-8.6045,-6.1755,-6.9195,-8.932,-7.1715,-7.27,-6.7435,-2.83135
"25",1974,-5.6835,-5.9775,-6.3855,-8.872,-3.178,-4.871,-5.146,-5.864,-6.1355,-6.0345,-2.46795
"26",1975,-8.377,-8.516,-11.173,-10.3265,-4.6845,-7.449,-7.936,-6.1645,-6.9055,-4.902,-2.98705
"27",1976,-7.6225,-6.333,-8.161,-7.512,-6.136,-6.2775,-5.9495,-6.825,-5.296,-5.0685,-3.50475
"28",1977,-8.0515,-6.096,-6.7955,-5.721,-5.8655,-5.784,-8.3415,-6.25,-6.93,-6.3725,-3.1208
"29",1978,-5.6055,-7.1835,-6.384,-5.336,-6.4655,-13.475,-10.8,-4.316,-4.8125,-8.9305,-2.8724
"30",1979,-6.169,-5.2615,-7.891,-7.016,-5.194,-3.801,-6.8185,-9.6015,-10.045,-6.6455,-4.36955
"31",1980,-4.079,-3.9315,-8.684,-7.565,-5.6695,-8.5735,-6.211,-6.6885,-6.813,-7.8425,-3.19655
"32",1981,-4.696,-5.8555,-2.946,-5.819,-12.403,-6.6135,-7.7925,-5.229,-5.868,-5.726,-2.4224
"33",1982,-5.947,-5.3245,-4.145,-11.2935,-9.0665,-6.909,-6.5645,-5.0385,-4.8175,-5.993,-2.90805
"34",1983,-5.111,-6.2965,-7.2145,-5.2605,-10.3275,-6.628,-8.0225,-9.684,-7.49,-10.4045,-2.4581
"35",1984,-6.382,-5.7915,-10.4405,-7.794,-4.6475,-6.736,-9.652,-4.5415,-7.033,-5.883,-2.85345
"36",1985,-6.5295,-6.2825,-5.506,-7.348,-5.4095,-8.137,-5.044,-7.496,-13.6075,-8.0915,-2.9274
"37",1986,-7.4195,-8.438,-11.947,-6.144,-4.537,-7.8285,-5.707,-7.0735,-3.203,-8.465,-2.72755
"38",1987,-7.7045,-6.9215,-7.865,-5.939,-5.854,-7.06,-9.028,-5.9135,-6.0215,-5.719,-2.3853
"39",1988,-4.439,-10.2815,-6.046,-4.4525,-5.624,-7.9485,-7.201,-5.891,-6.1605,-4.4535,-2.38405
"40",1989,-7.518,-6.0935,-8.0865,-4.2955,-6.5535,-8.966,-5.1945,-6.8595,-4.7865,-6.8365,-3.152
"41",1990,-6.31,-5.953,-10.5365,-6.871,-6.4315,-9.433,-9.16,-11.3795,-6.259,-6.749,-2.67865
"42",1991,-5.3205,-13.8895,-5.6805,-7.597,-3.7745,-8.9685,-6.5725,-4.253,-6.7185,-4.1415,-3.7162
"43",1992,-7.164,-6.151,-12.4805,-13.886,-7.214,-4.9105,-8.6025,-6.53,-5.526,-4.828,-2.2695
"44",1993,-5.1665,-5.5085,-8.7245,-7.8215,-8.853,-10.392,-5.915,-5.017,-4.856,-5.129,-3.4709
"45",1994,-6.72,-4.565,-9.585,-8.376,-9.063,-6.427,-7.344,-7.0225,-8.1285,-4.7125,-3.0823
"46",1995,-5.8495,-5.3185,-7.205,-8.0115,-7.8545,-10.456,-6.085,-6.1695,-4.744,-7.2655,-3.86645
"47",1996,-7.594,-3.813,-5.0305,-5.241,-4.745,-9.4485,-8.34,-7.2255,-7.7785,-6.6455,-1.86635
"48",1997,-7.7775,-6.4465,-5.8615,-6.3815,-2.9995,-6.0815,-10.141,-5.231,-4.621,-5.607,-1.9525
"49",1998,-7.3445,-6.676,-5.681,-6.116,-5.0315,-5.3155,-3.529,-5.6155,-5.1655,-6.2865,-2.191
"50",1999,-5.419,-4.8525,-5.752,-8.5215,-5.985,-14.5595,-6.26,-9.006,-6.7065,-4.046,-2.3803
"51",2000,-4.7325,-5.38,-7.923,-11.863,-5.944,-7.061,-13.0935,-6.7465,-7.7305,-6.8165,-2.67885
"52",2001,-6.0545,-6.5485,-3.6885,-2.959,-5.7775,-8.2685,-9.911,-6.8625,-7.689,-6.3925,-3.22915
"53",2002,-4.59,-5.4115,-5.2915,-6.6525,-5.6785,-8.004,-8.6455,-3.4345,-2.58,-10.63,-2.73655
"54",2003,-11.913,-5.693,-2.851,-8.605,-4.86,-7.4905,-5.575,-6.4995,-11.8755,-5.6285,-3.8022
"55",2004,-6.4795,-5.0885,-4.894,-5.4715,-7.1685,-8.961,-8.016,-4.8135,-6.1835,-2.858,-2.5906
"56",2005,-4.7305,-3.4765,-4.205,-5.7455,-12.9215,-6.751,-4.8755,-6.392,-6.206,-7.281,-1.65605
"57",2006,-4.7065,-3.657,-6.2665,-3.9335,-6.215,-7.235,-5.729,-6.4245,-8.069,-4.573,-2.65755
"58",2007,-6.866,-4.3695,-7.892,-4.7895,-4.9355,-5.0085,-5.457,-4.194,-9.565,-7.8735,-2.53535
"59",2008,-7.055,-4.5435,-6.1595,-12.8185,-4.7255,-4.1985,-5.9625,-7.6465,-5.8275,-14.3085,-2.5644
"60",2009,-5.0435,-2.5945,-3.288,-7.719,-5.747,-4.0865,-5.1675,-5.3935,-5.7235,-6.0635,-2.08865
"61",2010,-7.1095,-4.403,-7.0205,-3.1285,-5.007,-5.3895,-7.811,-4.3755,-7.5315,-6.6475,-2.6548
"62",2011,-3.2515,-3.863,-4.553,-4.4475,-4.7135,-5.106,-6.4415,-6.1655,-6.2665,-6.811,-2.06215
"63",2012,-6.0575,-6.6825,-4.706,-9.22,-6.5995,-2.1415,-6.021,-4.867,-5.0065,-5.23,-1.7795
