"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1.976,1.199,2.6895,3.0035,0.243,3.542,1.7225,-0.271,-0.516,0.6875,5.65685
"2",1951,-0.464,0.987,1.099,1.9005,0.263,1.383,3.747,2.6325,0.1805,2.523,5.5655
"3",1952,1.0595,-0.1465,2.79,1.4885,1.4395,1.5975,0.5945,1.5585,3.343,3.9835,5.74515
"4",1953,1.063,2.228,-4.373,-0.8825,1.432,1.3195,2.7245,2.028,4.2505,2.0025,4.4649
"5",1954,3.145,1.8145,0.8965,4.0215,-0.0274999999999999,3.397,0.2205,1.7725,3.4315,1.6825,5.6123
"6",1955,-0.169,2.557,1.1935,1.6475,2.96,4.401,1.6345,2.4645,2.364,0.4085,4.2465
"7",1956,-0.2055,1.5515,1.577,1.3325,1.03,1.4985,0.85,0.6255,3.013,2.191,5.073
"8",1957,1.3,1.6875,-1.5505,-0.568,-0.135,4.2205,1.473,1.4665,3.0395,1.0705,5.1009
"9",1958,-0.3715,1.5945,2.0235,2.524,1.8115,1.585,0.926,4.054,0.675,2.9005,5.4586
"10",1959,2.508,2.843,1.4635,-0.22,4.506,1.3265,2.556,0.838,2.007,2.3435,6.02675
"11",1960,2.129,1.276,1.382,1.0735,1.791,0.908,2.933,1.804,-2.0435,3.2775,5.11035
"12",1961,2.9295,3.6565,1.472,-3.2085,1.9215,1.9925,4.2295,2.636,-0.0149999999999997,1.002,5.1494
"13",1962,1.735,3.5415,3.699,1.1955,2.5225,2.478,2.4115,0.1495,0.5095,1.016,5.4296
"14",1963,-1.0975,3.1775,0.594,2.326,2.1975,-1.0735,-2.7125,0.208,2.136,4.33,4.63395
"15",1964,2.744,2.8955,2.882,2.8135,2.854,2.045,1.785,1.0775,3.004,2.357,5.1069
"16",1965,0.648,-2.3245,3.053,-0.4965,1.7525,1.6395,2.7825,1.7145,-0.108,3.0925,5.2481
"17",1966,0.547,-0.7765,0.547,-1.1045,1.3605,1.1995,1.018,0.0214999999999996,1.556,1.1905,4.7706
"18",1967,0.377,0.3395,1.3115,2.4815,-0.627,0.8065,1.23,1.2365,1.171,2.323,5.2894
"19",1968,0.4395,2.641,0.842,-2.8515,0.3115,3.1355,1.3505,0.472,1.137,1.3255,4.48535
"20",1969,-2.053,5.033,2.23,-1.0035,1.3935,2.084,2.3,3.754,2.704,2.673,5.34525
"21",1970,3.0295,1.5885,-2.8865,4.6655,1.156,0.437,0.833,2.5075,1.678,0.934,5.17795
"22",1971,1.463,1.1255,1.162,-1.392,0.654500000000001,1.8785,0.0539999999999998,2.132,0.9185,0.6885,5.1052
"23",1972,3.534,2.2345,2.8155,2.322,2.218,2.4295,0.642,0.145,2.485,-1.312,5.14505
"24",1973,2.694,0.8355,1.308,-0.0289999999999999,-0.9385,1.816,-0.016,-3.017,1.6325,2.623,5.52585
"25",1974,3.2165,3.02,0.994,2.165,4.4495,2.462,4.1885,0.9435,0.738,1.868,6.5682
"26",1975,-0.362,0.7455,1.546,-0.0470000000000002,3.8855,1.858,1.598,0.8025,-1.245,3.292,6.05975
"27",1976,1.021,2.045,2.1645,-0.913,2.0045,1.4635,-0.4625,0.8045,0.9145,2.4835,5.2577
"28",1977,4.2595,1.3295,1.309,1.867,1.3,2.338,0.163,1.306,1.081,2.2045,5.7147
"29",1978,1.8095,-1.323,1.6335,2.092,0.1355,-1.617,-0.763,3.567,1.6275,1.9525,4.6099
"30",1979,2.675,1.1945,1.956,-0.1805,2.7105,2.4375,4.038,1.6365,-0.916,2.761,4.8513
"31",1980,3.742,3.182,-0.615,0.6725,1.144,-0.3565,1.348,2.0325,-1.702,2.707,5.74025
"32",1981,2.99,2.7165,3.3465,3.0865,-3.1255,0.2255,2.0985,1.4735,-0.3375,2.695,5.8124
"33",1982,1.177,3.661,3.191,1.7935,-0.3465,2.3775,0.124,0.3985,1.455,2.2025,4.82465
"34",1983,1.56,1.1645,2.1225,3.2675,0.5805,2.255,0.995,-0.387,1.451,-0.6115,6.0508
"35",1984,0.9965,3.2845,-1.484,-0.181,4.1065,0.548,0.747,2.6245,2.3925,2.703,5.1376
"36",1985,2.5415,3.03,2.728,2.6345,2.5815,-0.294,2.2735,1.4965,-1.185,2.3625,5.47735
"37",1986,0.5225,-0.4305,-3.858,3.4515,1.6465,2.7605,1.7835,2.342,4.689,-2.199,5.30415
"38",1987,1.6375,3.178,1.694,2.6895,-0.6895,1.715,1.294,-0.0135000000000001,-0.744,2.762,5.239
"39",1988,3.5125,-2.705,1.618,4.553,2.209,1.8015,2.797,0.741,1.2575,2.06,5.8277
"40",1989,1.1495,3.175,0.995,2.3305,3.3585,-1.449,3.359,4.466,2.274,1.4125,5.63975
"41",1990,-0.1415,3.125,-0.745,2.27,2.8585,-0.3915,3.1635,-0.8755,1.757,1.1225,6.04965
"42",1991,1.1995,-0.6365,1.514,2.0895,3.2935,-0.489,2.4005,2.5445,0.8635,1.6165,4.4479
"43",1992,1.2425,0.5085,-2.4965,-0.0089999999999999,-1.0975,2.8845,3.469,2.518,0.302,2.249,5.7984
"44",1993,1.5225,1.2895,1.52,1.871,-0.758,-0.113,1.214,1.817,2.835,3.2075,4.14875
"45",1994,-2.121,2.027,-1.7285,-0.871,2.1065,2.189,0.3525,1.3335,-0.316,3.7375,5.2341
"46",1995,0.406,2.774,0.995,0.0785,0.8255,0.498,2.121,3.3045,3.7405,1.8715,5.43725
"47",1996,1.047,2.8295,5.5865,2.0625,2.845,5.109,-0.8755,4.063,2.314,0.551,6.3698
