"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,2.17,1.533,2.541,3.522,0.8105,3.5165,0.4855,0.1665,-0.5635,0.57,5.4644
"2",1951,-0.0415000000000001,-0.6485,3.1265,2.551,0.78,1.4,2.9495,1.5705,0.128,3.1395,5.36655
"3",1952,1.335,0.2485,3.521,0.494,1.7325,1.321,0.7485,2.91,2.4065,4.015,5.48675
"4",1953,2.086,1.7865,-6.73,-1.2215,1.607,1.2285,2.1445,3.5775,4.4755,3.3695,4.70385
"5",1954,2.9715,3.6515,0.7255,4.295,0.713,3.041,-0.662,0.6555,4.335,0.831,5.7613
"6",1955,-1.356,2.223,1.4075,2.2205,3.018,4.3295,0.703,1.922,1.964,-0.397,4.5522
"7",1956,-0.52,2.026,3.16,2.022,-0.266,1.8805,-0.97,0.422,2.6175,1.8775,4.4656
"8",1957,1.746,3.201,-1.3575,-0.9785,-0.2025,2.818,0.8695,1.768,3.423,1.2525,4.96215
"9",1958,1.3815,3.3345,1.9055,2.106,1.8535,0.4585,0.786,3.725,1.5745,4.102,5.7945
"10",1959,2.104,2.9215,1.6815,0.032,4.758,1.8685,3.2795,1.3095,-0.717,3.4975,6.30255
"11",1960,1.2035,0.8845,2.258,0.255,0.297,1.097,2.849,3.2305,0.1665,2.4135,5.26665
"12",1961,3.222,3.028,2.459,-2.622,0.862,1.1335,3.149,1.2815,-0.953,-0.4325,4.88365
"13",1962,2.6635,2.992,1.8225,0.081,1.473,2.925,1.597,1.164,-1.6485,2.47,4.97815
"14",1963,0.5975,0.931,0.8215,3.2035,2.2805,-1.7105,-3.6525,-1.399,1.8145,3.516,4.07595
"15",1964,1.957,2.8315,3.0315,3.468,3.28,2.1075,2.9555,0.0829999999999997,3.2565,2.468,5.5626
"16",1965,1.37,-1.174,3.264,-3.3485,2.4735,2.0325,0.841,1.2715,2.1955,4.1525,5.4498
"17",1966,0.649,-0.1035,1.4335,-1.565,0.8145,2.7,2.021,1.0625,2.805,1.4335,4.6489
"18",1967,-2.056,1.579,1.666,2.2765,-0.579,0.1945,1.4435,2.969,0.589,2.301,5.19075
"19",1968,0.455,2.6985,0.9115,-0.7355,-1.969,2.599,2.183,0.1475,2.534,2.149,4.839
"20",1969,-1.062,6.0005,1.3795,-1.114,1.1335,1.266,2.6375,3.3635,3.4585,3.573,6.07705
"21",1970,1.325,0.99,-4.209,4.0255,0.786,-0.952,0.4665,-1.626,2.805,0.549,4.9234
"22",1971,1.7165,1.959,0.924,-2.6865,0.4875,2.636,-1.257,0.47,1.606,-1.2585,4.99145
"23",1972,3.988,1.8665,3.725,1.759,1.8815,3.293,0.7165,1.335,0.661,-2.7285,4.9991
"24",1973,2.7305,2.1585,1.5445,0.1325,0.11,1.7825,0.377,-2.916,0.9025,1.6525,5.4521
"25",1974,1.6165,2.4625,1.8365,-0.775,3.8205,1.172,3.594,2.09,1.935,1.4115,6.6203
"26",1975,-0.523,0.9815,1.665,0.821,3.981,1.3845,2.7405,2.53,0.587,4.0755,5.85305
"27",1976,1.5205,2.266,0.9305,0.2925,3.7335,2.7775,-0.608,0.2075,1.21,2.1275,5.5804
"28",1977,3.1985,0.8875,1.003,1.716,1.088,2.3685,-0.7055,1.7225,-0.1125,2.5445,5.43865
"29",1978,1.6755,-0.287,1.4485,2.7445,0.186500000000001,-3.42,-1.4955,3.092,0.5225,0.863,4.8364
"30",1979,3.7555,3.2405,1.32,-0.5,3.102,2.8215,3.742,1.638,-2.38,2.5505,4.6552
"31",1980,4.0175,3.5705,1.472,0.7325,1.015,-0.663,2.5665,3.3475,0.756,0.6055,5.31525
"32",1981,2.8745,3.2425,5.165,3.3975,-4.632,1.2515,2.137,1.8675,1.3235,2.9965,6.00925
"33",1982,2.2935,3.39,2.6415,1.3035,-1.0805,3.161,0.399,1.455,-0.0655000000000001,2.727,5.18395
"34",1983,2.8745,1.5885,2.572,3.562,-1.359,1.8455,1.1905,-3.2925,-0.024,-1.5355,5.9286
"35",1984,0.266,3.146,-2.71,0.13,3.9455,0.1485,0.2385,3.9455,0.722,2.185,5.06095
"36",1985,3.16,2.051,1.9385,2.12,2.366,-0.6135,1.7555,0.312,-0.319,2.369,5.5449
"37",1986,0.488,0.0829999999999997,-2.297,3.8695,2.415,3.6785,2.126,3.822,3.865,-1.51,5.60885
"38",1987,0.5905,2.8295,1.679,3.012,-0.0894999999999997,1.084,1.8315,-0.971,2.436,2.3415,5.06785
"39",1988,2.648,-3.5745,2.635,4.6785,2.2985,1.4475,2.7995,0.887,0.3765,1.5595,5.34375
"40",1989,0.0555000000000003,3.13,0.9905,3.1445,2.623,-2.122,3.254,3.872,2.6895,0.78,5.49835
"41",1990,0.839,3.701,-1.833,2.325,2.4345,-1.221,1.963,-0.0600000000000001,1.8315,1.997,6.11365
"42",1991,1.325,-1.2365,1.559,1.57,4.0625,-1.8375,2.674,3.762,0.402,4.456,5.0124
"43",1992,2.423,0.487,-3.3065,-1.667,-0.231,0.8915,3.027,3.4265,1.5715,3.343,5.94255
"44",1993,1.538,3.645,0.666,2.323,1.202,-1.0065,1.527,1.561,3.636,3.49,5.0923
"45",1994,-0.491,2.835,-1.0135,-0.429,1.444,1.6055,0.5155,0.988,-0.4095,2.6695,5.41285
"46",1995,0.2765,2.996,0.0700000000000001,-0.357,1.0995,-0.5,1.7595,1.886,3.8945,1.6505,5.6036
"47",1996,0.0754999999999999,4.964,3.6885,2.6565,3.8785,1.7865,-0.4445,2.79,3.6795,0.995,5.889
"48",1997,2.303,1.457,1.764,3.465,5.2545,0.1785,-0.248,3.5435,3.0225,5.02,7.1034
"49",1998,4.3575,2.6525,2.312,2.617,2.2175,4.619,4.5065,2.543,4.8875,2.4215,6.1472
"50",1999,2.106,2.9895,3.7525,2.2245,1.142,-4.99,1.2405,1.588,-1.9235,3.476,5.68
"51",2000,3.4875,3.447,-0.565,0.1175,3.7945,0.2585,-1.817,-0.9235,-0.252,2.369,5.04725
"52",2001,2.6635,2.4035,4.8585,4.038,3.2985,-0.503,0.2175,0.2745,1.766,1.8875,4.857
"53",2002,4.372,1.0725,3.9645,0.4895,3.5505,-0.834,1.3335,3.5555,2.919,-2.817,4.4814
"54",2003,-3.077,2.078,4.5715,0.9055,3.092,-0.324,2.5475,0.463,0.199,1.5165,4.6393
"55",2004,1.7815,3.4695,3.5575,2.9505,0.9505,1.132,1.934,4.028,2.763,5.067,6.89715
"56",2005,2.571,3.8265,4.2105,3.0995,-2.868,5.817,2.152,1.98,2.087,0.4595,6.0522
"57",2006,2.739,2.242,1.7635,4.075,3.041,0.124,3.358,-0.4685,-0.7105,3.245,5.8415
"58",2007,0.1225,2.4985,3.5015,3.869,2.3545,2.5115,0.9025,1.375,-1.981,0.95,5.34425
"59",2008,1.258,4.108,3.6645,-0.4915,3.296,1.403,3.6185,3.208,0.8615,-3.0285,5.2729
"60",2009,2.51,2.886,4.961,0.2405,4.803,3.16,4.225,4.645,2.2375,2.4345,6.71125
"61",2010,1.455,2.4335,2.37,5.064,3.4525,3.6205,0.3425,3.403,-1.185,0.978,5.24105
"62",2011,3.9845,3.2875,3.5335,3.813,3.6725,1.971,3.3755,2.127,2.8145,1.434,5.8959
"63",2012,1.805,2.5645,3.4865,0.9225,0.431,4.354,1.773,3.351,1.595,5.1415,6.2773
"64",2013,2.811,3.75,2.5455,0.9855,3.3665,-1.475,3.489,3.392,3.001,2.271,6.76865
"65",2014,2.499,3.9285,3.5095,3.576,5.32,2.4315,1.1605,5.129,3.1995,1.443,7.25695
"66",2015,3.872,4.4065,3.908,-7.816,1.9165,1.4055,2.4975,4.1225,1.4,3.3495,7.0032
"67",2016,-0.9775,2.965,2.982,3.283,3.0675,3.9245,0.5095,3.9075,0.843,1.3475,6.1184
"68",2017,2.9915,4.336,4.36,2.7685,2.588,6.456,-0.7875,-2.8145,2.491,1.6925,5.65545
"69",2018,1.968,5.1925,3.442,3.693,3.913,4.9085,5.0545,2.7455,1.6565,1.592,6.6284
"70",2019,2.276,1.3135,4.47,-0.0980000000000003,1.303,1.5385,1.6885,3.4005,-0.4165,3.134,5.8768
"71",2020,2.8725,3.7045,3.096,1.3835,3.176,-0.8675,3.908,0.3145,0.5585,3.4445,5.4299
"72",2021,2.5745,4.464,4.9115,4.5705,-0.142,2.5345,2.2795,1.3225,2.654,4.022,6.14205
