"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1.249,0.203,2.1655,3.049,-2.702,3.954,0.5705,0.459,-0.6335,-0.0260000000000002,5.2139
"2",1951,-2.264,-0.8175,1.521,2.4455,-0.1315,1.5535,1.277,1.5815,-2.1225,1.711,4.856
"3",1952,0.0745,1.0945,2.9565,1.911,0.8365,1.145,-0.716,1.7215,1.996,3.5665,5.1698
"4",1953,0.1885,2.274,-2.9325,-1.0465,1.6075,2.1265,2.257,4.039,3.4275,2.2495,4.4506
"5",1954,3.528,2.126,0.508,3.5785,0.392,1.462,-2.355,1.0765,3.3165,-1.151,5.4711
"6",1955,-0.872,1.343,1.33,1.423,3.0655,4.3055,2.136,2.0025,3.335,-1.614,4.8419
"7",1956,-2.0265,2.3855,2.1985,2.701,-0.0324999999999998,1.0045,-1.479,-0.4125,2.381,3.4665,4.69415
"8",1957,0.9775,1.244,-0.5895,0.4765,0.74,3.7195,0.2405,0.844,2.6415,1.6865,5.06765
"9",1958,0.5095,2.5825,2.928,1.584,1.0685,1.1205,0.2785,2.8135,1.857,3.0295,4.9109
"10",1959,0.9715,1.996,1.0765,-1.3265,2.793,1.6145,1.852,2.746,0.888,2.23,5.5328
"11",1960,0.872,2.107,2.0205,0.656,0.707,-1.0575,2.765,2.6855,-1.1485,2.226,4.97515
"12",1961,1.633,3.2535,1.405,-4.1395,1.675,2.0365,3.7875,1.9455,1.1165,-1.1565,4.4506
"13",1962,0.436,3.955,0.8945,0.172,2.566,3.342,0.5475,1.134,0.4635,0.841,4.7022
"14",1963,-1.302,3.7645,0.246,1.945,0.817,-2.936,-3.7535,0.841,2.629,3.7455,4.1809
"15",1964,-0.1495,2.016,1.401,2.869,2.5105,0.5585,1.421,-0.9425,2.872,2.6675,5.4725
"16",1965,0.8305,-3.678,2.5035,-2.789,1.2075,1.629,2.1195,-0.016,-0.1515,2.293,4.96225
