"","Year","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,-1.008,-2.26,-0.141,-0.5475,-4.2155,0.657,-3.5,-2.583,-2.8085,-1.5785,2.07295
"2",1951,-5.399,-2.8185,-1.815,-1.616,-3.013,-1.408,-2.3265,-0.293,-3.3175,-1.5135,2.0827
"3",1952,-3.172,-1.9475,-2.8885,-2.6685,-2.4025,-2.415,-4.1525,1.0425,-1.0015,-3.267,2.3493
"4",1953,-5.6315,-3.3375,-7.165,-5.2575,-3.1555,-1.6325,-0.7175,0.2255,0.8055,-1.455,0.69885
"5",1954,-1.46,-2.3585,-2.4215,1.08,-5.225,-1.447,-5.2105,0.247,-0.0594999999999999,-3.7195,1.7811
"6",1955,-4.732,-2.069,-0.65,-2.9705,-1.346,0.8985,-2.322,0.813,-1.5635,-3.0955,1.88875
"7",1956,-5.877,0.0814999999999999,-0.8575,-1.0715,-4.1235,-1.444,-2.1865,-2.717,-1.111,-1.8155,1.44885
"8",1957,-1.6855,-0.8465,-6.2205,-3.0805,-1.966,-0.2375,-4.3375,-2.9005,-2.6765,-2.78,1.82115
"9",1958,-1.439,-0.5675,-1.865,-2.0455,-3.3105,-1.2295,-7.235,0.679,-1.558,-1.341,2.21605
"10",1959,-0.909,-1.3995,-3.097,-6.067,-1.7025,-0.6255,-1.219,-1.004,-1.547,-1.771,2.49485
"11",1960,-2.1305,-1.6325,-1.3235,-2.287,-3.4815,-3.1675,-1.468,-0.2735,-1.5595,-0.755,1.7909
"12",1961,-1.7415,-0.1455,-0.605,-8.004,-2.0715,-1.8095,-1.5855,-2.074,-2.8465,-5.304,2.3282
"13",1962,-3.5525,1.2155,-2.669,-4.176,-0.259,0.467,-5.0075,-2.9005,-4.1735,-1.4995,1.75745
"14",1963,-3.979,-0.541,-2.7345,-2.1945,-0.1685,-6.1715,-9.742,-3.95,-0.6025,0.752,1.35565
"15",1964,-2.3495,-1.601,-1.537,1.7265,-0.4065,-4.4395,-1.864,-3.112,0.167000000000001,-1.2725,2.20625
"16",1965,-1.8095,-7.401,-0.0800000000000001,-8.1555,-0.988,-1.443,-1.9395,-4.251,-4.3325,-0.3685,1.9374
"17",1966,-3.3955,-2.7395,-2.3635,-5.0045,-4.604,-2.65,-1.8045,-2.565,-0.939,-1.6445,1.44585
"18",1967,-6.286,-0.806,-2.576,-2.1195,-3.311,-2.834,-2.965,-5.6935,-2.722,-0.9115,0.9102
"19",1968,-5.707,-2.8695,-2.0755,-4.61,-4.9995,-1.844,-2.7485,-2.832,-3.3225,-3.7035,1.4118
"20",1969,-6.3995,-0.773,-3.5115,-3.432,-2.1695,-1.0935,-0.5415,-0.226999999999999,-1.226,-1.141,2.5376
"21",1970,0.0365000000000002,-0.6795,-7.078,-0.3775,-4.682,-5.24,-6.876,-0.7335,-0.516,-2.799,1.62355
"22",1971,-2.869,-1.467,-0.9625,-5.654,-3.4385,-1.9225,-5.843,-1.1,-1.829,-6.2935,1.6677
"23",1972,-0.77,-0.2655,-2.102,-2.4775,-2.411,-1.326,-6.329,-1.9265,-1.0135,-3.184,2.11705
"24",1973,-0.9565,0.5665,-4.4655,-4.7495,-2.1105,-2.459,-4.2165,-2.3135,-2.8415,-1.988,1.7623
"25",1974,-0.7755,-0.3905,-1.2505,-5.345,1.594,-0.496,0.1765,-0.8795,-1.077,-2.228,2.41545
"26",1975,-3.75,-3.398,-6.1005,-5.8085,-0.4905,-2.487,-3.147,-1.168,-2.1325,0.1625,1.73995
"27",1976,-3.1085,-1.621,-3.1935,-2.8195,-1.1455,-1.264,-1.424,-2.8815,-0.4835,-0.635,1.37515
"28",1977,-3.7965,-1.876,-1.927,-1.786,-1.4115,-0.9655,-3.26,-1.7175,-2.418,-1.8545,1.6058
"29",1978,-1.7985,-2.3535,-1.7525,-0.5605,-1.6225,-7.973,-6.765,0.3165,-0.22,-4.2425,1.7742
"30",1979,-1.111,-0.0209999999999999,-2.3575,-2.395,-0.768,0.7885,-2.2745,-5.16,-5.8405,-1.6795,0.2763
"31",1980,-0.8745,0.7375,-4.7645,-2.855,-0.788,-3.804,-1.3925,-2.424,-1.2775,-3.25,1.4631
"32",1981,0.607,-0.5945,1.4825,-0.7505,-6.8835,-2.07,-3.8615,-0.969,-1.0695,-0.737,2.32695
"33",1982,-1.5265,-0.8635,-1.041,-6.3095,-4.962,-1.835,-2.4005,-0.753,-0.302,-1.798,1.88285
"34",1983,-0.9625,-1.496,-2.0135,-0.774,-6.6835,-2.551,-2.673,-4.7585,-4.518,-4.279,2.1892
"35",1984,-1.76,-0.391,-6.464,-3.318,-0.2815,-2.705,-5.2355,0.2385,-1.8755,-2.6315,1.8897
"36",1985,-1.9955,-1.9135,-1.0725,-2.405,-1.063,-3.446,-0.7725,-3.1265,-9.21,-2.9185,1.7457
"37",1986,-2.9915,-4.0115,-6.5585,-1.219,-0.3185,-2.9695,-1.024,-2.597,0.866,-4.148,1.9886
"38",1987,-3.026,-1.764,-3.755,-0.657,-2.096,-1.9515,-4.9365,-2.069,-1.9055,-1.805,2.1948
"39",1988,0.472,-4.362,-1.759,0.00349999999999984,-0.749,-3.4445,-1.3755,-1.2305,-1.354,-0.17,2.32145
"40",1989,-3.56,-2.0215,-3.3585,0.1325,-2.4755,-5.274,-0.699,-1.865,-0.0779999999999998,-1.915,1.141
"41",1990,-2.0245,-1.593,-6.2575,-2.0335,-2.0075,-4.519,-4.024,-7.033,-2.59,-1.542,1.8996
"42",1991,-0.8415,-9.156,-1.3515,-2.771,0.6465,-4.1765,-1.3085,-0.272,-1.5295,0.6515,0.9918
