"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,10.861,13.4075,13.7145,11.1365,11.0585,13.2045,12.296,10.8775,10.1785,10.588,8.8792
"2",1950,2,10.218,15.2715,12.668,16.4735,13.14,16.171,12.314,11.1305,15.499,11.9355,10.1436
"3",1950,3,14.6645,14.9895,15.2325,15.6465,14.1465,13.349,17.7375,13.7475,18.478,13.666,11.61985
"4",1950,4,23.3305,19.8325,22.7305,21.5585,19.6055,19.777,21.3335,20.9705,18.3485,20.0225,17.75065
"5",1950,5,24.092,25.643,24.7045,25.2375,21.604,25.5905,27.975,24.671,25.1135,24.875,20.7558
"6",1950,6,26.289,25.8605,25.961,26.21,26.945,28.7735,28.3485,28.6455,27.552,26.7485,23.91265
"7",1950,7,28.9795,28.9945,32.3165,29.206,29.314,27.386,31.0215,30.7045,29.185,30.06,27.20215
"8",1950,8,28.032,31.6755,27.1345,27.9715,27.052,29.494,29.425,27.8245,29.7805,27.0865,26.50375
"9",1950,9,24.0295,26.4915,31.762,25.1885,26.031,26.903,25.789,29.3215,24.9025,22.66,23.40195
"10",1950,10,23.2225,23.1585,21.418,23.879,22.5315,23.3115,17.764,24.0105,22.7195,22.647,18.90835
"11",1950,11,15.7105,15.88,14.595,16.7415,16.2985,16.2325,14.6475,14.899,18.6315,10.6925,13.3176
"12",1950,12,11.602,11.718,9.8285,15.304,10.1545,13.9175,11.9645,9.687,10.2825,10.2725,7.9975
"13",1951,1,12.1845,11.9445,9.875,12.989,10.205,12.8245,16.0315,9.4635,8.2995,10.6605,8.7386
"14",1951,2,12.375,17.8545,11.8635,12.1185,12.206,9.331,13.128,12.5815,14.637,15.2165,10.22805
"15",1951,3,16.0475,13.4305,18.084,15.627,18.1925,13.5305,18.8925,20.7475,18.101,18.87,14.0111
"16",1951,4,20.394,18.356,21.818,16.713,20.199,19.033,19.901,23.8745,20.3265,20.9915,16.1184
"17",1951,5,21.501,21.94,24.321,22.652,21.147,24.0975,24.0745,27.3175,24.3885,24.2825,20.51745
