"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,13.569,15.959,18.2965,14.7345,13.4135,16.6115,14.0245,15.9465,12.8935,13.284,12.22455
"2",1950,2,14.3095,17.2985,15.01,16.8735,14.851,16.873,11.911,14.9425,17.586,14.9225,11.61355
"3",1950,3,15.7655,20.374,14.575,15.987,17.9185,14.244,20.515,14.7195,17.712,13.6705,13.45265
"4",1950,4,20.5125,20.5125,16.628,19.6475,19.3865,15.9235,20.041,19.4525,17.755,14.131,14.7351
"5",1950,5,19.7065,20.6815,19.1555,17.685,15.9725,16.9145,20.679,21.5725,19.4575,18.93,16.8119
"6",1950,6,19.813,19.206,17.6555,17.8445,16.645,19.846,23.6245,20.94,21.584,19.434,18.12745
"7",1950,7,23.2465,19.827,25.7625,21.9835,20.989,20.4255,24.2165,25.6075,22.4975,21.3905,19.51715
"8",1950,8,22.289,23.155,23.467,20.584,23.901,24.2345,23.663,22.171,21.9925,22.149,20.40515
"9",1950,9,23.031,28.0715,27.4595,27.112,23.359,22.181,27.586,24.2295,19.0025,21.217,21.47025
"10",1950,10,20.885,19.709,20.3865,19.4675,20.3005,24.4115,17.556,28.4535,21.681,20.453,18.08465
"11",1950,11,16.4565,14.7115,16.0515,16.3045,15.8105,18.0895,15.86,16.834,17.6605,14.034,14.26555
"12",1950,12,14.8765,15.612,13.596,16.227,14.5325,14.7995,15.7065,10.3325,14.133,12.6165,11.17015
"13",1951,1,17.0945,16.3965,12.7335,16.153,13.403,16.211,17.136,13.1895,14.2515,15.008,11.31955
"14",1951,2,13.9145,15.733,13.877,13.6975,16.6125,11.743,16.9155,15.9105,15.6905,14.8495,11.8478
"15",1951,3,15.4465,14.7645,16.842,16.1245,18.556,13.005,18.7605,17.129,18.087,17.9415,13.43805
