"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,3.777,2.496,4.8565,6.524,-0.4085,6.502,2.142,5.5865,1.923,4.396,6.0323
"2",1950,2,4.836,5.097,6.097,8.8145,4.633,9.34,3.6365,5.897,6.7725,7.3855,8.6252
"3",1950,3,6.4745,7.0035,8.807,9.553,7.127,9.3405,3.836,6.1235,4.2555,9.234,10.1625
"4",1950,4,13.163,5.884,10.7925,13.487,11.182,9.899,11.203,7.53,9.4765,10.514,13.60805
"5",1950,5,12.61,13.5045,15.6565,11.138,12.725,11.8505,11.468,15.4045,12.069,16.062,17.19795
"6",1950,6,17.7625,17.849,16.233,16.5595,13.645,16.891,19.733,19.998,20.652,14.8655,20.5751
"7",1950,7,21.04,21.3365,18.7415,23.7515,23.3615,21.182,22.129,24.2985,20.5,23.546,24.1933
"8",1950,8,17.7265,22.1395,19.437,19.8865,20.0565,20.278,21.964,19.2055,19.1535,18.6085,23.8446
"9",1950,9,17.3895,14.1885,14.3655,18.449,16.287,15.8805,18.9085,16.9735,14.559,14.117,19.117
"10",1950,10,14.7605,12.1765,11.882,9.25,11.8335,15.8655,12.584,14.0475,13.6745,14.7085,15.4246
"11",1950,11,5.0625,4.6335,7.204,7.772,3.988,5.7425,5.114,8.7285,6.6965,6.24,9.17775
"12",1950,12,3.014,3.6835,4.753,4.0715,5.4615,5.309,4.038,2.67,0.3345,0.6695,6.2445
"13",1951,1,1.906,4.096,4.7345,2.979,3.0875,3.3525,4.161,4.052,1.6935,5.2635,6.62
"14",1951,2,5.837,4.838,4.0245,7.333,7.458,3.0115,4.5085,5.832,6.2485,6.4865,8.1278
"15",1951,3,8.2375,8.114,6.6145,7.401,7.0385,5.533,6.611,7.817,7.1275,13.8485,10.86325
"16",1951,4,6.7125,6.027,7.666,8.8215,11.831,6.6785,12.1725,12.907,13.173,9.5735,12.17445
"17",1951,5,7.8005,14.184,14.365,12.8055,10.3185,14.149,13.13,12.3055,15.826,15.1135,16.1247
"18",1951,6,18.2895,21.091,15.9445,15.957,14.1915,17.998,16.088,13.5875,17.2365,16.005,18.81985
"19",1951,7,19.808,20.8665,21.728,22.9665,21.0415,20.8565,19.536,22.6985,22.4885,22.602,24.2775
"20",1951,8,19.803,18.1095,19.5245,19.816,18.1005,17.8595,17.19,23.2165,21.5435,17.7275,22.79685
"21",1951,9,16.1615,15.9615,11.9875,16.4045,16.3175,17.658,16.388,15.688,14.004,15.1815,19.92445
"22",1951,10,15.3175,10.893,14.499,6.8935,12.07,14.066,13.136,12.465,12.3235,13.728,14.50145
"23",1951,11,5.9565,6.7895,5.7715,5.5445,7.9665,6.6715,5.757,6.4195,7.4405,5.764,7.9204
"24",1951,12,4.0765,0.6085,4.1185,5.797,1.8995,3.538,4.2005,8.6525,3.892,3.955,6.31765
"25",1952,1,2.6225,3.1075,5.586,4.32,3.1985,7.2325,1.8655,5.317,4.1315,4.921,6.36195
"26",1952,2,3.8515,6.7625,4.2765,2.699,6.8295,7.908,6.2005,6.993,6.9955,7.307,8.0706
"27",1952,3,6.636,8.7815,5.474,8.8845,3.659,5.363,8.612,7.623,9.0555,8.3165,10.82805
"28",1952,4,10.1855,8.618,7.798,11.955,8.321,3.6735,10.834,8.721,9.1385,10.5215,12.43415
"29",1952,5,11.7535,13.842,13.266,12.196,13.671,10.767,10.9855,11.161,10.366,14.2825,14.57715
"30",1952,6,11.3715,15.071,20.7625,16.7215,17.511,18.6035,18.306,16.764,18.6335,19.46,19.476
"31",1952,7,21.6845,23.6145,22.6275,20.826,19.306,21.173,21.7935,20.1965,22.6025,21.82,25.13155
"32",1952,8,22.3965,15.979,19.4605,18.032,20.085,21.236,18.8445,20.9375,21.8395,17.2135,23.0422
"33",1952,9,14.701,16.6225,15.941,19.101,19.748,15.5835,16.0925,17.9035,19.634,12.338,19.9061
"34",1952,10,10.9985,14.353,11.442,8.26,10.9955,14.5205,8.669,16.82,11.424,12.9685,14.9774
"35",1952,11,5.735,8.6165,4.0005,5.1935,8.2195,7.359,5.8695,7.0625,7.5295,10.111,9.75915
"36",1952,12,4.8055,3.0115,2.9685,3.586,2.7575,3.81,2.0075,5.8425,4.3815,4.073,6.91915
"37",1953,1,-1.217,2.042,1.2825,1.978,1.785,4.2265,3.9205,3.864,3.283,3.3345,4.9081
"38",1953,2,5.411,6.894,4.6175,3.497,4.954,5.6475,5.71,6.9355,7.5465,4.666,8.60825
"39",1953,3,9.579,8.396,4,8.4125,8.2745,8.5745,8.895,8.4355,7.215,6.5685,10.19045
"40",1953,4,8.511,7.7475,7.7625,11.007,9.1685,7.104,10.943,10.321,10.9825,9.1155,13.6971
"41",1953,5,17.458,13.1055,14.967,14.598,11.527,13.874,14.1735,14.1395,11.977,13.265,18.2746
"42",1953,6,19.88,17.555,13.112,19.176,18.8175,14.612,16.342,19.6475,16.9885,22.2585,21.15065
"43",1953,7,21.222,18.591,22.764,24.432,20.696,18.672,21.471,20.261,22.2115,22.4715,24.68935
"44",1953,8,19.0055,20.721,19.5825,21.75,21.6605,17.042,18.4685,15.488,20.414,22.656,22.59675
"45",1953,9,19.01,17.411,17.555,15.4895,17.3525,15.0405,14.7675,17.1325,19.401,14.3365,20.0931
"46",1953,10,13.213,11.2855,14.743,12.7685,10.953,12.991,15.0485,13.733,15.152,12.0085,15.3581
"47",1953,11,5.7275,6.6915,4.5975,4.909,6.287,7.4565,6.733,5.314,7.649,8.37,9.3026
"48",1953,12,6.1365,3.734,-4.1075,0.0590000000000002,4.214,3.4465,3.3175,5.966,5.1085,4.687,6.5419
"49",1954,1,4.2525,4.7625,1.121,5.094,-0.0590000000000002,4.2885,4.901,5.1405,2.9415,3.161,6.05945
