"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,1.3655,0.393,2.0495,3.1085,-1.706,3.421,-0.142,3.2635,-0.0754999999999999,2.574,4.7463
"2",1950,2,2.9775,3.761,3.0255,6.8505,4.0175,6.686,0.37,4.286,5.601,6.2635,7.10805
"3",1950,3,5.356,6.212,7.256,7.413,5.5635,6.0705,1.0295,4.437,2.5715,7.209,8.02795
"4",1950,4,10.369,3.712,7.8545,10.4995,9.435,7.252,9.017,5.5205,7.6715,8.263,11.61965
"5",1950,5,9.924,10.533,12.412,10.4395,12.156,9.2245,10.371,14.1135,10.204,13.297,15.35045
"6",1950,6,16.5415,16.8285,15.3035,14.567,12.7325,14.8275,18.2675,18.489,18.997,13.5715,19.7518
"7",1950,7,20.948,20.5595,18.015,22.694,22.8885,19.4985,20.7145,24.9055,18.695,23.2565,24.0372
"8",1950,8,14.5145,21.2535,18.6765,18.595,18.8455,18.982,22.0145,17.948,17.0925,19.013,22.9936
"9",1950,9,16.5155,13.2595,12.7915,16.7265,15.0065,16.2795,16.911,16.8715,13.0425,12.4665,18.3067
"10",1950,10,12.8465,9.604,8.994,7.719,9.3075,13.588,9.8845,10.6465,11.753,13.0615,13.737
"11",1950,11,2.8605,3.5575,4.6125,4.9165,2.88,2.08,2.656,7.073,5.481,4.5755,6.98065
"12",1950,12,3.003,2.151,2.6335,2.0395,4.657,3.3655,1.543,0.525,-0.1155,0.671,5.50795
"13",1951,1,-0.684,1.817,2.3115,1.4785,2.1335,1.49,2.9675,1.9265,0.5585,3.1665,4.9667
"14",1951,2,3.9985,2.786,0.246,5.9775,5.602,2.485,2.502,4.845,4.4925,4.8935,6.76835
"15",1951,3,6.1155,4.147,4.8195,5.3335,3.4595,4.131,3.2345,4.773,4.336,10.558,8.543
"16",1951,4,4.827,4.471,5.853,6.831,8.77,4.8945,10.451,10.2075,10.6035,7.721,10.4625
"17",1951,5,6.5255,12.3425,11.9195,9.387,8.0045,12.9235,11.377,9.8905,14.853,13.066,14.0376
"18",1951,6,18.371,19.1295,13.1745,14.957,12.077,17.3735,14.013,12.68,17.115,13.3015,17.3965
"19",1951,7,19.2775,19.9935,19.743,20.243,19.211,20.056,18.8715,21.3775,21.902,21.23,23.2488
"20",1951,8,19.2485,17.4165,19.307,17.9735,15.6215,17.4385,18.504,23.641,19.9955,15.827,21.93665
"21",1951,9,14.5935,13.802,10.2135,15.9935,12.658,18.141,14.8145,14.5605,11.5645,13.9535,18.7778
