"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,2.397,1.922,4.1115,5.225,-1.4325,6.965,1.6075,4.951,3.1035,5.2455,6.48745
"2",1950,2,3.047,6.6925,6.9995,9.557,4.9435,7.9435,2.742,5.1605,7.5725,7.5515,8.9409
"3",1950,3,7.3885,6.4865,8.2425,10.3895,7.828,8.9005,4.386,7.428,6.2145,9.6125,10.59865
"4",1950,4,13.372,7.2475,9.393,13.0115,11.999,9.055,10.6285,8.506,9.457,10.5,13.3058
"5",1950,5,12.5365,12.9825,14.074,11.828,12.1315,10.443,12.5535,12.946,12.4895,13.8155,15.42265
"6",1950,6,16.192,15.6115,13.0965,16.7485,12.5405,16.1975,17.127,16.671,16.6365,14.805,18.56665
"7",1950,7,18.146,17.8935,17.514,18.861,18.6605,16.97,18.997,19.1545,18.3465,19.026,20.7933
"8",1950,8,15.8705,19.2665,17.13,19.0445,19.0795,18.564,19.01,18.516,17.4,16.522,21.1081
"9",1950,9,16.3925,14.737,13.688,17.9225,15.8885,16.8965,16.779,17.8615,14.9665,16.052,18.2973
"10",1950,10,15.3565,14.5795,11.636,11.4125,12.2355,15.073,12.165,13.443,14.081,14.411,15.4406
"11",1950,11,6.5025,6.9185,6.3235,6.637,4.452,6.4735,6.0665,8.8065,6.0825,6.778,9.15525
"12",1950,12,2.4735,5.4585,3.219,4.458,5.6025,5.6355,2.61,0.391,-0.0105000000000004,1.197,6.7739
"13",1951,1,-1.266,4.6065,4.401,3.176,2.5,3.247,5.807,2.3715,-0.7715,5.3105,6.54125
"14",1951,2,6.1745,5.252,2.8245,8.7145,7.8835,4.7725,3.077,5.4785,4.3285,6.456,8.76045
"15",1951,3,9.8045,7.164,7.3305,8.015,6.212,6.859,7.014,5.9325,6.699,11.0995,10.469
"16",1951,4,6.869,5.9705,7.7515,10.1045,11.0815,8.0675,13.4605,12.3645,12.203,10.2625,11.8762
"17",1951,5,7.9595,13.965,13.828,11.511,9.0905,12.4465,12.931,12.9185,14.043,14.4265,15.19565
"18",1951,6,14.5945,17.2705,11.7705,13.0315,12.928,15.09,14.1355,12.391,15.6455,15.35,16.4521
"19",1951,7,16.719,17.46,18.36,19.21,15.873,18.729,16.458,19.6015,20.6145,18.6535,21.2158
"20",1951,8,18.544,18.005,16.873,17.421,16.655,16.7015,16.3435,19.282,17.28,16.4015,19.41015
"21",1951,9,16.9475,16.708,13.513,16.728,15.373,17.7105,15.648,15.26,15.964,15.608,18.9351
"22",1951,10,15.3035,11.0895,13.588,7.908,10.8675,13.874,11.2345,12.249,12.3645,13.3085,14.5463
"23",1951,11,6.4,5.792,6.308,5.6295,7.116,7.852,7.801,6.0565,8.582,5.649,8.7232
"24",1951,12,1.701,0.857,3.8135,4.6515,1.1105,2.998,2.508,8.9825,3.287,3.2185,5.9569
"25",1952,1,1.7165,2.619,6.074,3.085,3.4245,5.691,0.3995,2.371,3.0135,4.8485,6.47755
"26",1952,2,4.7135,7.421,6,4.2685,5.8475,8.52,6.657,4.376,6.8415,7.7245,9.00505
"27",1952,3,7.056,9.1895,6.2715,7.8385,5.558,6.4355,9.9015,9.597,7.1225,8.5755,10.59745
"28",1952,4,10.6465,7.5785,6.8765,11.888,7.1755,5.8085,10.5455,9.4095,9.6355,11.4215,12.31065
"29",1952,5,11.717,13.6225,11.9485,11.7735,11.5585,9.709,9.5745,11.862,10.5705,13.318,13.64935
"30",1952,6,13.4585,12.785,17.472,13.3785,14.6915,17.0005,15.9095,16.778,14.9995,16.5715,16.9048
"31",1952,7,17.903,18.25,19.3165,18.403,17.374,18.176,18.422,17.855,18.621,18.9895,21.2511
"32",1952,8,17.6195,15.742,17.685,17.104,16.563,18.8185,16.884,16.241,18.537,16.5755,20.6912
"33",1952,9,15.1585,16.54,16.3575,17.488,18.991,14.202,15.384,17.0585,18.634,13.9675,19.03635
"34",1952,10,10.3675,13.378,11.1225,10.284,12.139,13.7825,9.25,14.791,11.8605,14.358,14.84095
"35",1952,11,6.8525,8.906,5.76,5.221,9.29,7.303,5.7415,9.374,8.439,10.1645,9.6339
"36",1952,12,3.6055,2.5205,4.637,2.932,2.1705,2.223,0.4675,5.3075,5.201,4.3275,7.51165
"37",1953,1,1.35,4.341,2.0705,1.6595,2.1705,4.869,5.2055,5.3375,4.938,2.845,5.53415
"38",1953,2,7.87,8.0655,2.2175,4.7795,5.157,6.467,3.813,7.5375,8.868,5.2355,8.75525
"39",1953,3,8.355,8.0115,5.9625,9.123,8.666,6.028,8.842,8.8905,7.1285,7.2495,10.23975
"40",1953,4,8.408,7.7695,7.662,11.281,9.3955,6.545,9.085,10.8375,9.8865,10.114,12.7793
"41",1953,5,14.654,12.796,13.037,13.7425,10.6635,13.5725,12.8585,14.067,11.51,13.0895,16.96685
"42",1953,6,15.7275,15.147,12.5385,16.611,15.6685,14.3425,15.1755,14.4075,14.5735,17.703,18.17545
"43",1953,7,18.443,17.586,17.227,19.9085,16.5045,16.8335,18.2315,18.776,19.223,18.5325,20.71605
"44",1953,8,16.765,17.632,15.9595,18.7145,18.0535,14.409,15.842,17.8835,19.0575,20.0015,20.58705
"45",1953,9,17.4255,16.146,15.2305,14.6155,15.9985,15.805,14.869,15.703,17.2375,14.9175,17.8038
"46",1953,10,13.557,13.351,14.758,13.6565,10.8585,12.866,13.8665,13.768,12.136,12.6845,15.15585
"47",1953,11,5.8305,8.1945,6.261,5.7455,5.3165,8.299,7.8945,5.115,7.705,8.872,9.39635
"48",1953,12,8.4585,5.872,-1.588,-1.2305,4.0465,2.427,2.839,4.403,4.6845,6.011,6.6835
"49",1954,1,5.043,4.662,1.9155,5.0485,2.704,2.4235,5.742,4.6145,3.676,0.318,6.85775
"50",1954,2,8.2135,4.197,7.5805,9.5195,6.518,2.62,5.7725,5.8845,9.1945,6.587,9.56835
"51",1954,3,6.0875,5.9505,7.0495,9.769,7.7845,8.518,7.986,8.1995,8.642,6.4225,9.8009
"52",1954,4,10.6865,6.611,11.506,10.8315,10.905,9.667,11.84,10.11,9.6595,7.7655,12.0845
"53",1954,5,13.6005,11.738,12.1335,12.3105,12.8665,11.2045,12.3535,11.246,10.722,11.8635,14.373
"54",1954,6,16.6045,14.513,17.225,14.74,15.652,16.6025,15.5975,16.4715,15.4565,17.2895,18.50005
