"","Year","Month","ACCESS1","CANESM21","CAESM1BGC","CCSM4","CMCC_CMS","CNRCCM5","GFDL_CM3","HADGECC","HADGEES","MICRO5","ENSEMBLE"
"1",1950,1,3.345,2.4595,4.467,6.4775,-0.6825,7.09,2.0785,4.8225,1.7025,4.777,6.64385
"2",1950,2,4.0675,5.6125,6.703,9.0525,5.339,8.192,4.1305,5.307,6.5205,7.9355,8.653
"3",1950,3,7.058,8.338,8.627,9.958,7.5215,9.0505,3.6725,5.127,5.847,9.764,10.26235
"4",1950,4,13.506,6.518,10.635,12.941,11.4445,9.287,10.416,7.5115,8.7505,10.9105,14.15415
"5",1950,5,12.786,14.079,15.8795,10.558,14.1545,11.003,10.693,17.16,12.1645,16.0035,17.0602
"6",1950,6,17.001,16.305,14.2725,17.6405,10.793,15.723,19.616,19.8505,20.1495,16.4945,20.75785
"7",1950,7,21.1985,20.571,17.812,24.601,22.1305,21.337,22.15,25.3865,20.968,24.436,24.37735
"8",1950,8,18.3575,22.109,20.041,19.7455,19.227,21.1995,21.974,20.5235,20.388,18.6825,24.4115
"9",1950,9,18.081,14.7025,12.1075,17.7965,15.1085,17.115,18.305,17.6875,13.6775,15.2775,19.6729
"10",1950,10,14.831,12.8595,13.0235,8.815,13.217,14.6745,13.0555,14.199,14.577,15.0265,15.65085
"11",1950,11,6.106,4.8755,7.2285,7.253,4.733,6.214,4.2915,8.5495,5.809,6.579,8.98335
"12",1950,12,2.0445,5.208,3.576,4.281,5.537,5.3535,4.3835,1.0505,-0.0315000000000001,0.956,6.1248
"13",1951,1,1.1175,4.068,4.5455,2.807,4.2445,2.37,4.8695,3.1925,0.469,5.076,6.89435
"14",1951,2,6.423,5.2835,4.5765,9.023,7.4525,3.2995,4.691,6.097,5.938,6.805,8.3939
"15",1951,3,8.46,8.426,6.208,7.9035,6.677,6.2225,6.77,7.3305,6.556,14.149,11.06345
"16",1951,4,7.294,5.737,8.1145,9.3195,12.2045,7.3855,13.448,14.0595,13.8355,9.9045,12.7445
"17",1951,5,7.2675,13.585,13.729,12.8505,10.6585,13.453,13.3375,13.0785,16.5975,15.5355,16.26495
"18",1951,6,18.492,18.788,14.9105,16.4185,14.2905,17.738,16.609,15.782,19.0215,15.981,19.29845
"19",1951,7,19.802,21.084,22.3295,22.028,20.4225,21.053,18.6215,22.418,23.1555,24.0675,24.3796
"20",1951,8,20.523,19.898,20.1175,19.86,18.7925,18.904,18.844,23.6725,20.7045,18.0685,23.1577
"21",1951,9,17.4645,14.595,12.841,17.0355,16.283,18.685,15.388,16.466,14.945,15.513,20.4012
"22",1951,10,16.067,11.5705,13.9715,7.2025,11.6945,14.7355,12.94,13.489,12.975,12.6975,14.81605
"23",1951,11,6.094,6.402,6.0085,6,6.3405,6.895,6.2995,6.184,8.1655,5.6655,8.31935
"24",1951,12,2.539,0.534,3.721,4.8315,1.453,3.2655,3.6185,9.4705,4.4515,2.6205,6.2541
"25",1952,1,2.8435,3.4925,5.6125,4.0295,3.312,8.175,1.3285,3.878,2.4165,5.9745,6.5363
"26",1952,2,4.801,6.912,5,4.832,7.4,8.35,7.1295,6.538,6.847,7.9235,8.7662
"27",1952,3,7.5505,8.5355,5.408,9.091,3.4275,6.094,9.78,7.9405,8.324,8.392,11.1291
"28",1952,4,10.838,6.9025,8.2285,12.518,8.4195,3.577,10.5735,10.11,9.6365,10.3755,13.03015
"29",1952,5,11.462,12.562,13.828,11.941,14.2265,10.1765,11.0115,12.2325,10.6145,14.359,14.8876
"30",1952,6,11.6675,15.1,21.0035,18.1155,17.626,18.966,17.856,16.9835,19.225,18.5395,19.56085
"31",1952,7,22.037,23.197,21.5895,20.154,19.182,21.2645,22.9065,21.9805,22.93,21.9365,25.2
"32",1952,8,22.498,16.548,19.9615,17.7945,19.9625,20.691,19.972,21.0385,22.093,18.666,23.56575
"33",1952,9,15.4925,15.893,16.468,19.4935,20.355,16.8,16.37,15.4145,20.6205,12.467,20.296
"34",1952,10,10.783,14.196,11.943,9.204,11.259,14.4835,10.438,16.608,11.5685,13.6205,15.3695
"35",1952,11,6.6515,9.8175,5.0655,5.7945,8.647,7.02,4.611,7.628,7.3725,10.2485,10.1533
"36",1952,12,3.1985,2.84,3.8745,2.32,2.2755,3.0495,1.3715,5.524,4.7135,4.001,7.25545
"37",1953,1,-1.0255,2.3645,1.203,1.987,3.0805,4.5695,4.3255,4.244,4.0545,3.3205,5.14985
"38",1953,2,6.387,7.118,4.7465,3.7885,5.359,5.887,5.9655,6.8695,7.647,4.929,8.7544
"39",1953,3,9.699,8.325,4.2535,9.734,8.0085,7.685,8.361,8.6795,8.247,7.0515,10.5375
"40",1953,4,8.6585,8.3385,7.7525,11.241,10.5945,6.9755,9.5525,10.762,11.116,9.1395,14.08215
"41",1953,5,17.9905,13.006,13.869,15.842,10.7655,14.1245,13.061,13.7025,10.9025,13.19,18.29375
"42",1953,6,17.9575,16.8965,13.773,20.016,18.436,15.0035,15.6095,19.9085,17.09,22.3275,21.1228
"43",1953,7,21.734,18.0445,22.562,23.8645,20.421,17.544,21.9655,20.244,21.5665,23.7845,25.0335
"44",1953,8,18.071,21.4235,20.185,23.325,20.7615,16.606,17.764,17.041,22.849,23.4305,22.88265
"45",1953,9,19.794,17.4375,17.8175,16.708,17.833,15.383,13.4045,15.4805,20.893,14.513,20.4277
"46",1953,10,12.907,11.692,14.628,12.976,12.2005,13.296,14.9735,13.9045,15.8105,11.782,15.5067
"47",1953,11,5.912,7.562,3.835,4.9565,7.4435,7.1395,7.6815,5.549,8.4465,8.8275,9.40495
"48",1953,12,8.4865,3.978,-3.488,-0.00350000000000028,4.2165,3.103,3.747,4.551,5.094,5.1005,6.59245
"49",1954,1,4.536,5.144,2.142,5.974,1.8,3.8695,5.6415,5.162,2.8555,1.991,6.9288
"50",1954,2,8.1725,3.6505,6.88,9.439,6.521,3.326,7.124,6.1635,8.3525,6.4635,9.09995
"51",1954,3,5.1555,5.901,7.003,8.0145,8.3225,8.2115,8.8535,8.198,8,7.0455,10.11565
"52",1954,4,10.778,8.34,12.5975,10.991,11.7725,10.52,11.3865,9.794,10.5305,7.996,12.92755
"53",1954,5,13.4685,12.3055,12.4585,11.9295,13.141,10.689,12.3655,11.44,10.3345,10.8255,15.00605
"54",1954,6,19.8245,17.337,20.7215,17.3335,17.0835,19.9255,18.219,18.407,16.825,20.6685,21.98515
"55",1954,7,22.1445,20.54,19.2135,22.714,20.8935,20.5945,23.331,16.2455,20.8115,21.474,24.28155
"56",1954,8,13.463,18.532,20.3,20.585,20.7825,19.0835,21.953,19.2465,20.8915,21.452,22.67915
"57",1954,9,16.674,13.6455,16.2115,18.258,17.5715,18.091,18.391,20.284,18.2705,17.491,21.43955
"58",1954,10,14.157,10.9615,13.705,5.1305,8.676,9.205,12.51,15.309,11.9765,14.4245,14.3754
"59",1954,11,8.2355,7.9585,6.309,7.0905,8.4435,8.1885,8.65,7.6015,8.136,9.6315,10.35395
"60",1954,12,4.924,5.01,3.141,5.914,1.4965,6.5115,-1.1915,3.395,4.7835,4.3805,6.65535
"61",1955,1,3.094,2.259,3.129,4.2535,4.547,7.1475,1.911,2.968,3.107,1.423,5.70705
"62",1955,2,7.3585,4.029,7.626,7.9245,3.8875,7.0305,6.636,6.4925,6.923,4.5745,8.798
"63",1955,3,3.951,4.912,8.109,7.9315,8.4035,7.9855,3.6595,8.3805,7.0735,7.935,9.3277
"64",1955,4,9.906,11.998,11.4155,8.67,7.3645,10.7885,7.718,10.5985,10.1585,9.3625,13.3318
"65",1955,5,12.177,12.2675,16.024,13.0455,8.696,11.7075,13.9475,12.6155,10.886,14.7205,15.6747
